joint_id,count,left_cxc_orbit_id,middle_xx_orbit_id,right_cxc_orbit_id,outer_cc_orbit_ids,left_cx_orbit_ids,right_xc_orbit_ids,rep_cxxc_config_id,rep_cxxc_readable
0,27,0,0,0,[0],[0],[0],0,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
1,54,0,1,4,[0],[0],[1],9,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[0,0]]"
2,54,0,2,10,[0],[0],[4],27,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,0],C[0,0]]"
3,108,0,3,14,[0],[0],[5],36,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,1],C[0,0]]"
4,54,0,4,10,[0],[0],[4],81,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,0],C[0,0]]"
5,108,0,5,14,[0],[0],[5],90,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,1],C[0,0]]"
6,54,0,6,0,[0],[0],[0],108,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
7,108,0,7,4,[0],[0],[1],117,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,1],C[0,0]]"
8,54,0,8,10,[0],[0],[4],135,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,0],C[0,0]]"
9,108,0,9,14,[0],[0],[5],144,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,1],C[0,0]]"
10,54,0,10,20,[0],[0],[2],243,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,0],C[0,0]]"
11,108,0,11,26,[0],[0],[3],252,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,1],C[0,0]]"
12,108,0,12,35,[0],[0],[6],270,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,0],C[0,0]]"
13,216,0,13,41,[0],[0],[7],279,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,1],C[0,0]]"
14,108,0,14,35,[0],[0],[6],324,"CXXC[C[0,0],X[0,0|0,0],X[1,1|0,0],C[0,0]]"
15,216,0,15,41,[0],[0],[7],333,"CXXC[C[0,0],X[0,0|0,0],X[1,1|0,1],C[0,0]]"
16,108,0,16,20,[0],[0],[2],351,"CXXC[C[0,0],X[0,0|0,0],X[1,1|1,0],C[0,0]]"
17,216,0,17,26,[0],[0],[3],360,"CXXC[C[0,0],X[0,0|0,0],X[1,1|1,1],C[0,0]]"
18,108,0,18,35,[0],[0],[6],378,"CXXC[C[0,0],X[0,0|0,0],X[1,1|2,0],C[0,0]]"
19,216,0,19,41,[0],[0],[7],387,"CXXC[C[0,0],X[0,0|0,0],X[1,1|2,1],C[0,0]]"
20,54,1,0,1,[1],[0],[1],1,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,1]]"
21,54,1,1,5,[1],[0],[0],10,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[0,1]]"
22,54,1,1,6,[1],[0],[1],11,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[0,2]]"
23,108,1,2,11,[1],[0],[5],28,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,0],C[0,1]]"
24,108,1,3,15,[1],[0],[4],37,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,1],C[0,1]]"
25,108,1,3,16,[1],[0],[5],38,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,1],C[0,2]]"
26,108,1,4,11,[1],[0],[5],82,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,0],C[0,1]]"
27,108,1,5,15,[1],[0],[4],91,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,1],C[0,1]]"
28,108,1,5,16,[1],[0],[5],92,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,1],C[0,2]]"
29,108,1,6,1,[1],[0],[1],109,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,1]]"
30,108,1,7,5,[1],[0],[0],118,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,1],C[0,1]]"
31,108,1,7,6,[1],[0],[1],119,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,1],C[0,2]]"
32,108,1,8,11,[1],[0],[5],136,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,0],C[0,1]]"
33,108,1,9,15,[1],[0],[4],145,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,1],C[0,1]]"
34,108,1,9,16,[1],[0],[5],146,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,1],C[0,2]]"
35,108,1,10,21,[1],[0],[3],244,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,0],C[0,1]]"
36,108,1,11,27,[1],[0],[2],253,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,1],C[0,1]]"
37,108,1,11,28,[1],[0],[3],254,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,1],C[0,2]]"
38,216,1,12,36,[1],[0],[7],271,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,0],C[0,1]]"
39,216,1,13,42,[1],[0],[6],280,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,1],C[0,1]]"
40,216,1,13,43,[1],[0],[7],281,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,1],C[0,2]]"
41,216,1,14,36,[1],[0],[7],325,"CXXC[C[0,0],X[0,0|0,0],X[1,1|0,0],C[0,1]]"
42,216,1,15,42,[1],[0],[6],334,"CXXC[C[0,0],X[0,0|0,0],X[1,1|0,1],C[0,1]]"
43,216,1,15,43,[1],[0],[7],335,"CXXC[C[0,0],X[0,0|0,0],X[1,1|0,1],C[0,2]]"
44,216,1,16,21,[1],[0],[3],352,"CXXC[C[0,0],X[0,0|0,0],X[1,1|1,0],C[0,1]]"
45,216,1,17,27,[1],[0],[2],361,"CXXC[C[0,0],X[0,0|0,0],X[1,1|1,1],C[0,1]]"
46,216,1,17,28,[1],[0],[3],362,"CXXC[C[0,0],X[0,0|0,0],X[1,1|1,1],C[0,2]]"
47,216,1,18,36,[1],[0],[7],379,"CXXC[C[0,0],X[0,0|0,0],X[1,1|2,0],C[0,1]]"
