left_cxc_orbit_id,total_cxxc_count,distinct_face_pattern_count,left_cx_orbit_ids,middle_xx_orbit_ids,right_xc_orbit_ids,outer_cc_orbit_ids,rep_cxxc_config_id,rep_cxxc_readable
0,2187,20,[0],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[0],0,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
1,4374,30,[0],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[1],1,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,1]]"
2,4374,30,[0],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[2],3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[1,0]]"
3,8748,45,[0],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[3],4,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[1,1]]"
4,4374,30,[1],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[0],729,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,0],C[0,0]]"
5,4374,30,[1],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[1],730,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,0],C[0,1]]"
6,4374,30,[1],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[1],731,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,0],C[0,2]]"
7,8748,45,[1],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[2],732,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,0],C[1,0]]"
8,8748,45,[1],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[3],733,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,0],C[1,1]]"
9,8748,45,[1],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[3],734,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,0],C[1,2]]"
10,4374,36,[2],"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]","[0, 1, 2, 3, 4, 5, 6, 7]",[0],2187,"CXXC[C[0,0],X[0,0|1,0],X[0,0|0,0],C[0,0]]"
