right_cxc_orbit_id,total_cxxc_count,distinct_face_pattern_count,left_cx_orbit_ids,middle_xx_orbit_ids,right_xc_orbit_ids,outer_cc_orbit_ids,rep_cxxc_config_id,rep_cxxc_readable
0,2187,20,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 6, 7, 10, 11, 16, 17, 20, 21, 28, 29, 36, 37, 38, 39, 46, 47, 54, 55]",[0],[0],0,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
1,4374,20,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 6, 7, 10, 11, 16, 17, 20, 21, 28, 29, 36, 37, 38, 39, 46, 47, 54, 55]",[1],[1],1,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,1]]"
2,4374,20,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 6, 7, 10, 11, 16, 17, 20, 21, 28, 29, 36, 37, 38, 39, 46, 47, 54, 55]",[2],[2],3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[1,0]]"
3,8748,20,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 6, 7, 10, 11, 16, 17, 20, 21, 28, 29, 36, 37, 38, 39, 46, 47, 54, 55]",[3],[3],4,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[1,1]]"
4,4374,30,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 6, 7, 10, 11, 16, 17, 20, 21, 28, 29, 36, 37, 38, 39, 46, 47, 54, 55]",[1],[0],9,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[0,0]]"
5,4374,30,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 6, 7, 10, 11, 16, 17, 20, 21, 28, 29, 36, 37, 38, 39, 46, 47, 54, 55]",[0],[1],10,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[0,1]]"
6,4374,30,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 6, 7, 10, 11, 16, 17, 20, 21, 28, 29, 36, 37, 38, 39, 46, 47, 54, 55]",[1],[1],11,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[0,2]]"
7,8748,30,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 6, 7, 10, 11, 16, 17, 20, 21, 28, 29, 36, 37, 38, 39, 46, 47, 54, 55]",[3],[2],12,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[1,0]]"
8,8748,30,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 6, 7, 10, 11, 16, 17, 20, 21, 28, 29, 36, 37, 38, 39, 46, 47, 54, 55]",[2],[3],13,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[1,1]]"
9,8748,30,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 6, 7, 10, 11, 16, 17, 20, 21, 28, 29, 36, 37, 38, 39, 46, 47, 54, 55]",[3],[3],14,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[1,2]]"
10,4374,36,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[4],[0],27,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,0],C[0,0]]"
11,8748,36,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[5],[1],28,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,0],C[0,1]]"
12,8748,36,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[6],[2],30,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,0],C[1,0]]"
13,17496,36,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[7],[3],31,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,0],C[1,1]]"
14,8748,54,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[5],[0],36,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,1],C[0,0]]"
15,8748,54,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[4],[1],37,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,1],C[0,1]]"
16,8748,54,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[5],[1],38,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,1],C[0,2]]"
17,17496,54,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[7],[2],39,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,1],C[1,0]]"
18,17496,54,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[6],[3],40,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,1],C[1,1]]"
19,17496,54,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[7],[3],41,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,1],C[1,2]]"
20,4374,30,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 6, 7, 10, 11, 16, 17, 20, 21, 28, 29, 36, 37, 38, 39, 46, 47, 54, 55]",[2],[0],243,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,0],C[0,0]]"
21,8748,30,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 6, 7, 10, 11, 16, 17, 20, 21, 28, 29, 36, 37, 38, 39, 46, 47, 54, 55]",[3],[1],244,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,0],C[0,1]]"
22,4374,30,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 6, 7, 10, 11, 16, 17, 20, 21, 28, 29, 36, 37, 38, 39, 46, 47, 54, 55]",[0],[2],246,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,0],C[1,0]]"
