middle_xx_orbit_id,total_cxxc_count,distinct_face_pattern_count,left_cx_orbit_ids,right_xc_orbit_ids,outer_cc_orbit_ids,left_cxc_orbit_ids,right_cxc_orbit_ids,rep_cxxc_config_id,rep_cxxc_readable
0,2187,25,"[0, 1, 4, 5]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",0,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
1,4374,45,"[0, 1, 4, 5]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",9,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[0,0]]"
2,4374,25,"[0, 1, 4, 5]","[4, 5, 6, 7]","[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",27,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,0],C[0,0]]"
3,8748,45,"[0, 1, 4, 5]","[4, 5, 6, 7]","[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",36,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,1],C[0,0]]"
4,4374,25,"[0, 1, 4, 5]","[4, 5, 6, 7]","[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",81,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,0],C[0,0]]"
5,8748,45,"[0, 1, 4, 5]","[4, 5, 6, 7]","[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",90,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,1],C[0,0]]"
6,4374,25,"[0, 1, 4, 5]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",108,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
7,8748,45,"[0, 1, 4, 5]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",117,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,1],C[0,0]]"
8,4374,25,"[0, 1, 4, 5]","[4, 5, 6, 7]","[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",135,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,0],C[0,0]]"
9,8748,45,"[0, 1, 4, 5]","[4, 5, 6, 7]","[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",144,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,1],C[0,0]]"
