xx_config_id,xx_readable,x1_local_id,x1_name,x2_local_id,x2_name,raw_arity,raw_tuple,raw_tuple_id,role_overlay
0,"XX[X[0,0|0,0],X[0,0|0,0]]",0,"X[0,0|0,0]",0,"X[0,0|0,0]",4,"(0,0,0,0)",0,"('A_X1','B_X1','A_X2','B_X2')"
1,"XX[X[0,0|0,0],X[0,0|0,1]]",0,"X[0,0|0,0]",1,"X[0,0|0,1]",4,"(0,0,0,1)",1,"('A_X1','B_X1','A_X2','B_X2')"
2,"XX[X[0,0|0,0],X[0,0|0,2]]",0,"X[0,0|0,0]",2,"X[0,0|0,2]",4,"(0,0,0,2)",2,"('A_X1','B_X1','A_X2','B_X2')"
3,"XX[X[0,0|0,0],X[0,0|1,0]]",0,"X[0,0|0,0]",3,"X[0,0|1,0]",4,"(0,0,0,3)",3,"('A_X1','B_X1','A_X2','B_X2')"
4,"XX[X[0,0|0,0],X[0,0|1,1]]",0,"X[0,0|0,0]",4,"X[0,0|1,1]",4,"(0,0,0,4)",4,"('A_X1','B_X1','A_X2','B_X2')"
5,"XX[X[0,0|0,0],X[0,0|1,2]]",0,"X[0,0|0,0]",5,"X[0,0|1,2]",4,"(0,0,0,5)",5,"('A_X1','B_X1','A_X2','B_X2')"
6,"XX[X[0,0|0,0],X[0,0|2,0]]",0,"X[0,0|0,0]",6,"X[0,0|2,0]",4,"(0,0,0,6)",6,"('A_X1','B_X1','A_X2','B_X2')"
7,"XX[X[0,0|0,0],X[0,0|2,1]]",0,"X[0,0|0,0]",7,"X[0,0|2,1]",4,"(0,0,0,7)",7,"('A_X1','B_X1','A_X2','B_X2')"
8,"XX[X[0,0|0,0],X[0,0|2,2]]",0,"X[0,0|0,0]",8,"X[0,0|2,2]",4,"(0,0,0,8)",8,"('A_X1','B_X1','A_X2','B_X2')"
9,"XX[X[0,0|0,0],X[0,1|0,0]]",0,"X[0,0|0,0]",9,"X[0,1|0,0]",4,"(0,0,1,0)",9,"('A_X1','B_X1','A_X2','B_X2')"
10,"XX[X[0,0|0,0],X[0,1|0,1]]",0,"X[0,0|0,0]",10,"X[0,1|0,1]",4,"(0,0,1,1)",10,"('A_X1','B_X1','A_X2','B_X2')"
11,"XX[X[0,0|0,0],X[0,1|0,2]]",0,"X[0,0|0,0]",11,"X[0,1|0,2]",4,"(0,0,1,2)",11,"('A_X1','B_X1','A_X2','B_X2')"
12,"XX[X[0,0|0,0],X[0,1|1,0]]",0,"X[0,0|0,0]",12,"X[0,1|1,0]",4,"(0,0,1,3)",12,"('A_X1','B_X1','A_X2','B_X2')"
13,"XX[X[0,0|0,0],X[0,1|1,1]]",0,"X[0,0|0,0]",13,"X[0,1|1,1]",4,"(0,0,1,4)",13,"('A_X1','B_X1','A_X2','B_X2')"
14,"XX[X[0,0|0,0],X[0,1|1,2]]",0,"X[0,0|0,0]",14,"X[0,1|1,2]",4,"(0,0,1,5)",14,"('A_X1','B_X1','A_X2','B_X2')"
15,"XX[X[0,0|0,0],X[0,1|2,0]]",0,"X[0,0|0,0]",15,"X[0,1|2,0]",4,"(0,0,1,6)",15,"('A_X1','B_X1','A_X2','B_X2')"
16,"XX[X[0,0|0,0],X[0,1|2,1]]",0,"X[0,0|0,0]",16,"X[0,1|2,1]",4,"(0,0,1,7)",16,"('A_X1','B_X1','A_X2','B_X2')"
17,"XX[X[0,0|0,0],X[0,1|2,2]]",0,"X[0,0|0,0]",17,"X[0,1|2,2]",4,"(0,0,1,8)",17,"('A_X1','B_X1','A_X2','B_X2')"
18,"XX[X[0,0|0,0],X[0,2|0,0]]",0,"X[0,0|0,0]",18,"X[0,2|0,0]",4,"(0,0,2,0)",18,"('A_X1','B_X1','A_X2','B_X2')"
19,"XX[X[0,0|0,0],X[0,2|0,1]]",0,"X[0,0|0,0]",19,"X[0,2|0,1]",4,"(0,0,2,1)",19,"('A_X1','B_X1','A_X2','B_X2')"
20,"XX[X[0,0|0,0],X[0,2|0,2]]",0,"X[0,0|0,0]",20,"X[0,2|0,2]",4,"(0,0,2,2)",20,"('A_X1','B_X1','A_X2','B_X2')"
21,"XX[X[0,0|0,0],X[0,2|1,0]]",0,"X[0,0|0,0]",21,"X[0,2|1,0]",4,"(0,0,2,3)",21,"('A_X1','B_X1','A_X2','B_X2')"
22,"XX[X[0,0|0,0],X[0,2|1,1]]",0,"X[0,0|0,0]",22,"X[0,2|1,1]",4,"(0,0,2,4)",22,"('A_X1','B_X1','A_X2','B_X2')"
23,"XX[X[0,0|0,0],X[0,2|1,2]]",0,"X[0,0|0,0]",23,"X[0,2|1,2]",4,"(0,0,2,5)",23,"('A_X1','B_X1','A_X2','B_X2')"
24,"XX[X[0,0|0,0],X[0,2|2,0]]",0,"X[0,0|0,0]",24,"X[0,2|2,0]",4,"(0,0,2,6)",24,"('A_X1','B_X1','A_X2','B_X2')"
25,"XX[X[0,0|0,0],X[0,2|2,1]]",0,"X[0,0|0,0]",25,"X[0,2|2,1]",4,"(0,0,2,7)",25,"('A_X1','B_X1','A_X2','B_X2')"
26,"XX[X[0,0|0,0],X[0,2|2,2]]",0,"X[0,0|0,0]",26,"X[0,2|2,2]",4,"(0,0,2,8)",26,"('A_X1','B_X1','A_X2','B_X2')"
27,"XX[X[0,0|0,0],X[1,0|0,0]]",0,"X[0,0|0,0]",27,"X[1,0|0,0]",4,"(0,0,3,0)",27,"('A_X1','B_X1','A_X2','B_X2')"
28,"XX[X[0,0|0,0],X[1,0|0,1]]",0,"X[0,0|0,0]",28,"X[1,0|0,1]",4,"(0,0,3,1)",28,"('A_X1','B_X1','A_X2','B_X2')"
29,"XX[X[0,0|0,0],X[1,0|0,2]]",0,"X[0,0|0,0]",29,"X[1,0|0,2]",4,"(0,0,3,2)",29,"('A_X1','B_X1','A_X2','B_X2')"
30,"XX[X[0,0|0,0],X[1,0|1,0]]",0,"X[0,0|0,0]",30,"X[1,0|1,0]",4,"(0,0,3,3)",30,"('A_X1','B_X1','A_X2','B_X2')"
31,"XX[X[0,0|0,0],X[1,0|1,1]]",0,"X[0,0|0,0]",31,"X[1,0|1,1]",4,"(0,0,3,4)",31,"('A_X1','B_X1','A_X2','B_X2')"
32,"XX[X[0,0|0,0],X[1,0|1,2]]",0,"X[0,0|0,0]",32,"X[1,0|1,2]",4,"(0,0,3,5)",32,"('A_X1','B_X1','A_X2','B_X2')"
33,"XX[X[0,0|0,0],X[1,0|2,0]]",0,"X[0,0|0,0]",33,"X[1,0|2,0]",4,"(0,0,3,6)",33,"('A_X1','B_X1','A_X2','B_X2')"
34,"XX[X[0,0|0,0],X[1,0|2,1]]",0,"X[0,0|0,0]",34,"X[1,0|2,1]",4,"(0,0,3,7)",34,"('A_X1','B_X1','A_X2','B_X2')"
35,"XX[X[0,0|0,0],X[1,0|2,2]]",0,"X[0,0|0,0]",35,"X[1,0|2,2]",4,"(0,0,3,8)",35,"('A_X1','B_X1','A_X2','B_X2')"
36,"XX[X[0,0|0,0],X[1,1|0,0]]",0,"X[0,0|0,0]",36,"X[1,1|0,0]",4,"(0,0,4,0)",36,"('A_X1','B_X1','A_X2','B_X2')"
37,"XX[X[0,0|0,0],X[1,1|0,1]]",0,"X[0,0|0,0]",37,"X[1,1|0,1]",4,"(0,0,4,1)",37,"('A_X1','B_X1','A_X2','B_X2')"
38,"XX[X[0,0|0,0],X[1,1|0,2]]",0,"X[0,0|0,0]",38,"X[1,1|0,2]",4,"(0,0,4,2)",38,"('A_X1','B_X1','A_X2','B_X2')"
39,"XX[X[0,0|0,0],X[1,1|1,0]]",0,"X[0,0|0,0]",39,"X[1,1|1,0]",4,"(0,0,4,3)",39,"('A_X1','B_X1','A_X2','B_X2')"
40,"XX[X[0,0|0,0],X[1,1|1,1]]",0,"X[0,0|0,0]",40,"X[1,1|1,1]",4,"(0,0,4,4)",40,"('A_X1','B_X1','A_X2','B_X2')"
41,"XX[X[0,0|0,0],X[1,1|1,2]]",0,"X[0,0|0,0]",41,"X[1,1|1,2]",4,"(0,0,4,5)",41,"('A_X1','B_X1','A_X2','B_X2')"
42,"XX[X[0,0|0,0],X[1,1|2,0]]",0,"X[0,0|0,0]",42,"X[1,1|2,0]",4,"(0,0,4,6)",42,"('A_X1','B_X1','A_X2','B_X2')"
43,"XX[X[0,0|0,0],X[1,1|2,1]]",0,"X[0,0|0,0]",43,"X[1,1|2,1]",4,"(0,0,4,7)",43,"('A_X1','B_X1','A_X2','B_X2')"
44,"XX[X[0,0|0,0],X[1,1|2,2]]",0,"X[0,0|0,0]",44,"X[1,1|2,2]",4,"(0,0,4,8)",44,"('A_X1','B_X1','A_X2','B_X2')"
45,"XX[X[0,0|0,0],X[1,2|0,0]]",0,"X[0,0|0,0]",45,"X[1,2|0,0]",4,"(0,0,5,0)",45,"('A_X1','B_X1','A_X2','B_X2')"
46,"XX[X[0,0|0,0],X[1,2|0,1]]",0,"X[0,0|0,0]",46,"X[1,2|0,1]",4,"(0,0,5,1)",46,"('A_X1','B_X1','A_X2','B_X2')"
47,"XX[X[0,0|0,0],X[1,2|0,2]]",0,"X[0,0|0,0]",47,"X[1,2|0,2]",4,"(0,0,5,2)",47,"('A_X1','B_X1','A_X2','B_X2')"
48,"XX[X[0,0|0,0],X[1,2|1,0]]",0,"X[0,0|0,0]",48,"X[1,2|1,0]",4,"(0,0,5,3)",48,"('A_X1','B_X1','A_X2','B_X2')"
49,"XX[X[0,0|0,0],X[1,2|1,1]]",0,"X[0,0|0,0]",49,"X[1,2|1,1]",4,"(0,0,5,4)",49,"('A_X1','B_X1','A_X2','B_X2')"
50,"XX[X[0,0|0,0],X[1,2|1,2]]",0,"X[0,0|0,0]",50,"X[1,2|1,2]",4,"(0,0,5,5)",50,"('A_X1','B_X1','A_X2','B_X2')"
51,"XX[X[0,0|0,0],X[1,2|2,0]]",0,"X[0,0|0,0]",51,"X[1,2|2,0]",4,"(0,0,5,6)",51,"('A_X1','B_X1','A_X2','B_X2')"
52,"XX[X[0,0|0,0],X[1,2|2,1]]",0,"X[0,0|0,0]",52,"X[1,2|2,1]",4,"(0,0,5,7)",52,"('A_X1','B_X1','A_X2','B_X2')"
53,"XX[X[0,0|0,0],X[1,2|2,2]]",0,"X[0,0|0,0]",53,"X[1,2|2,2]",4,"(0,0,5,8)",53,"('A_X1','B_X1','A_X2','B_X2')"
54,"XX[X[0,0|0,0],X[2,0|0,0]]",0,"X[0,0|0,0]",54,"X[2,0|0,0]",4,"(0,0,6,0)",54,"('A_X1','B_X1','A_X2','B_X2')"
55,"XX[X[0,0|0,0],X[2,0|0,1]]",0,"X[0,0|0,0]",55,"X[2,0|0,1]",4,"(0,0,6,1)",55,"('A_X1','B_X1','A_X2','B_X2')"
56,"XX[X[0,0|0,0],X[2,0|0,2]]",0,"X[0,0|0,0]",56,"X[2,0|0,2]",4,"(0,0,6,2)",56,"('A_X1','B_X1','A_X2','B_X2')"
57,"XX[X[0,0|0,0],X[2,0|1,0]]",0,"X[0,0|0,0]",57,"X[2,0|1,0]",4,"(0,0,6,3)",57,"('A_X1','B_X1','A_X2','B_X2')"
58,"XX[X[0,0|0,0],X[2,0|1,1]]",0,"X[0,0|0,0]",58,"X[2,0|1,1]",4,"(0,0,6,4)",58,"('A_X1','B_X1','A_X2','B_X2')"
59,"XX[X[0,0|0,0],X[2,0|1,2]]",0,"X[0,0|0,0]",59,"X[2,0|1,2]",4,"(0,0,6,5)",59,"('A_X1','B_X1','A_X2','B_X2')"
60,"XX[X[0,0|0,0],X[2,0|2,0]]",0,"X[0,0|0,0]",60,"X[2,0|2,0]",4,"(0,0,6,6)",60,"('A_X1','B_X1','A_X2','B_X2')"
61,"XX[X[0,0|0,0],X[2,0|2,1]]",0,"X[0,0|0,0]",61,"X[2,0|2,1]",4,"(0,0,6,7)",61,"('A_X1','B_X1','A_X2','B_X2')"
62,"XX[X[0,0|0,0],X[2,0|2,2]]",0,"X[0,0|0,0]",62,"X[2,0|2,2]",4,"(0,0,6,8)",62,"('A_X1','B_X1','A_X2','B_X2')"
63,"XX[X[0,0|0,0],X[2,1|0,0]]",0,"X[0,0|0,0]",63,"X[2,1|0,0]",4,"(0,0,7,0)",63,"('A_X1','B_X1','A_X2','B_X2')"
64,"XX[X[0,0|0,0],X[2,1|0,1]]",0,"X[0,0|0,0]",64,"X[2,1|0,1]",4,"(0,0,7,1)",64,"('A_X1','B_X1','A_X2','B_X2')"
65,"XX[X[0,0|0,0],X[2,1|0,2]]",0,"X[0,0|0,0]",65,"X[2,1|0,2]",4,"(0,0,7,2)",65,"('A_X1','B_X1','A_X2','B_X2')"
66,"XX[X[0,0|0,0],X[2,1|1,0]]",0,"X[0,0|0,0]",66,"X[2,1|1,0]",4,"(0,0,7,3)",66,"('A_X1','B_X1','A_X2','B_X2')"
67,"XX[X[0,0|0,0],X[2,1|1,1]]",0,"X[0,0|0,0]",67,"X[2,1|1,1]",4,"(0,0,7,4)",67,"('A_X1','B_X1','A_X2','B_X2')"
68,"XX[X[0,0|0,0],X[2,1|1,2]]",0,"X[0,0|0,0]",68,"X[2,1|1,2]",4,"(0,0,7,5)",68,"('A_X1','B_X1','A_X2','B_X2')"
69,"XX[X[0,0|0,0],X[2,1|2,0]]",0,"X[0,0|0,0]",69,"X[2,1|2,0]",4,"(0,0,7,6)",69,"('A_X1','B_X1','A_X2','B_X2')"
70,"XX[X[0,0|0,0],X[2,1|2,1]]",0,"X[0,0|0,0]",70,"X[2,1|2,1]",4,"(0,0,7,7)",70,"('A_X1','B_X1','A_X2','B_X2')"
71,"XX[X[0,0|0,0],X[2,1|2,2]]",0,"X[0,0|0,0]",71,"X[2,1|2,2]",4,"(0,0,7,8)",71,"('A_X1','B_X1','A_X2','B_X2')"
72,"XX[X[0,0|0,0],X[2,2|0,0]]",0,"X[0,0|0,0]",72,"X[2,2|0,0]",4,"(0,0,8,0)",72,"('A_X1','B_X1','A_X2','B_X2')"
73,"XX[X[0,0|0,0],X[2,2|0,1]]",0,"X[0,0|0,0]",73,"X[2,2|0,1]",4,"(0,0,8,1)",73,"('A_X1','B_X1','A_X2','B_X2')"
74,"XX[X[0,0|0,0],X[2,2|0,2]]",0,"X[0,0|0,0]",74,"X[2,2|0,2]",4,"(0,0,8,2)",74,"('A_X1','B_X1','A_X2','B_X2')"
75,"XX[X[0,0|0,0],X[2,2|1,0]]",0,"X[0,0|0,0]",75,"X[2,2|1,0]",4,"(0,0,8,3)",75,"('A_X1','B_X1','A_X2','B_X2')"
