cx_orbit_id,xc_orbit_id,realized,witness_count,cc_histogram,cc_orbit_ids,deterministic
0,0,1,27,{0: 27},[0],1
0,1,1,54,{1: 54},[1],1
0,2,1,54,{2: 54},[2],1
0,3,1,108,{3: 108},[3],1
1,0,1,54,{1: 54},[1],1
1,1,1,108,"{0: 54, 1: 54}","[0, 1]",0
1,2,1,108,{3: 108},[3],1
1,3,1,216,"{2: 108, 3: 108}","[2, 3]",0
2,4,1,54,{0: 54},[0],1
2,5,1,108,{1: 108},[1],1
2,6,1,108,{2: 108},[2],1
2,7,1,216,{3: 216},[3],1
3,4,1,108,{1: 108},[1],1
3,5,1,216,"{0: 108, 1: 108}","[0, 1]",0
3,6,1,216,{3: 216},[3],1
3,7,1,432,"{2: 216, 3: 216}","[2, 3]",0
4,0,1,54,{2: 54},[2],1
4,1,1,108,{3: 108},[3],1
4,2,1,108,"{0: 54, 2: 54}","[0, 2]",0
4,3,1,216,"{1: 108, 3: 108}","[1, 3]",0
5,0,1,108,{3: 108},[3],1
5,1,1,216,"{2: 108, 3: 108}","[2, 3]",0
5,2,1,216,"{1: 108, 3: 108}","[1, 3]",0
5,3,1,432,"{0: 108, 1: 108, 2: 108, 3: 108}","[0, 1, 2, 3]",0
6,4,1,108,{2: 108},[2],1
6,5,1,216,{3: 216},[3],1
6,6,1,216,"{0: 108, 2: 108}","[0, 2]",0
6,7,1,432,"{1: 216, 3: 216}","[1, 3]",0
7,4,1,216,{3: 216},[3],1
7,5,1,432,"{2: 216, 3: 216}","[2, 3]",0
7,6,1,432,"{1: 216, 3: 216}","[1, 3]",0
7,7,1,864,"{0: 216, 1: 216, 2: 216, 3: 216}","[0, 1, 2, 3]",0
