basis_id,"eta1[0,0]","eta1[0,1]","eta1[0,2]","eta1[1,0]","eta1[1,1]","eta1[1,2]","eta1[2,0]","eta1[2,1]","eta1[2,2]","eta2[0,0]","eta2[0,1]","eta2[0,2]","eta2[1,0]","eta2[1,1]","eta2[1,2]","eta2[2,0]","eta2[2,1]","eta2[2,2]"
1,0.1451702569686703,0.4661624001708233,0.3243023824812046,0.07258512848433513,0.7904647826520277,0.0,0.0,0.1451702569686702,-0.07258512848433513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.45674400707584745,-0.524893681298628,0.4429907618982816,0.22837200353792372,-0.08190291940034652,0.0,0.0,0.4567440070758476,-0.22837200353792372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-0.2918137321065858,-0.2948269888141334,0.42734869618173693,0.35409313394670705,0.13252170736760374,0.0,0.0,-0.29181373210658573,0.645906866053293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.2063434688159213,-0.20847416306728409,0.30218116100133585,-0.45672512500123447,0.09370699793405184,0.0,0.0,-0.2063434688159213,-0.250381656185313,0.0,0.0,0.5000000000000001,0.0,0.0,0.0,0.0,-0.4999999999999999,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,-0.2063434688159213,-0.20847416306728409,0.30218116100133585,-0.45672512500123447,0.09370699793405184,0.0,0.0,-0.2063434688159213,-0.250381656185313,0.0,0.0,-0.4999999999999999,0.0,0.0,0.0,0.0,0.5000000000000001,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
