basis_id,sampled_points,rank_W,rank_sigma,projection_loss,projection_max_abs
11,100,76,9,1.9086459063514205e-28,1.8243432662349458e-15
12,100,76,9,2.0297332228994493e-28,2.283882001482484e-15
6,100,76,9,2.113534581315872e-28,2.2439093566628035e-15
5,100,76,9,2.1560767348074606e-28,2.0707429861860753e-15
13,100,76,9,2.1744824163579975e-28,1.887379141862766e-15
14,100,76,9,2.292768771906255e-28,1.7763568394002505e-15
4,100,76,9,2.3733815438635912e-28,2.1471433211050058e-15
1,100,76,9,2.483292157604213e-28,2.82576563849818e-15
9,100,76,9,2.588954494645971e-28,3.075330149603049e-15
3,100,76,9,2.7888494290193473e-28,3.170103549158062e-15
8,100,76,9,2.9380347177329195e-28,2.958812663740258e-15
7,100,76,9,2.9950487605585214e-28,3.2230767307404163e-15
2,100,76,9,3.0665961789240476e-28,2.9976021664879227e-15
10,100,76,9,3.0845840627539333e-28,3.0872231394243074e-15
