basis_id,sampled_points,failed_samples,rank_W,rank_sigma,projection_loss,projection_max_abs
2,200,0,76,9,6.648380768438399e-29,1.1102230246251565e-15
11,200,0,76,9,7.14706955343313e-29,1.1757630490091976e-15
6,200,0,76,9,7.171978590605666e-29,9.15830553459516e-16
8,200,0,76,9,7.304224077005905e-29,1.1102230246251565e-15
13,200,0,76,9,7.519945452603558e-29,1.1102230246251565e-15
14,200,0,76,9,7.607138970840936e-29,9.483815051294025e-16
12,200,0,76,9,7.996125046521065e-29,1.1379786002407855e-15
1,200,0,76,9,7.997295157925338e-29,1.3322676295501878e-15
3,200,0,76,9,8.258036579670995e-29,1.2463824496462822e-15
10,200,0,76,9,8.768730587201266e-29,1.1102230246251565e-15
4,200,0,76,9,8.97737110974607e-29,1.5543122344752192e-15
5,200,0,76,9,9.100300262574379e-29,1.7763568394002505e-15
9,200,0,76,9,9.198159230135097e-29,1.5543122344752192e-15
7,200,0,76,9,9.354690033997625e-29,1.9984014443252818e-15
