tag,projection_loss,projection_max_abs,sampled_points,rank_W,rank_sigma,theta,candidate
start_1,1.6928900225568917e-28,1.6653345369377348e-15,200,76,9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
start_1,1.6670782869615445e-28,1.9637069748057456e-15,200,76,9,"[0.00025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[3.6292563108025e-05, 0.00011654059640081225, 8.107559308668891e-05, 1.8146281554012495e-05, 0.0001976161894875011, 0.0, 0.0, 3.6292563108024976e-05, -1.8146281554012495e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999687500015, 0.0, 0.0, 0.0]"
start_1,1.7780253944718201e-28,2.248201624865942e-15,200,76,9,"[0.0, 0.00025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0002499999921875004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999687500015, 0.0, 0.0, 0.0]"
start_1,2.1439648758162957e-28,1.942890293094024e-15,200,76,9,"[0.0, 0.0, 0.00025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002499999921875004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999687500015, 0.0, 0.0, 0.0]"
start_1,1.3728754169652336e-28,1.887379141862766e-15,200,76,9,"[0.0, 0.0, 0.0, 0.00025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.00011418599820064949, -0.0001312234162239253, 0.00011074768701370525, 5.7092999100324745e-05, -2.0475729210220103e-05, 0.0, 0.0, 0.00011418599820064953, -5.7092999100324745e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999687500015, 0.0, 0.0, 0.0]"
start_1,1.4205436134523843e-28,1.5890067039947553e-15,200,76,9,"[0.0, 0.0, 0.0, 0.0, 0.00025, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[-7.295343074685178e-05, -7.37067449001976e-05, 0.00010683717070677271, 8.852328072032428e-05, 3.313042580657515e-05, 0.0, 0.0, -7.295343074685177e-05, 0.0001614767114671761, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999687500015, 0.0, 0.0, 0.0]"
start_1,1.5002472188005318e-28,1.6375789613221059e-15,200,76,9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.00025, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002499999921875004, 0.0, 0.0, 0.0, 0.0, 0.9999999687500015, 0.0, 0.0, 0.0]"
start_1,1.5669681908727493e-28,1.5543122344752192e-15,200,76,9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00025, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002499999921875004, 0.0, 0.0, 0.0, 0.9999999687500015, 0.0, 0.0, 0.0]"
start_1,1.4728815901190915e-28,1.768984264627349e-15,200,76,9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00025, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[-5.1585865591922054e-05, -5.2118539138116704e-05, 7.554528788954376e-05, -0.00011418127768214374, 2.3426748751427073e-05, 0.0, 0.0, -5.1585865591922054e-05, -6.259541209022165e-05, 0.0, 0.0, 0.00012499999609375022, 0.0, 0.0, 0.9999999687500015, 0.0, -0.00012499999609375017, 0.0]"
start_1,1.3223546177667425e-28,1.5612511283791264e-15,200,76,9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00025, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002499999921875004, 0.0, 0.9999999687500015, 0.0, 0.0, 0.0]"
start_1,1.1833526688544449e-28,1.5543122344752192e-15,200,76,9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00025, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002499999921875004, 0.9999999687500015, 0.0, 0.0, 0.0]"
start_1,1.6928900225568917e-28,1.6653345369377348e-15,200,76,9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.05, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
start_1,1.7064968084797008e-28,2.4424906541753444e-15,200,76,9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.00025, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999687500015, 0.0002499999921875004, 0.0, 0.0]"
start_1,1.2538403407459857e-28,1.5543122344752192e-15,200,76,9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.00025, 0.0]","[-5.1585865591922054e-05, -5.2118539138116704e-05, 7.554528788954376e-05, -0.00011418127768214374, 2.3426748751427073e-05, 0.0, 0.0, -5.1585865591922054e-05, -6.259541209022165e-05, 0.0, 0.0, -0.00012499999609375017, 0.0, 0.0, 0.9999999687500015, 0.0, 0.00012499999609375022, 0.0]"
start_1,1.4450193801747754e-28,1.7763568394002505e-15,200,76,9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.00025]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999687500015, 0.0, 0.0, 0.0002499999921875004]"
start_1,1.3202826087279555e-28,1.5543122344752192e-15,200,76,9,"[3.571428571428572e-05, 3.571428571428572e-05, -0.00025, 3.571428571428572e-05, 3.571428571428572e-05, 3.571428571428572e-05, 3.571428571428572e-05, 3.571428571428572e-05, 3.571428571428572e-05, 3.571428571428572e-05, 1.0071428571428571, 3.571428571428572e-05, 3.571428571428572e-05, 3.571428571428572e-05]","[-3.6378156652267343e-06, -2.7322927890961468e-05, 6.379447140306134e-05, -9.163119649753084e-06, 3.647154351209988e-05, 3.5460991547758894e-05, -0.00024822694083431225, -3.6378156652267246e-06, -5.525303984526336e-06, 3.5460991547758894e-05, 3.5460991547758894e-05, 6.728204713049803e-21, 3.5460991547758894e-05, 3.5460991547758894e-05, 0.9999999616468007, 3.5460991547758894e-05, 6.728204713049803e-21, 3.5460991547758894e-05]"
start_1,1.7807541293809948e-28,1.8041124150158794e-15,200,76,9,"[4.0816326530612245e-05, -0.00024489795918367346, -3.571428571428572e-05, 4.0816326530612245e-05, 4.0816326530612245e-05, 4.0816326530612245e-05, 4.0816326530612245e-05, 4.0816326530612245e-05, 4.0816326530612245e-05, 4.0816326530612245e-05, 1.0081632653061225, 4.0816326530612245e-05, 4.0816326530612245e-05, 4.0816326530612245e-05]","[-4.153295614494933e-06, -3.119459781028207e-05, 7.283417377082614e-05, -1.0461537405590308e-05, 4.163957596054407e-05, -0.00024291497024784441, -3.542509982781065e-05, -4.15329561449493e-06, -6.308241791095356e-06, 4.048582837464074e-05, 4.048582837464074e-05, 6.7213947839199306e-21, 4.048582837464074e-05, 4.048582837464074e-05, 0.9999999608536264, 4.048582837464074e-05, 6.7213947839199306e-21, 4.048582837464074e-05]"
start_1,2.7582848421255376e-28,2.095545958979983e-15,200,76,9,"[1.0204081632653061e-05, 0.00012627551020408164, -8.92857142857143e-06, 1.0204081632653061e-05, 1.0204081632653061e-05, 1.0204081632653061e-05, 1.0204081632653061e-05, 1.0204081632653061e-05, 1.0204081632653061e-05, 1.0204081632653061e-05, 1.0020408163265306, 1.0204081632653061e-05, 1.0204081632653061e-05, 1.0204081632653061e-05]","[-1.0446680734904321e-06, -7.846299281959283e-06, 1.8319797832808258e-05, -2.6313643770274068e-06, 1.0473498550848975e-05, 0.00012601832886139876, -8.910386889189811e-06, -1.0446680734904315e-06, -1.58669630353697e-06, 1.0183299301931213e-05, 1.0183299301931213e-05, 1.6906156440155411e-21, 1.0183299301931213e-05, 1.0183299301931213e-05, 0.9999999914496451, 1.0183299301931213e-05, 1.6906156440155411e-21, 1.0183299301931213e-05]"
start_1,1.571013938739314e-28,1.6514567491299204e-15,200,76,9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000125, 1.0, 0.0, 0.000125, 0.0]","[-2.579293319897559e-05, -2.6059269976234425e-05, 3.777264453496942e-05, -5.709063973311308e-05, 1.1713374558735005e-05, 0.0, 0.0, -2.579293319897559e-05, -3.1297706534137465e-05, 0.0, 0.0, -6.249999902343752e-05, 0.0, 0.00012499999804687506, 0.9999999843750005, 0.0, 6.249999902343754e-05, 0.0]"
