term_id,coordinate,value,expected,abs_error,matches
t01,"S[0,0]",0.0,0.0,0.0,True
t01,"S[0,1]",-1.0,-1.0,0.0,True
t01,"S[0,2]",0.0,0.0,0.0,True
t01,"S[1,0]",0.0,0.0,0.0,True
t01,"S[1,1]",-1.0,-1.0,0.0,True
t01,"S[1,2]",0.0,0.0,0.0,True
t01,"S[2,0]",0.0,0.0,0.0,True
t01,"S[2,1]",0.0,0.0,0.0,True
t01,"S[2,2]",0.0,0.0,0.0,True
t02,"S[0,0]",0.0,0.0,0.0,True
t02,"S[0,1]",0.0,0.0,0.0,True
t02,"S[0,2]",1.0,1.0,0.0,True
t02,"S[1,0]",0.0,0.0,0.0,True
t02,"S[1,1]",-1.0,-1.0,0.0,True
t02,"S[1,2]",1.0,1.0,0.0,True
t02,"S[2,0]",0.0,0.0,0.0,True
t02,"S[2,1]",0.0,0.0,0.0,True
t02,"S[2,2]",0.0,0.0,0.0,True
t03,"S[0,0]",0.0,0.0,0.0,True
t03,"S[0,1]",1.0,1.0,0.0,True
t03,"S[0,2]",0.0,0.0,0.0,True
t03,"S[1,0]",0.0,0.0,0.0,True
t03,"S[1,1]",1.0,1.0,0.0,True
t03,"S[1,2]",0.0,0.0,0.0,True
t03,"S[2,0]",0.0,0.0,0.0,True
t03,"S[2,1]",0.0,0.0,0.0,True
t03,"S[2,2]",0.0,0.0,0.0,True
t04,"S[0,0]",0.0,0.0,0.0,True
t04,"S[0,1]",-1.0,-1.0,0.0,True
t04,"S[0,2]",0.0,0.0,0.0,True
t04,"S[1,0]",0.0,0.0,0.0,True
t04,"S[1,1]",0.0,0.0,0.0,True
t04,"S[1,2]",0.0,0.0,0.0,True
t04,"S[2,0]",0.0,0.0,0.0,True
t04,"S[2,1]",0.0,0.0,0.0,True
t04,"S[2,2]",0.0,0.0,0.0,True
t05,"S[0,0]",0.0,0.0,0.0,True
t05,"S[0,1]",0.0,0.0,0.0,True
t05,"S[0,2]",-1.0,-1.0,0.0,True
t05,"S[1,0]",0.0,0.0,0.0,True
t05,"S[1,1]",0.0,0.0,0.0,True
t05,"S[1,2]",0.0,0.0,0.0,True
t05,"S[2,0]",0.0,0.0,0.0,True
t05,"S[2,1]",-1.0,-1.0,0.0,True
t05,"S[2,2]",0.0,0.0,0.0,True
t06,"S[0,0]",0.0,0.0,0.0,True
t06,"S[0,1]",-1.0,-1.0,0.0,True
t06,"S[0,2]",0.0,0.0,0.0,True
t06,"S[1,0]",0.0,0.0,0.0,True
t06,"S[1,1]",-1.0,-1.0,0.0,True
t06,"S[1,2]",0.0,0.0,0.0,True
t06,"S[2,0]",0.0,0.0,0.0,True
t06,"S[2,1]",0.0,0.0,0.0,True
t06,"S[2,2]",0.0,0.0,0.0,True
