family,s,t,r,r_prime,u,u_prime,formal_relation,symbolic_verified
shared_left_factor,0,1,0,1,0,0,"1*delta[0,0,1,0]*p0[1,0] + -1*delta[1,0,1,0]*p0[0,0]",True
shared_left_factor,0,1,0,1,0,1,"1*delta[0,0,1,0]*p0[1,1] + -1*delta[1,0,1,0]*p0[0,1]",True
shared_left_factor,0,1,0,1,0,2,"1*delta[0,0,1,0]*p0[1,2] + -1*delta[1,0,1,0]*p0[0,2]",True
shared_left_factor,0,1,0,1,1,0,"1*delta[0,0,1,1]*p0[1,0] + -1*delta[1,0,1,1]*p0[0,0]",True
shared_left_factor,0,1,0,1,1,1,"1*delta[0,0,1,1]*p0[1,1] + -1*delta[1,0,1,1]*p0[0,1]",True
shared_left_factor,0,1,0,1,1,2,"1*delta[0,0,1,1]*p0[1,2] + -1*delta[1,0,1,1]*p0[0,2]",True
shared_left_factor,0,1,0,1,2,0,"1*delta[0,0,1,2]*p0[1,0] + -1*delta[1,0,1,2]*p0[0,0]",True
shared_left_factor,0,1,0,1,2,1,"1*delta[0,0,1,2]*p0[1,1] + -1*delta[1,0,1,2]*p0[0,1]",True
shared_left_factor,0,1,0,1,2,2,"1*delta[0,0,1,2]*p0[1,2] + -1*delta[1,0,1,2]*p0[0,2]",True
shared_left_factor,0,1,0,2,0,0,"1*delta[0,0,1,0]*p0[2,0] + -1*delta[2,0,1,0]*p0[0,0]",True
shared_left_factor,0,1,0,2,0,1,"1*delta[0,0,1,0]*p0[2,1] + -1*delta[2,0,1,0]*p0[0,1]",True
shared_left_factor,0,1,0,2,0,2,"1*delta[0,0,1,0]*p0[2,2] + -1*delta[2,0,1,0]*p0[0,2]",True
shared_left_factor,0,1,0,2,1,0,"1*delta[0,0,1,1]*p0[2,0] + -1*delta[2,0,1,1]*p0[0,0]",True
shared_left_factor,0,1,0,2,1,1,"1*delta[0,0,1,1]*p0[2,1] + -1*delta[2,0,1,1]*p0[0,1]",True
shared_left_factor,0,1,0,2,1,2,"1*delta[0,0,1,1]*p0[2,2] + -1*delta[2,0,1,1]*p0[0,2]",True
