label,category,valid_decomposition,R,seed,sigma,trial_index,orientation,reconstruction_max_abs,rank_sigma_numeric,rank_H_numeric,rank_HDelta_numeric,rank_stacked_numeric,rank_bilinear_numeric,faithfulness_numeric,rank_gamma_numeric,ker_gamma_dim_numeric,corollary_numeric,eta_nullity_numeric,conservation_sum_numeric,rank_sigma_exact,rank_H_exact,rank_HDelta_exact,rank_stacked_exact,rank_bilinear_exact,faithfulness_exact,rank_gamma_exact,ker_gamma_dim_exact,corollary_exact,eta_nullity_exact,conservation_sum_exact
alphatensor_rank23_valid_transpose,valid_decomposition,True,23,,,,transpose,0,9,14,14,23,23,True,9,14,True,4,27,9,14,14,23,23,True,9,14,True,4,27
standard_rank27_valid,valid_decomposition,True,27,,,,direct,0,9,18,18,27,27,True,9,18,True,0,27,9,18,18,27,27,True,9,18,True,0,27
perturbed_alphatensor_seed_42,perturbed_alphatensor,False,23,42,0.01,,,,9,18,23,23,23,True,9,14,,0,,,,,,,,,,,,
perturbed_alphatensor_seed_43,perturbed_alphatensor,False,23,43,0.01,,,,9,18,23,23,23,True,9,14,,0,,,,,,,,,,,,
perturbed_alphatensor_seed_44,perturbed_alphatensor,False,23,44,0.01,,,,9,18,23,23,23,True,9,14,,0,,,,,,,,,,,,
perturbed_alphatensor_seed_45,perturbed_alphatensor,False,23,45,0.01,,,,9,18,23,23,23,True,9,14,,0,,,,,,,,,,,,
perturbed_alphatensor_seed_46,perturbed_alphatensor,False,23,46,0.01,,,,9,18,23,23,23,True,9,14,,0,,,,,,,,,,,,
perturbed_alphatensor_seed_47,perturbed_alphatensor,False,23,47,0.01,,,,9,18,23,23,23,True,9,14,,0,,,,,,,,,,,,
perturbed_alphatensor_seed_48,perturbed_alphatensor,False,23,48,0.01,,,,9,18,23,23,23,True,9,14,,0,,,,,,,,,,,,
perturbed_alphatensor_seed_49,perturbed_alphatensor,False,23,49,0.01,,,,9,18,23,23,23,True,9,14,,0,,,,,,,,,,,,
perturbed_alphatensor_seed_50,perturbed_alphatensor,False,23,50,0.01,,,,9,18,23,23,23,True,9,14,,0,,,,,,,,,,,,
perturbed_alphatensor_seed_51,perturbed_alphatensor,False,23,51,0.01,,,,9,18,23,23,23,True,9,14,,0,,,,,,,,,,,,
perturbed_alphatensor_seed_52,perturbed_alphatensor,False,23,52,0.01,,,,9,18,23,23,23,True,9,14,,0,,,,,,,,,,,,
perturbed_alphatensor_seed_53,perturbed_alphatensor,False,23,53,0.01,,,,9,18,23,23,23,True,9,14,,0,,,,,,,,,,,,
perturbed_alphatensor_seed_54,perturbed_alphatensor,False,23,54,0.01,,,,9,18,23,23,23,True,9,14,,0,,,,,,,,,,,,
perturbed_alphatensor_seed_55,perturbed_alphatensor,False,23,55,0.01,,,,9,18,23,23,23,True,9,14,,0,,,,,,,,,,,,
perturbed_alphatensor_seed_56,perturbed_alphatensor,False,23,56,0.01,,,,9,18,23,23,23,True,9,14,,0,,,,,,,,,,,,
perturbed_alphatensor_seed_57,perturbed_alphatensor,False,23,57,0.01,,,,9,18,23,23,23,True,9,14,,0,,,,,,,,,,,,
perturbed_alphatensor_seed_58,perturbed_alphatensor,False,23,58,0.01,,,,9,18,23,23,23,True,9,14,,0,,,,,,,,,,,,
perturbed_alphatensor_seed_59,perturbed_alphatensor,False,23,59,0.01,,,,9,18,23,23,23,True,9,14,,0,,,,,,,,,,,,
perturbed_alphatensor_seed_60,perturbed_alphatensor,False,23,60,0.01,,,,9,18,23,23,23,True,9,14,,0,,,,,,,,,,,,
perturbed_alphatensor_seed_61,perturbed_alphatensor,False,23,61,0.01,,,,9,18,23,23,23,True,9,14,,0,,,,,,,,,,,,
random_rank9_trial_1,random_rank1_collection,False,9,20261229,,1,,,9,9,9,9,9,True,9,0,,9,,,,,,,,,,,,
random_rank9_trial_2,random_rank1_collection,False,9,20261230,,2,,,9,9,9,9,9,True,9,0,,9,,,,,,,,,,,,
random_rank9_trial_3,random_rank1_collection,False,9,20261231,,3,,,9,9,9,9,9,True,9,0,,9,,,,,,,,,,,,
random_rank9_trial_4,random_rank1_collection,False,9,20261232,,4,,,9,9,9,9,9,True,9,0,,9,,,,,,,,,,,,
random_rank9_trial_5,random_rank1_collection,False,9,20261233,,5,,,9,9,9,9,9,True,9,0,,9,,,,,,,,,,,,
random_rank14_trial_1,random_rank1_collection,False,14,20261729,,1,,,9,14,14,14,14,True,9,5,,4,,,,,,,,,,,,
random_rank14_trial_2,random_rank1_collection,False,14,20261730,,2,,,9,14,14,14,14,True,9,5,,4,,,,,,,,,,,,
random_rank14_trial_3,random_rank1_collection,False,14,20261731,,3,,,9,14,14,14,14,True,9,5,,4,,,,,,,,,,,,
random_rank14_trial_4,random_rank1_collection,False,14,20261732,,4,,,9,14,14,14,14,True,9,5,,4,,,,,,,,,,,,
random_rank14_trial_5,random_rank1_collection,False,14,20261733,,5,,,9,14,14,14,14,True,9,5,,4,,,,,,,,,,,,
random_rank18_trial_1,random_rank1_collection,False,18,20262129,,1,,,9,18,18,18,18,True,9,9,,0,,,,,,,,,,,,
random_rank18_trial_2,random_rank1_collection,False,18,20262130,,2,,,9,18,18,18,18,True,9,9,,0,,,,,,,,,,,,
random_rank18_trial_3,random_rank1_collection,False,18,20262131,,3,,,9,18,18,18,18,True,9,9,,0,,,,,,,,,,,,
random_rank18_trial_4,random_rank1_collection,False,18,20262132,,4,,,9,18,18,18,18,True,9,9,,0,,,,,,,,,,,,
random_rank18_trial_5,random_rank1_collection,False,18,20262133,,5,,,9,18,18,18,18,True,9,9,,0,,,,,,,,,,,,
random_rank23_trial_1,random_rank1_collection,False,23,20262629,,1,,,9,18,23,23,23,True,9,14,,0,,,,,,,,,,,,
