trial_index,rank_H_numeric,rank_Delta_numeric,rank_HDelta_numeric,delta_in_eta_numeric,projection_max_residual_numeric
1,18,23,23,False,2.5005093319065543
2,18,23,23,False,3.217824265055862
3,18,23,23,False,2.2466204998479364
4,18,23,23,False,2.252079047263368
5,18,23,23,False,1.9828987100148399
6,18,23,23,False,2.2324527365580287
7,18,23,23,False,1.9648075855684386
8,18,23,23,False,2.5416015290512233
9,18,23,23,False,2.1078414245070896
10,18,23,23,False,1.8643348828415678
11,18,23,23,False,2.0862491608436016
12,18,23,23,False,2.6385225060893154
13,18,23,23,False,2.6766048637451316
14,18,23,23,False,2.2256853981534315
15,18,23,23,False,1.6482751766615387
16,18,23,23,False,2.451088264447174
17,18,23,23,False,1.6760807804003337
18,18,23,23,False,2.264570968324226
19,18,23,23,False,2.149123624626377
20,18,23,23,False,1.685303254215877
21,18,23,23,False,1.9629551503220009
22,18,23,23,False,4.155374937218145
23,18,23,23,False,1.9474329761149152
24,18,23,23,False,1.8406833324053098
25,18,23,23,False,2.0900416006854057
26,18,23,23,False,1.6557668999039374
27,18,23,23,False,2.2746080174178336
28,18,23,23,False,1.9411605904287148
29,18,23,23,False,1.8029660907131169
30,18,23,23,False,1.6628110736151716
31,18,23,23,False,1.863250304659449
32,18,23,23,False,2.040920328329359
33,18,23,23,False,2.522771952225948
34,18,23,23,False,1.5981234301050413
35,18,23,23,False,1.9613013791627805
36,18,23,23,False,2.4126727888900903
37,18,23,23,False,2.05823449674155
38,18,23,23,False,1.8560318110319722
39,18,23,23,False,2.554718888303419
40,18,23,23,False,1.8258354806429304
41,18,23,23,False,1.6366390511985436
42,18,23,23,False,1.479231111731397
43,18,23,23,False,1.8995214084397516
44,18,23,23,False,1.870270604560424
45,18,23,23,False,2.0553834918766674
46,18,23,23,False,1.5516965470613076
47,18,23,23,False,1.2900261894779013
48,18,23,23,False,2.0828821184791324
49,18,23,23,False,2.2410561003159395
50,18,23,23,False,2.9690933314485743
51,18,23,23,False,1.9606140580950056
52,18,23,23,False,2.7319395764764005
53,18,23,23,False,2.1584387089253396
54,18,23,23,False,3.1518941453753815
55,18,23,23,False,1.9993849198325009
56,18,23,23,False,2.503911467770113
57,18,23,23,False,1.6664197999708028
58,18,23,23,False,1.5892920198264824
59,18,23,23,False,2.13695840044326
60,18,23,23,False,2.035448661679896
61,18,23,23,False,2.086853614944864
62,18,23,23,False,2.098032891876751
63,18,23,23,False,2.7985444708720864
64,18,23,23,False,1.7623166882650745
65,18,23,23,False,1.8587039380043762
66,18,23,23,False,2.8122347716100893
67,18,23,23,False,1.873088158835483
68,18,23,23,False,1.6988177627292131
69,18,23,23,False,2.9331730107142
70,18,23,23,False,1.7964658556223478
71,18,23,23,False,1.578717894556164
72,18,23,23,False,2.53598778116504
73,18,23,23,False,1.8746857029492183
74,18,23,23,False,2.599429952474198
75,18,23,23,False,2.120463694936565
76,18,23,23,False,1.8451047044137656
77,18,23,23,False,1.9286761143733013
78,18,23,23,False,2.396674648275745
79,18,23,23,False,1.473345354116734
80,18,23,23,False,1.6482073352100284
81,18,23,23,False,2.225434546419409
82,18,23,23,False,2.7169354653469564
83,18,23,23,False,1.977649594313211
84,18,23,23,False,1.6091617322048122
85,18,23,23,False,1.9565873680993802
86,18,23,23,False,2.649758079281095
87,18,23,23,False,1.8715073390954744
88,18,23,23,False,2.2296224039561414
89,18,23,23,False,1.9549238926435046
90,18,23,23,False,3.2607516562712076
91,18,23,23,False,2.108189162377837
92,18,23,23,False,2.2730781233075446
93,18,23,23,False,1.7330016733337013
94,18,23,23,False,1.612567883034163
95,18,23,23,False,2.9068627179776274
96,18,23,23,False,2.5699784601937985
97,18,23,23,False,5.079283230896218
98,18,23,23,False,2.069235369381412
99,18,23,23,False,2.594432313125891
100,18,23,23,False,2.0370288069587574
101,18,23,23,False,1.5417283646822
102,18,23,23,False,2.179285584125645
103,18,23,23,False,1.7434623260136133
104,18,23,23,False,1.7227637154005115
105,18,23,23,False,2.0543345950672323
106,18,23,23,False,1.8579743716926798
107,18,23,23,False,1.9356653783955302
108,18,23,23,False,1.561501210919606
109,18,23,23,False,2.7890411129224884
110,18,23,23,False,2.0829505348523134
111,18,23,23,False,2.5341964576721203
112,18,23,23,False,2.0486622288098237
113,18,23,23,False,2.141481139047059
114,18,23,23,False,2.204243100056855
115,18,23,23,False,2.540179183657182
116,18,23,23,False,1.5323908417880545
117,18,23,23,False,2.2246763275603745
118,18,23,23,False,1.247011690525351
119,18,23,23,False,1.8729376391799937
120,18,23,23,False,2.016694319434187
121,18,23,23,False,1.84291120336793
122,18,23,23,False,2.2209819139045597
123,18,23,23,False,2.1344614880895283
124,18,23,23,False,1.953364772442694
125,18,23,23,False,1.951071313975556
126,18,23,23,False,2.7988944643959437
127,18,23,23,False,1.7027847280940143
128,18,23,23,False,1.5874710636738127
129,18,23,23,False,2.121187468069847
130,18,23,23,False,2.8972318805664763
131,18,23,23,False,2.037272611467241
132,18,23,23,False,2.1242479205035933
133,18,23,23,False,2.2809520653249544
134,18,23,23,False,2.095318735769722
135,18,23,23,False,1.7948336202582031
