removed_term,remaining_R,rank_H_numeric,rank_HDelta_numeric,delta_in_eta_numeric,projection_max_residual_numeric,rank_H_exact,rank_HDelta_exact,delta_in_eta_exact
t01,22,14,14,True,1.7763568394002505e-15,14,14,True
t02,22,14,14,True,2.192690473634684e-15,14,14,True
t03,22,14,14,True,1.7763568394002505e-15,14,14,True
t04,22,14,14,True,1.3546523789735437e-15,14,14,True
t05,22,14,14,True,1.9984014443252818e-15,14,14,True
t06,22,14,14,True,1.3322676295501878e-15,14,14,True
t07,22,14,14,True,2.0465055317939665e-15,14,14,True
t08,22,14,14,True,2.3037127760972e-15,14,14,True
t09,22,14,14,True,1.460687868710263e-15,14,14,True
t10,22,14,14,True,3.655206204940235e-15,14,14,True
t11,22,14,14,True,1.1102230246251565e-15,14,14,True
t12,22,14,14,True,2.570860191397628e-15,14,14,True
t13,22,14,14,True,1.954690546568131e-15,14,14,True
t14,22,14,14,True,1.5289673827304205e-15,14,14,True
t15,22,14,14,True,2.0885961261238455e-15,14,14,True
t16,22,14,14,True,1.6634295028839212e-15,14,14,True
t17,22,14,14,True,1.7763568394002505e-15,14,14,True
t18,22,14,14,True,1.9984014443252818e-15,14,14,True
t19,22,14,14,True,1.887379141862766e-15,14,14,True
t20,22,14,14,True,1.5543122344752192e-15,14,14,True
t21,22,14,14,True,2.220446049250313e-15,14,14,True
t22,22,14,14,True,1.3322676295501878e-15,14,14,True
t23,22,14,14,True,1.872557753495712e-15,14,14,True
