family,trial_index,ker_gamma_dim_numeric,rank_H_numeric,kernel_saturation_numeric,channel0_identity_max_abs,channel1_identity_max_abs,channel2_identity_max_abs,H_kernel_residual_max_abs
alphatensor_gamma,1,14,14,True,1.7208456881689926e-15,1.887379141862766e-15,1.5543122344752192e-15,2.220446049250313e-15
alphatensor_gamma,2,14,14,True,1.4432899320127035e-15,9.992007221626409e-16,1.9984014443252818e-15,2.220446049250313e-15
alphatensor_gamma,3,14,14,True,2.456368441983159e-15,1.3322676295501878e-15,1.7763568394002505e-15,2.220446049250313e-15
alphatensor_gamma,4,14,14,True,1.3322676295501878e-15,1.3322676295501878e-15,1.5543122344752192e-15,1.7763568394002505e-15
alphatensor_gamma,5,14,14,True,1.1102230246251565e-15,1.2351231148954867e-15,1.7763568394002505e-15,2.6645352591003757e-15
alphatensor_gamma,6,14,14,True,2.3314683517128287e-15,1.2212453270876722e-15,1.8457457784393227e-15,2.4424906541753444e-15
alphatensor_gamma,7,14,14,True,1.9186041644303486e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.9984014443252818e-15
alphatensor_gamma,8,14,14,True,1.0824674490095276e-15,1.9984014443252818e-15,1.6653345369377348e-15,2.220446049250313e-15
alphatensor_gamma,9,14,14,True,1.9984014443252818e-15,1.5543122344752192e-15,1.2212453270876722e-15,1.942890293094024e-15
alphatensor_gamma,10,14,14,True,1.5543122344752192e-15,1.3322676295501878e-15,1.5543122344752192e-15,1.9984014443252818e-15
alphatensor_gamma,11,14,14,True,1.7763568394002505e-15,1.942890293094024e-15,9.992007221626409e-16,2.4424906541753444e-15
alphatensor_gamma,12,14,14,True,2.6645352591003757e-15,1.6653345369377348e-15,1.5543122344752192e-15,2.4424906541753444e-15
alphatensor_gamma,13,14,14,True,1.1102230246251565e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.9984014443252818e-15
alphatensor_gamma,14,14,14,True,2.4424906541753444e-15,1.7763568394002505e-15,1.3877787807814457e-15,2.220446049250313e-15
alphatensor_gamma,15,14,14,True,1.5543122344752192e-15,1.1102230246251565e-15,1.6653345369377348e-15,2.4424906541753444e-15
alphatensor_gamma,16,14,14,True,1.1102230246251565e-15,1.2212453270876722e-15,1.3322676295501878e-15,1.7763568394002505e-15
alphatensor_gamma,17,14,14,True,1.7763568394002505e-15,1.3877787807814457e-15,1.4432899320127035e-15,1.942890293094024e-15
alphatensor_gamma,18,14,14,True,1.5543122344752192e-15,1.6653345369377348e-15,1.4432899320127035e-15,2.6645352591003757e-15
alphatensor_gamma,19,14,14,True,1.1102230246251565e-15,1.5543122344752192e-15,1.6653345369377348e-15,2.7755575615628914e-15
alphatensor_gamma,20,14,14,True,1.3322676295501878e-15,1.0824674490095276e-15,1.9984014443252818e-15,2.886579864025407e-15
alphatensor_gamma,21,14,14,True,1.3322676295501878e-15,1.2212453270876722e-15,1.3322676295501878e-15,2.220446049250313e-15
alphatensor_gamma,22,14,14,True,1.1518563880486e-15,1.3322676295501878e-15,1.5543122344752192e-15,2.220446049250313e-15
alphatensor_gamma,23,14,14,True,1.9984014443252818e-15,1.2212453270876722e-15,1.3322676295501878e-15,2.6645352591003757e-15
alphatensor_gamma,24,14,14,True,1.4432899320127035e-15,1.3322676295501878e-15,1.5543122344752192e-15,2.886579864025407e-15
alphatensor_gamma,25,14,14,True,1.6653345369377348e-15,2.886579864025407e-15,1.7763568394002505e-15,3.552713678800501e-15
alphatensor_gamma,26,14,14,True,1.7763568394002505e-15,1.7763568394002505e-15,1.4432899320127035e-15,2.220446049250313e-15
alphatensor_gamma,27,14,14,True,1.3322676295501878e-15,1.4432899320127035e-15,1.3322676295501878e-15,2.609024107869118e-15
alphatensor_gamma,28,14,14,True,1.5543122344752192e-15,1.2212453270876722e-15,1.3322676295501878e-15,2.220446049250313e-15
alphatensor_gamma,29,14,14,True,1.3322676295501878e-15,1.4432899320127035e-15,1.6653345369377348e-15,2.220446049250313e-15
alphatensor_gamma,30,14,14,True,1.4432899320127035e-15,1.5543122344752192e-15,1.7763568394002505e-15,2.0539125955565396e-15
alphatensor_gamma,31,14,14,True,1.5543122344752192e-15,1.2212453270876722e-15,1.5543122344752192e-15,2.220446049250313e-15
alphatensor_gamma,32,14,14,True,1.6653345369377348e-15,9.43689570931383e-16,1.5543122344752192e-15,1.7763568394002505e-15
alphatensor_gamma,33,14,14,True,1.3322676295501878e-15,1.4432899320127035e-15,1.3322676295501878e-15,1.915134717478395e-15
alphatensor_gamma,34,14,14,True,1.5543122344752192e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.9984014443252818e-15
alphatensor_gamma,35,14,14,True,2.0539125955565396e-15,1.4797191250082165e-15,1.609823385706477e-15,1.9984014443252818e-15
alphatensor_gamma,36,14,14,True,1.5543122344752192e-15,1.7208456881689926e-15,1.6653345369377348e-15,2.220446049250313e-15
alphatensor_gamma,37,14,14,True,1.1102230246251565e-15,1.7763568394002505e-15,1.0547118733938987e-15,2.220446049250313e-15
alphatensor_gamma,38,14,14,True,1.4432899320127035e-15,1.1102230246251565e-15,1.7763568394002505e-15,2.886579864025407e-15
alphatensor_gamma,39,14,14,True,1.2212453270876722e-15,1.7659484985443896e-15,1.7763568394002505e-15,2.4424906541753444e-15
alphatensor_gamma,40,14,14,True,1.3322676295501878e-15,1.609823385706477e-15,1.9984014443252818e-15,2.3314683517128287e-15
alphatensor_gamma,41,14,14,True,1.3322676295501878e-15,1.1102230246251565e-15,1.5543122344752192e-15,2.220446049250313e-15
alphatensor_gamma,42,14,14,True,1.5543122344752192e-15,1.887379141862766e-15,1.1102230246251565e-15,2.220446049250313e-15
alphatensor_gamma,43,14,14,True,1.3322676295501878e-15,1.2212453270876722e-15,1.1934897514720433e-15,2.1094237467877974e-15
alphatensor_gamma,44,14,14,True,1.6653345369377348e-15,1.3322676295501878e-15,1.4432899320127035e-15,2.4424906541753444e-15
alphatensor_gamma,45,14,14,True,1.6375789613221059e-15,1.3322676295501878e-15,1.1102230246251565e-15,2.220446049250313e-15
alphatensor_gamma,46,14,14,True,1.4432899320127035e-15,1.2212453270876722e-15,1.4432899320127035e-15,2.1094237467877974e-15
alphatensor_gamma,47,14,14,True,1.1102230246251565e-15,1.3322676295501878e-15,1.1102230246251565e-15,2.1094237467877974e-15
alphatensor_gamma,48,14,14,True,1.3322676295501878e-15,2.3314683517128287e-15,1.5543122344752192e-15,3.3861802251067274e-15
alphatensor_gamma,49,14,14,True,1.3322676295501878e-15,1.1102230246251565e-15,1.3322676295501878e-15,2.3314683517128287e-15
alphatensor_gamma,50,14,14,True,9.992007221626409e-16,1.4432899320127035e-15,1.3322676295501878e-15,2.4424906541753444e-15
alphatensor_gamma,51,14,14,True,1.4155343563970746e-15,1.3877787807814457e-15,1.6653345369377348e-15,2.1649348980190553e-15
alphatensor_gamma,52,14,14,True,1.3825746103535153e-15,1.3322676295501878e-15,1.4432899320127035e-15,3.1086244689504383e-15
alphatensor_gamma,53,14,14,True,1.1102230246251565e-15,1.1657341758564144e-15,1.5543122344752192e-15,2.4424906541753444e-15
alphatensor_gamma,54,14,14,True,1.9984014443252818e-15,1.4988010832439613e-15,1.5543122344752192e-15,2.6645352591003757e-15
alphatensor_gamma,55,14,14,True,1.9984014443252818e-15,1.7763568394002505e-15,1.9984014443252818e-15,2.220446049250313e-15
alphatensor_gamma,56,14,14,True,1.3322676295501878e-15,1.4988010832439613e-15,1.3877787807814457e-15,2.886579864025407e-15
alphatensor_gamma,57,14,14,True,1.0824674490095276e-15,1.7763568394002505e-15,1.3322676295501878e-15,2.886579864025407e-15
alphatensor_gamma,58,14,14,True,1.6653345369377348e-15,1.6653345369377348e-15,1.2212453270876722e-15,2.220446049250313e-15
alphatensor_gamma,59,14,14,True,1.5543122344752192e-15,1.3877787807814457e-15,1.5543122344752192e-15,3.552713678800501e-15
alphatensor_gamma,60,14,14,True,8.881784197001252e-16,2.220446049250313e-15,1.5543122344752192e-15,2.6645352591003757e-15
alphatensor_gamma,61,14,14,True,1.465841337200402e-15,1.4016565685892601e-15,1.9984014443252818e-15,1.7763568394002505e-15
alphatensor_gamma,62,14,14,True,1.4988010832439613e-15,1.7763568394002505e-15,1.887379141862766e-15,2.220446049250313e-15
alphatensor_gamma,63,14,14,True,1.3322676295501878e-15,1.9984014443252818e-15,1.3877787807814457e-15,3.1086244689504383e-15
alphatensor_gamma,64,14,14,True,1.3322676295501878e-15,1.2212453270876722e-15,1.3322676295501878e-15,1.887379141862766e-15
alphatensor_gamma,65,14,14,True,9.992007221626409e-16,1.5543122344752192e-15,1.7208456881689926e-15,2.220446049250313e-15
alphatensor_gamma,66,14,14,True,1.9984014443252818e-15,1.7763568394002505e-15,1.3600232051658168e-15,2.4424906541753444e-15
alphatensor_gamma,67,14,14,True,2.220446049250313e-15,1.9984014443252818e-15,1.1379786002407855e-15,1.887379141862766e-15
alphatensor_gamma,68,14,14,True,9.020562075079397e-16,2.4424906541753444e-15,1.4016565685892601e-15,2.6645352591003757e-15
alphatensor_gamma,69,14,14,True,1.7104373473131318e-15,1.3322676295501878e-15,1.6653345369377348e-15,2.3314683517128287e-15
alphatensor_gamma,70,14,14,True,1.7486012637846216e-15,1.7763568394002505e-15,1.3322676295501878e-15,2.4424906541753444e-15
alphatensor_gamma,71,14,14,True,1.3322676295501878e-15,1.2212453270876722e-15,1.3322676295501878e-15,1.887379141862766e-15
alphatensor_gamma,72,14,14,True,1.6375789613221059e-15,2.6645352591003757e-15,1.5126788710517758e-15,2.858824288409778e-15
alphatensor_gamma,73,14,14,True,1.609823385706477e-15,1.3322676295501878e-15,1.3530843112619095e-15,1.5543122344752192e-15
alphatensor_gamma,74,14,14,True,1.3322676295501878e-15,1.887379141862766e-15,1.4988010832439613e-15,2.4424906541753444e-15
alphatensor_gamma,75,14,14,True,1.3322676295501878e-15,2.220446049250313e-15,1.5543122344752192e-15,2.7755575615628914e-15
alphatensor_gamma,76,14,14,True,1.3322676295501878e-15,1.7208456881689926e-15,1.2212453270876722e-15,2.220446049250313e-15
alphatensor_gamma,77,14,14,True,1.3322676295501878e-15,1.5543122344752192e-15,1.887379141862766e-15,2.3869795029440866e-15
alphatensor_gamma,78,14,14,True,1.3322676295501878e-15,1.7208456881689926e-15,1.6757428777935957e-15,2.4424906541753444e-15
alphatensor_gamma,79,14,14,True,1.3877787807814457e-15,1.27675647831893e-15,9.992007221626409e-16,1.942890293094024e-15
alphatensor_gamma,80,14,14,True,1.5543122344752192e-15,1.2212453270876722e-15,1.1102230246251565e-15,2.220446049250313e-15
alphatensor_gamma,81,14,14,True,1.4432899320127035e-15,1.1102230246251565e-15,1.5543122344752192e-15,1.9984014443252818e-15
alphatensor_gamma,82,14,14,True,1.4988010832439613e-15,1.6653345369377348e-15,2.1094237467877974e-15,2.886579864025407e-15
alphatensor_gamma,83,14,14,True,1.915134717478395e-15,1.4432899320127035e-15,2.220446049250313e-15,3.1086244689504383e-15
alphatensor_gamma,84,14,14,True,1.6653345369377348e-15,1.7208456881689926e-15,1.5543122344752192e-15,2.4424906541753444e-15
alphatensor_gamma,85,14,14,True,1.3322676295501878e-15,1.5543122344752192e-15,1.3322676295501878e-15,2.6645352591003757e-15
alphatensor_gamma,86,14,14,True,1.3322676295501878e-15,1.3322676295501878e-15,1.6653345369377348e-15,2.3314683517128287e-15
alphatensor_gamma,87,14,14,True,1.27675647831893e-15,9.992007221626409e-16,1.5543122344752192e-15,1.8318679906315083e-15
alphatensor_gamma,88,14,14,True,1.7763568394002505e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.9984014443252818e-15
alphatensor_gamma,89,14,14,True,1.7763568394002505e-15,1.3739009929736312e-15,1.1102230246251565e-15,2.55351295663786e-15
alphatensor_gamma,90,14,14,True,1.3322676295501878e-15,1.3322676295501878e-15,1.5543122344752192e-15,1.9984014443252818e-15
alphatensor_gamma,91,14,14,True,1.5543122344752192e-15,2.220446049250313e-15,1.7659484985443896e-15,2.4424906541753444e-15
alphatensor_gamma,92,14,14,True,1.3877787807814457e-15,1.4432899320127035e-15,2.220446049250313e-15,1.7763568394002505e-15
alphatensor_gamma,93,14,14,True,1.3322676295501878e-15,1.4432899320127035e-15,1.5543122344752192e-15,2.220446049250313e-15
alphatensor_gamma,94,14,14,True,2.275957200481571e-15,1.5543122344752192e-15,1.7763568394002505e-15,2.220446049250313e-15
alphatensor_gamma,95,14,14,True,8.881784197001252e-16,1.1102230246251565e-15,1.5543122344752192e-15,1.9984014443252818e-15
alphatensor_gamma,96,14,14,True,2.220446049250313e-15,1.7854641376491287e-15,1.3322676295501878e-15,2.373101715136272e-15
alphatensor_gamma,97,14,14,True,1.5543122344752192e-15,1.4432899320127035e-15,1.1657341758564144e-15,1.9984014443252818e-15
alphatensor_gamma,98,14,14,True,1.2490009027033011e-15,1.6167622796103842e-15,1.7763568394002505e-15,1.9984014443252818e-15
alphatensor_gamma,99,14,14,True,1.7763568394002505e-15,1.7763568394002505e-15,1.1102230246251565e-15,2.4424906541753444e-15
alphatensor_gamma,100,14,14,True,1.5543122344752192e-15,1.3322676295501878e-15,1.4988010832439613e-15,2.1094237467877974e-15
alphatensor_gamma,101,14,14,True,1.9984014443252818e-15,2.1094237467877974e-15,1.3322676295501878e-15,2.4424906541753444e-15
alphatensor_gamma,102,14,14,True,1.3322676295501878e-15,1.2212453270876722e-15,1.880440247958859e-15,2.1094237467877974e-15
alphatensor_gamma,103,14,14,True,1.7763568394002505e-15,1.5543122344752192e-15,1.7763568394002505e-15,2.55351295663786e-15
alphatensor_gamma,104,14,14,True,1.4432899320127035e-15,1.9984014443252818e-15,1.2212453270876722e-15,1.9984014443252818e-15
alphatensor_gamma,105,14,14,True,1.2212453270876722e-15,1.7763568394002505e-15,1.887379141862766e-15,2.220446049250313e-15
alphatensor_gamma,106,14,14,True,1.7763568394002505e-15,1.5543122344752192e-15,9.367506770274758e-16,2.6645352591003757e-15
alphatensor_gamma,107,14,14,True,1.3322676295501878e-15,1.3322676295501878e-15,1.3322676295501878e-15,2.220446049250313e-15
alphatensor_gamma,108,14,14,True,2.220446049250313e-15,1.3322676295501878e-15,1.2906342661267445e-15,2.6645352591003757e-15
