base_label,family,trial_index,noise_scale,R,rank_H_numeric,rank_HDelta_numeric,channel0_identity_max_abs,channel1_identity_max_abs,channel2_identity_max_abs,pair01_live_gap_max_abs,pair12_live_gap_max_abs,pair02_live_gap_max_abs,tensor_max_abs_residual,tensor_loss
alphatensor_rank23_transpose,pair_equal_01,1,0.0,23,9,18,0.5000000000000003,0.5000000000000003,1.864702285881926e-15,0.0,1.5,1.5,0.5000000000000003,9.0
alphatensor_rank23_transpose,pair_equal_01,2,0.02,23,9,23,0.5067106394424057,0.5067106394424057,0.03878926083668661,0.0,1.4523615212755343,1.4523615212755343,0.5067106394424057,9.091763206178847
alphatensor_rank23_transpose,pair_equal_01,3,0.02,23,9,23,0.5107347583520003,0.5107347583520003,0.02706060824758329,0.0,1.4893790003043494,1.4893790003043494,0.5107347583520003,9.087110143156782
alphatensor_rank23_transpose,pair_equal_01,4,0.02,23,9,23,0.5172349030760597,0.5172349030760597,0.0399023902722235,0.0,1.4899501273414053,1.4899501273414053,0.5172349030760597,9.10045172842661
alphatensor_rank23_transpose,pair_equal_01,5,0.02,23,9,23,0.5070803821999668,0.5070803821999668,0.024682396827888534,0.0,1.4735600573186667,1.4735600573186667,0.5070803821999668,9.072862231874844
alphatensor_rank23_transpose,pair_equal_01,6,0.02,23,9,23,0.5098821544823593,0.5098821544823593,0.040878225777653834,0.0,1.502079654395097,1.502079654395097,0.5098821544823591,9.079830119123299
alphatensor_rank23_transpose,pair_equal_01,7,0.02,23,9,23,0.5069826034058698,0.5069826034058698,0.04047187378963274,0.0,1.487289814458074,1.487289814458074,0.5069826034058698,9.106424096072342
alphatensor_rank23_transpose,pair_equal_01,8,0.02,23,9,23,0.5074135690248704,0.5074135690248704,0.04875338009096675,0.0,1.4700425195715048,1.4700425195715048,0.5147678796802382,9.064068388078965
alphatensor_rank23_transpose,pair_equal_01,9,0.02,23,9,23,0.5197775946727579,0.5197775946727579,0.05015815929308971,0.0,1.5120840080988287,1.5120840080988287,0.5197775946727579,9.095516068754234
alphatensor_rank23_transpose,pair_equal_01,10,0.02,23,9,23,0.5134348725931404,0.5134348725931404,0.0431746673124294,0.0,1.4788591620303349,1.4788591620303349,0.5134348725931404,9.089018152605705
alphatensor_rank23_transpose,pair_equal_01,11,0.02,23,9,23,0.513978376658543,0.513978376658543,0.02122044788010724,0.0,1.4804610642125209,1.4804610642125209,0.5139783766585428,9.124872895234006
alphatensor_rank23_transpose,pair_equal_01,12,0.02,23,9,23,0.5124140733971991,0.5124140733971991,0.019899991430163997,0.0,1.4995082696589188,1.4995082696589188,0.5124140733971991,9.10916337765269
alphatensor_rank23_transpose,pair_equal_01,13,0.02,23,9,23,0.530798966335571,0.530798966335571,0.052902298711362074,0.0,1.4897491845190345,1.4897491845190345,0.530798966335571,9.087134944221354
alphatensor_rank23_transpose,pair_equal_01,14,0.02,23,9,23,0.5055562575920525,0.5055562575920525,0.04743905666452345,0.0,1.4921925245830947,1.4921925245830947,0.5055562575920525,9.09099701087784
alphatensor_rank23_transpose,pair_equal_01,15,0.02,23,9,23,0.5033488316443189,0.5033488316443189,0.032800550879102296,0.0,1.5114488638751387,1.5114488638751387,0.5042878650718496,9.056547467400545
alphatensor_rank23_transpose,pair_equal_01,16,0.02,23,9,23,0.5117077542641986,0.5117077542641986,0.04794683507753263,0.0,1.535744484217973,1.535744484217973,0.5117077542641986,9.096631461345844
alphatensor_rank23_transpose,pair_equal_01,17,0.02,23,9,23,0.5165413998674242,0.5165413998674242,0.07206944204301716,0.0,1.4927124313182625,1.4927124313182625,0.5165413998674242,9.13661349093872
alphatensor_rank23_transpose,pair_equal_01,18,0.02,23,9,23,0.5113183992491805,0.5113183992491805,0.024465203809608378,0.0,1.527347246318091,1.527347246318091,0.5113183992491805,9.068078237794468
alphatensor_rank23_transpose,pair_equal_01,19,0.02,23,9,23,0.5080373280862618,0.5080373280862618,0.03489253706894331,0.0,1.5321465656886017,1.5321465656886017,0.5080373280862618,9.062817853671135
alphatensor_rank23_transpose,pair_equal_01,20,0.02,23,9,23,0.5080641495017254,0.5080641495017254,0.02680671265335568,0.0,1.5041126659515967,1.5041126659515967,0.5080641495017254,9.08872058929519
alphatensor_rank23_transpose,pair_equal_01,21,0.02,23,9,23,0.5162099971247869,0.5162099971247869,0.07097169981063217,0.0,1.4916352602023597,1.4916352602023597,0.5163526545529817,9.10974379745354
alphatensor_rank23_transpose,pair_equal_01,22,0.02,23,9,23,0.5091424749931182,0.5091424749931182,0.05863575241575852,0.0,1.435820778392077,1.435820778392077,0.5091424749931182,9.07580341566188
alphatensor_rank23_transpose,pair_equal_01,23,0.02,23,9,23,0.5094453699856661,0.5094453699856661,0.05098152596269989,0.0,1.5503338767460213,1.5503338767460213,0.5094453699856663,9.082419828118185
alphatensor_rank23_transpose,pair_equal_01,24,0.02,23,9,23,0.5078157172997781,0.5078157172997781,0.06828999212991549,0.0,1.5133426856642263,1.5133426856642263,0.5148636160605137,9.106751688065657
alphatensor_rank23_transpose,pair_equal_01,25,0.02,23,9,23,0.5057401952572491,0.5057401952572491,0.039174228282942536,0.0,1.4578491363117894,1.4578491363117894,0.5087519280895673,9.10779662754079
alphatensor_rank23_transpose,pair_equal_01,26,0.02,23,9,23,0.5134848540560044,0.5134848540560044,0.04438586367278529,0.0,1.4687960987553297,1.4687960987553297,0.5134848540560044,9.110166706401293
alphatensor_rank23_transpose,pair_equal_01,27,0.02,23,9,23,0.5068873652922008,0.5068873652922008,0.02494326109079692,0.0,1.5288773654580117,1.5288773654580117,0.5068873652922008,9.074220505697273
alphatensor_rank23_transpose,pair_equal_01,28,0.02,23,9,23,0.5043642847139058,0.5043642847139058,0.03638362058230782,0.0,1.4905557641919933,1.4905557641919933,0.5109170227934898,9.077610055914771
alphatensor_rank23_transpose,pair_equal_01,29,0.02,23,9,23,0.5150307847540978,0.5150307847540978,0.030646287644581105,0.0,1.4991483366046006,1.4991483366046006,0.5150307847540978,9.073270153615418
alphatensor_rank23_transpose,pair_equal_01,30,0.02,23,9,23,0.5044327028315507,0.5044327028315507,0.0392386469923025,0.0,1.4493443809093498,1.4493443809093498,0.5080773877095609,9.084217384053343
alphatensor_rank23_transpose,pair_equal_12,1,0.0,23,9,19,3.2949728909645184e-15,0.5000000000000006,0.5000000000000006,1.5,0.0,1.5,0.5000000000000007,9.0
alphatensor_rank23_transpose,pair_equal_12,2,0.02,23,9,23,0.04677609378410896,0.5146530126083277,0.5146530126083277,1.4980117596386546,0.0,1.4980117596386546,0.5146530126083277,9.107747419644411
alphatensor_rank23_transpose,pair_equal_12,3,0.02,23,9,23,0.041335651090892406,0.5088235925656046,0.5088235925656046,1.433696587219821,0.0,1.433696587219821,0.5088235925656046,9.081165899763189
alphatensor_rank23_transpose,pair_equal_12,4,0.02,23,9,23,0.07500810543188215,0.5212171364649444,0.5212171364649444,1.4911466423727426,0.0,1.4911466423727426,0.5239830209650499,9.133919303353093
alphatensor_rank23_transpose,pair_equal_12,5,0.02,23,9,23,0.03406617574250892,0.5088237126853019,0.5088237126853019,1.4880622736283637,0.0,1.4880622736283637,0.5088237126853021,9.100351124665192
alphatensor_rank23_transpose,pair_equal_12,6,0.02,23,9,23,0.03447013824370434,0.5066728295087894,0.5066728295087894,1.510918818705326,0.0,1.510918818705326,0.5097628228812812,9.078475226239476
alphatensor_rank23_transpose,pair_equal_12,7,0.02,23,9,23,0.030901791129717804,0.52266060091756,0.52266060091756,1.4804249343298768,0.0,1.4804249343298768,0.5226606009175601,9.120200978563105
alphatensor_rank23_transpose,pair_equal_12,8,0.02,23,9,23,0.027225009653542784,0.519626745596642,0.519626745596642,1.5086967171187755,0.0,1.5086967171187755,0.519626745596642,9.069145022648302
alphatensor_rank23_transpose,pair_equal_12,9,0.02,23,9,23,0.03728305042984752,0.5118388298343892,0.5118388298343892,1.5078938338950443,0.0,1.5078938338950443,0.5118388298343892,9.070665947479196
alphatensor_rank23_transpose,pair_equal_12,10,0.02,23,9,23,0.038106536832154154,0.5209520345724983,0.5209520345724983,1.4900322179245846,0.0,1.4900322179245846,0.5209520345724983,9.107075978276313
alphatensor_rank23_transpose,pair_equal_12,11,0.02,23,9,23,0.04357109273228866,0.5192114611411764,0.5192114611411764,1.4805148678973377,0.0,1.4805148678973377,0.5192114611411763,9.108231003318846
alphatensor_rank23_transpose,pair_equal_12,12,0.02,23,9,23,0.03366444569816051,0.5149227640325864,0.5149227640325864,1.4964599055225372,0.0,1.4964599055225372,0.5149227640325865,9.07742542455976
alphatensor_rank23_transpose,pair_equal_12,13,0.02,23,9,23,0.052154309439402066,0.5307862273370094,0.5307862273370094,1.4829929126491666,0.0,1.4829929126491666,0.5307862273370094,9.106872562009478
alphatensor_rank23_transpose,pair_equal_12,14,0.02,23,9,23,0.02855050609525264,0.515439654861755,0.515439654861755,1.5289574176361356,0.0,1.5289574176361356,0.515439654861755,9.07424165745809
alphatensor_rank23_transpose,pair_equal_12,15,0.02,23,9,23,0.048762750674597746,0.5168914375863409,0.5168914375863409,1.5153069283429246,0.0,1.5153069283429246,0.5168914375863409,9.061974550855878
alphatensor_rank23_transpose,pair_equal_12,16,0.02,23,9,23,0.04288112128387933,0.5117040195329688,0.5117040195329688,1.4960671608459042,0.0,1.4960671608459042,0.5117040195329688,9.11044122623328
alphatensor_rank23_transpose,pair_equal_12,17,0.02,23,9,23,0.03326438161206201,0.507847679833114,0.507847679833114,1.4718371935195436,0.0,1.4718371935195436,0.507847679833114,9.093574422375506
alphatensor_rank23_transpose,pair_equal_12,18,0.02,23,9,23,0.03453303504969035,0.5043487461203687,0.5043487461203687,1.4932036875150942,0.0,1.4932036875150942,0.5091996948568596,9.083190148511536
alphatensor_rank23_transpose,pair_equal_12,19,0.02,23,9,23,0.05437431035413519,0.5060433414956995,0.5060433414956995,1.4880473912456218,0.0,1.4880473912456218,0.5126418372952471,9.095868959627154
alphatensor_rank23_transpose,pair_equal_12,20,0.02,23,9,23,0.039423258656364334,0.5072276253949437,0.5072276253949437,1.507251058556832,0.0,1.507251058556832,0.5082250432256251,9.089357237050429
alphatensor_rank23_transpose,pair_equal_12,21,0.02,23,9,23,0.037481068085907676,0.5124747531717013,0.5124747531717013,1.5391054556170563,0.0,1.5391054556170563,0.5124747531717013,9.099742214558084
alphatensor_rank23_transpose,pair_equal_12,22,0.02,23,9,23,0.04350898890161281,0.5027478331360444,0.5027478331360444,1.5050948539060898,0.0,1.5050948539060898,0.515834343826584,9.075209553131435
alphatensor_rank23_transpose,pair_equal_12,23,0.02,23,9,23,0.046650699536661455,0.5266149023091786,0.5266149023091786,1.4680374177864592,0.0,1.4680374177864592,0.5266149023091786,9.088766322466022
alphatensor_rank23_transpose,pair_equal_12,24,0.02,23,9,23,0.026474977487888213,0.5162782134518655,0.5162782134518655,1.4904802827417318,0.0,1.4904802827417318,0.5162782134518655,9.09379679285786
alphatensor_rank23_transpose,pair_equal_12,25,0.02,23,9,23,0.0365554270244377,0.5064126817548031,0.5064126817548031,1.514696769307001,0.0,1.514696769307001,0.5129794526851832,9.065048244079914
alphatensor_rank23_transpose,pair_equal_12,26,0.02,23,9,23,0.029495132313966277,0.5143277306029073,0.5143277306029073,1.4772639204471796,0.0,1.4772639204471796,0.5143277306029073,9.08617765038906
alphatensor_rank23_transpose,pair_equal_12,27,0.02,23,9,23,0.0523973386098906,0.5118151846644312,0.5118151846644312,1.5231465391301677,0.0,1.5231465391301677,0.5155544471960046,9.094951592726876
alphatensor_rank23_transpose,pair_equal_12,28,0.02,23,9,23,0.03805528520502033,0.5112868338286574,0.5112868338286574,1.4698164688677546,0.0,1.4698164688677546,0.5127714355251055,9.06935559392143
alphatensor_rank23_transpose,pair_equal_12,29,0.02,23,9,23,0.02991414025419806,0.5050496873787411,0.5050496873787411,1.4883981712489165,0.0,1.4883981712489165,0.5090173827230281,9.065545612357539
alphatensor_rank23_transpose,pair_equal_12,30,0.02,23,9,23,0.05889435519435759,0.5124571036295046,0.5124571036295046,1.460966565184187,0.0,1.460966565184187,0.5124571036295045,9.112308079757724
alphatensor_rank23_transpose,all_equal,1,0.0,23,0,9,0.666666666666667,0.666666666666667,0.666666666666667,0.0,0.0,0.0,0.6666666666666671,18.0
alphatensor_rank23_transpose,all_equal,2,0.02,23,0,9,0.6666666666666669,0.6666666666666669,0.6666666666666669,0.0,0.0,0.0,0.666666666666667,18.0
