delta_coordinate,constant_linear_combination_of_eta_exists
"delta[0,0,1,0]",False
"delta[0,0,1,1]",False
"delta[0,0,1,2]",False
"delta[0,0,2,0]",False
"delta[0,0,2,1]",False
"delta[0,0,2,2]",False
"delta[0,1,0,0]",False
"delta[0,1,0,1]",False
"delta[0,1,0,2]",False
"delta[0,1,2,0]",False
"delta[0,1,2,1]",False
"delta[0,1,2,2]",False
"delta[0,2,0,0]",False
"delta[0,2,0,1]",False
"delta[0,2,0,2]",False
"delta[0,2,1,0]",False
"delta[0,2,1,1]",False
"delta[0,2,1,2]",False
"delta[1,0,1,0]",False
"delta[1,0,1,1]",False
"delta[1,0,1,2]",False
"delta[1,0,2,0]",False
"delta[1,0,2,1]",False
"delta[1,0,2,2]",False
"delta[1,1,0,0]",False
"delta[1,1,0,1]",False
"delta[1,1,0,2]",False
"delta[1,1,2,0]",False
"delta[1,1,2,1]",False
"delta[1,1,2,2]",False
"delta[1,2,0,0]",False
"delta[1,2,0,1]",False
"delta[1,2,0,2]",False
"delta[1,2,1,0]",False
"delta[1,2,1,1]",False
"delta[1,2,1,2]",False
"delta[2,0,1,0]",False
"delta[2,0,1,1]",False
"delta[2,0,1,2]",False
"delta[2,0,2,0]",False
"delta[2,0,2,1]",False
"delta[2,0,2,2]",False
"delta[2,1,0,0]",False
"delta[2,1,0,1]",False
"delta[2,1,0,2]",False
"delta[2,1,2,0]",False
"delta[2,1,2,1]",False
"delta[2,1,2,2]",False
"delta[2,2,0,0]",False
"delta[2,2,0,1]",False
"delta[2,2,0,2]",False
"delta[2,2,1,0]",False
"delta[2,2,1,1]",False
"delta[2,2,1,2]",False
