delta_coordinate,dead_product,matching_eta_coordinates,shared_live_products,shares_full_monomial_with_eta,shares_a_row_with_eta,shares_output_fiber_with_eta
"delta[0,0,1,0]","a[0,0]*b[1,0]","eta1[0,0];eta2[0,0]","a[0,0]*b[0,0];a[0,1]*b[1,0];a[0,2]*b[2,0]",False,True,True
"delta[0,0,1,1]","a[0,0]*b[1,1]","eta1[0,1];eta2[0,1]","a[0,0]*b[0,1];a[0,1]*b[1,1];a[0,2]*b[2,1]",False,True,True
"delta[0,0,1,2]","a[0,0]*b[1,2]","eta1[0,2];eta2[0,2]","a[0,0]*b[0,2];a[0,1]*b[1,2];a[0,2]*b[2,2]",False,True,True
"delta[0,0,2,0]","a[0,0]*b[2,0]","eta1[0,0];eta2[0,0]","a[0,0]*b[0,0];a[0,1]*b[1,0];a[0,2]*b[2,0]",False,True,True
"delta[0,0,2,1]","a[0,0]*b[2,1]","eta1[0,1];eta2[0,1]","a[0,0]*b[0,1];a[0,1]*b[1,1];a[0,2]*b[2,1]",False,True,True
"delta[0,0,2,2]","a[0,0]*b[2,2]","eta1[0,2];eta2[0,2]","a[0,0]*b[0,2];a[0,1]*b[1,2];a[0,2]*b[2,2]",False,True,True
"delta[0,1,0,0]","a[0,1]*b[0,0]","eta1[0,0];eta2[0,0]","a[0,0]*b[0,0];a[0,1]*b[1,0];a[0,2]*b[2,0]",False,True,True
"delta[0,1,0,1]","a[0,1]*b[0,1]","eta1[0,1];eta2[0,1]","a[0,0]*b[0,1];a[0,1]*b[1,1];a[0,2]*b[2,1]",False,True,True
"delta[0,1,0,2]","a[0,1]*b[0,2]","eta1[0,2];eta2[0,2]","a[0,0]*b[0,2];a[0,1]*b[1,2];a[0,2]*b[2,2]",False,True,True
"delta[0,1,2,0]","a[0,1]*b[2,0]","eta1[0,0];eta2[0,0]","a[0,0]*b[0,0];a[0,1]*b[1,0];a[0,2]*b[2,0]",False,True,True
"delta[0,1,2,1]","a[0,1]*b[2,1]","eta1[0,1];eta2[0,1]","a[0,0]*b[0,1];a[0,1]*b[1,1];a[0,2]*b[2,1]",False,True,True
"delta[0,1,2,2]","a[0,1]*b[2,2]","eta1[0,2];eta2[0,2]","a[0,0]*b[0,2];a[0,1]*b[1,2];a[0,2]*b[2,2]",False,True,True
"delta[0,2,0,0]","a[0,2]*b[0,0]","eta1[0,0];eta2[0,0]","a[0,0]*b[0,0];a[0,1]*b[1,0];a[0,2]*b[2,0]",False,True,True
