base_label,trial_index,R,annihilator_projection_residual,rank_H_numeric,restricted_rank_numeric,functional_defect_dim_numeric,lambda_kernel_distance,tensor_max_abs_residual,tensor_loss
alphatensor_rank23_transpose,1,23,2.0261570199409107e-15,14,14,0,1.282844983594186,1.0762214607821512,4.979925113092525
alphatensor_rank23_transpose,2,23,8.090750291955828e-15,14,14,0,1.1263914185293173,1.0774139657875468,10.332228899875346
alphatensor_rank23_transpose,3,23,7.702172233337023e-15,14,14,0,1.1409922580378613,1.0120724850208944,8.90401976466574
alphatensor_rank23_transpose,4,23,1.509903313490213e-14,14,14,0,1.2473123722226944,1.0433680139523562,10.110657495505638
alphatensor_rank23_transpose,5,23,7.310803724428635e-15,14,14,0,1.0439586253876894,1.0128976520597526,7.698365431307031
alphatensor_rank23_transpose,6,23,5.467848396278896e-15,14,14,0,1.13328570302379,1.0403301484756315,10.2781650573084
alphatensor_rank23_transpose,7,23,1.224784162978665e-13,14,14,0,1.162291712790216,0.7787726400386025,5.678284628341132
alphatensor_rank23_transpose,8,23,3.372302437298913e-15,14,14,0,1.1571301841261135,0.9961501672285997,7.313407298006993
alphatensor_rank23_transpose,9,23,4.3472170307978786e-15,14,14,0,1.3357322161159648,1.069616174371273,10.59828129843595
alphatensor_rank23_transpose,10,23,3.2334378230469696e-14,14,14,0,1.1029464016929331,1.0537340923206793,9.427313572264305
alphatensor_rank23_transpose,11,23,3.3254649034475392e-15,14,14,0,1.2112436962423379,0.9101138921374617,7.686070059351852
alphatensor_rank23_transpose,12,23,6.987466161234579e-15,14,14,0,1.0707982603980584,1.094633970336098,8.543922304478361
alphatensor_rank23_transpose,13,23,2.5512578161190902e-14,14,14,0,1.3277686361287317,1.0391732086626373,8.12124272816466
alphatensor_rank23_transpose,14,23,7.768004989250343e-14,14,14,0,1.2674902000090382,1.040259279699172,10.338213565600329
alphatensor_rank23_transpose,15,23,3.6914915568786455e-15,14,14,0,1.2709231427848957,1.0560939624001056,10.623983552090555
alphatensor_rank23_transpose,16,23,8.108097526715596e-15,14,14,0,1.2447968749900236,1.1377764973173745,5.959570675557263
alphatensor_rank23_transpose,17,23,3.885780586188048e-15,14,14,0,1.2221859753262823,1.0660943211412999,7.801270876651193
alphatensor_rank23_transpose,18,23,5.676015213396113e-15,14,14,0,1.1772619078695683,1.0320461692482792,7.364575870656248
alphatensor_rank23_transpose,19,23,1.9810542095655137e-15,14,14,0,1.2876801472853658,0.6737491453862611,2.7317237117816964
