base_label,candidate,t_value,R,tensor_max_abs_residual,tensor_loss,kernel_dim,restricted_rank,kappa_ker,kappa_full,soft_lambda_h_max_abs,soft_lambda_gamma_max_abs,base_candidate_angle_deg,soft_mode_rotation_deg
alphatensor_rank23_transpose,softest_kernel_direction,0.0,23,2.4933823149916585e-15,1.6201168903461137e-28,14,14,0.6245923009701738,0.6245923009701735,0.3201972295418893,2.5717275531356165e-16,0.0,0.0
alphatensor_rank23_transpose,softest_kernel_direction,0.1,23,3.3306690738754696e-15,3.3431187259400274e-28,14,14,0.5622463548099627,0.562246354809963,0.28810201357352544,1.5135462327897642e-16,1.1508368370922002,1.153431089310503
alphatensor_rank23_transpose,softest_kernel_direction,0.2,23,3.621887943306293e-15,4.627637031601657e-28,14,14,0.5001782869115285,0.5001782869115285,0.2560000573733915,5.099002817199327e-16,2.57814501329677,2.5922043701133237
alphatensor_rank23_transpose,softest_kernel_direction,0.3,23,2.619864350126059e-15,1.778493413350338e-28,14,14,0.438487956606139,0.4384879566061389,0.22406180172396922,4.757479132866393e-16,4.38211311439475,4.415246117328747
alphatensor_rank23_transpose,softest_kernel_direction,0.4,23,2.4424906541753444e-15,1.7473971312247084e-28,14,14,0.37732012338185794,0.37732012338185816,0.1924517404079002,3.2699537522162814e-16,6.71738617843248,6.7718911562989055
alphatensor_rank23_transpose,softest_kernel_direction,0.5,23,2.9976021664879227e-15,2.234670763241711e-28,14,14,0.3168896728295838,0.31688967282958347,0.16137755770302842,6.696032617270475e-16,9.832781539614492,9.902895450072066
alphatensor_rank23_transpose,softest_kernel_direction,0.6,23,6.673686634697992e-15,5.763929229780214e-28,14,14,0.25751639638894963,0.25751639638894963,0.13112928677064958,8.430756093247282e-16,14.148820197603932,14.220707313462633
alphatensor_rank23_transpose,softest_kernel_direction,0.7,23,6.106226635438361e-15,6.532403637430102e-28,14,14,0.19967428537517254,0.19967428537517234,0.10211749136177681,1.0094637009693674e-15,20.430556981814536,20.490463528554848
alphatensor_rank23_transpose,softest_kernel_direction,0.8,23,2.5127040555552253e-14,1.1725277411034441e-26,14,14,0.14410355909543413,0.1441035590954343,0.07518461358113175,5.630866474983556e-15,30.272125170812714,30.316389644383026
alphatensor_rank23_transpose,softest_kernel_direction,0.9,23,7.749356711883593e-14,3.0566301340921766e-26,14,14,0.09054210639061283,0.09054210639061289,0.05387501915637763,3.1953606427492787e-15,47.34921776998097,47.57372786255423
alphatensor_rank23_transpose,softest_kernel_direction,1.0,23,1.6353585152728556e-13,2.530873288154839e-25,14,14,0.004687401734031592,0.004687401734031596,0.004687398140398159,9.558138802877082e-14,89.99999999999642,89.99999999999666
alphatensor_rank23_transpose,random_kernel_direction_1,0.0,23,2.4933823149916585e-15,1.6201168903461137e-28,14,14,0.6245923009701738,0.6245923009701735,0.3201972295418893,2.5717275531356165e-16,0.0,0.0
alphatensor_rank23_transpose,random_kernel_direction_1,0.1,23,1.7763568394002505e-15,1.1656616837364734e-28,14,14,0.5776577320733491,0.5776577320733495,0.3068301517572056,2.0469737016526324e-16,1.4634480338935345,8.395570019317669
alphatensor_rank23_transpose,random_kernel_direction_1,0.2,23,1.9984014443252818e-15,1.125114554907111e-28,14,14,0.5285417906900225,0.5285417906900225,0.28457454471268145,4.050314423589755e-16,3.280174397901492,14.12798698298388
alphatensor_rank23_transpose,random_kernel_direction_1,0.3,23,1.7763568394002505e-15,1.380262809225082e-28,14,14,0.4779492510534897,0.4779492510534897,0.25888748098937575,3.039554497713945e-16,5.575128498844865,18.37505806716022
alphatensor_rank23_transpose,random_kernel_direction_1,0.4,23,2.3986629642840082e-15,1.188328364334747e-28,14,14,0.4262667512162547,0.42626675121625524,0.23182340619892433,7.077671781985373e-16,8.528648763197229,22.024847126488144
alphatensor_rank23_transpose,random_kernel_direction_1,0.5,23,2.746873647206456e-15,1.6112331090584006e-28,14,14,0.3737360905867374,0.3737360905867377,0.2039546366998237,2.498001805406602e-16,12.40443115057945,25.77710472852144
alphatensor_rank23_transpose,random_kernel_direction_1,0.6,23,3.0549488527029825e-15,2.6034825261383605e-28,14,14,0.32037420644887127,0.3203742064488715,0.17455574029742033,4.547374185461048e-16,17.603075628514443,30.39486763322531
alphatensor_rank23_transpose,random_kernel_direction_1,0.7,23,3.6637359812630166e-15,2.9244574437943675e-28,14,14,0.2653888375725358,0.265388837572536,0.13932125854575572,3.8057033249399847e-16,24.781229328467333,37.23381681804447
alphatensor_rank23_transpose,random_kernel_direction_1,0.8,23,1.8185453143360064e-13,1.015793779032172e-24,14,14,0.20357322021599972,0.20357322021599938,0.10568480517301729,1.2353667623574106e-14,34.984300209485795,50.849894165664224
alphatensor_rank23_transpose,random_kernel_direction_1,0.9,23,9.183455663408713e-15,8.348158437808051e-28,14,14,0.11717667546017503,0.11717667546017493,0.08755037769777936,2.0122792321330962e-15,49.52593128198565,68.62381125569154
alphatensor_rank23_transpose,random_kernel_direction_1,1.0,23,1.0880185641326534e-14,9.321801896247978e-28,14,14,0.045015644556162006,0.045015644556162034,0.03536423975785045,9.80118763926896e-16,89.99999999999952,84.55249932034495
alphatensor_rank23_transpose,random_kernel_direction_2,0.0,23,2.4933823149916585e-15,1.6201168903461137e-28,14,14,0.6245923009701738,0.6245923009701735,0.3201972295418893,2.5717275531356165e-16,0.0,0.0
alphatensor_rank23_transpose,random_kernel_direction_2,0.1,23,3.2045381903215028e-15,1.9738059074509205e-28,14,14,0.5901617396118276,0.5901617396118267,0.30469061482454746,2.3592239273284576e-16,1.7340406319613317,10.144143643079568
alphatensor_rank23_transpose,random_kernel_direction_2,0.2,23,6.771392964101381e-15,4.302788772452451e-28,14,14,0.5517485380544507,0.5517485380544508,0.27258429254762373,3.0531133177191805e-16,3.8847904588205795,19.714623662988206
alphatensor_rank23_transpose,random_kernel_direction_2,0.3,23,1.9350916894092475e-15,1.8445094010601435e-28,14,14,0.5086731166092571,0.5086731166092571,0.2560926122238495,1.6653345369377348e-16,6.596301726364096,27.64169621045143
alphatensor_rank23_transpose,random_kernel_direction_2,0.4,23,1.9908525096837996e-15,1.483143619776955e-28,14,14,0.45963390008539073,0.4596339000853904,0.24957821042455272,2.7755575615628914e-16,10.074250624858216,34.23538123341869
alphatensor_rank23_transpose,random_kernel_direction_2,0.5,23,3.4645950339022705e-15,2.208317516716382e-28,14,14,0.4021783022221841,0.4021783022221841,0.23329177095436457,4.440892098500626e-16,14.612364059363237,40.44583164437468
alphatensor_rank23_transpose,random_kernel_direction_2,0.6,23,1.887379141862766e-15,1.53225388071736e-28,14,14,0.33292288811255355,0.33292288811255355,0.20154394983236587,2.4717141165596367e-16,20.623038813177363,47.002267429631026
