base_label,candidate,eps,tensor_max_abs_residual,tensor_loss,honest_defect_l2,lambda_h_l2,gamma_lambda_l2,kappa_ker_state
alphatensor_rank23_transpose,softest_kernel_direction,0.001,2.5495347402774828e-15,2.8221079051823196e-28,0.623967559121639,0.6239675591153538,2.800631430787628e-06,0.6239670716119048
alphatensor_rank23_transpose,softest_kernel_direction,0.01,3.0654149253262746e-15,2.627388505347261e-28,0.6183316092284173,0.6183315432119704,0.00028572733047709697,0.6182852022162333
alphatensor_rank23_transpose,softest_kernel_direction,0.05,2.497101157017693e-15,2.539425130755831e-28,0.5930582165028025,0.593006135824218,0.007859455217387202,0.5920644505108291
alphatensor_rank23_transpose,random_kernel_direction_1,0.001,2.5495347402774828e-15,2.8221079051823196e-28,0.623967559121639,0.6239675591153538,2.800631430787628e-06,0.6239670716119048
alphatensor_rank23_transpose,random_kernel_direction_1,0.01,3.0654149253262746e-15,2.627388505347261e-28,0.6183316092284173,0.6183315432119704,0.00028572733047709697,0.6182852022162333
alphatensor_rank23_transpose,random_kernel_direction_1,0.05,2.497101157017693e-15,2.539425130755831e-28,0.5930582165028025,0.593006135824218,0.007859455217387202,0.5920644505108291
alphatensor_rank23_transpose,random_kernel_direction_2,0.001,2.5495347402774828e-15,2.8221079051823196e-28,0.623967559121639,0.6239675591153538,2.800631430787628e-06,0.6239670716119048
alphatensor_rank23_transpose,random_kernel_direction_2,0.01,3.0654149253262746e-15,2.627388505347261e-28,0.6183316092284173,0.6183315432119704,0.00028572733047709697,0.6182852022162333
alphatensor_rank23_transpose,random_kernel_direction_2,0.05,2.497101157017693e-15,2.539425130755831e-28,0.5930582165028025,0.593006135824218,0.007859455217387202,0.5920644505108291
standard_rank27,softest_kernel_direction,0.001,3.3306690738754696e-16,3.4512664603419266e-31,0.9989999389651399,0.9989999389651399,1.1603642685001807e-16,0.9989583273605811
standard_rank27,softest_kernel_direction,0.01,3.3306690738754696e-16,7.888609052210118e-31,0.9899939148531268,0.9899939148531268,1.1327801742016092e-16,0.9895832736058153
standard_rank27,softest_kernel_direction,0.05,0.0,0.0,0.9498499155834977,0.9498499155834977,2.240489604509133e-16,0.9479163680290742
standard_rank27,random_kernel_direction_1,0.001,3.3306690738754696e-16,3.4512664603419266e-31,0.9989999389651399,0.9989999389651399,1.1603642685001807e-16,0.9989583273605811
standard_rank27,random_kernel_direction_1,0.01,3.3306690738754696e-16,7.888609052210118e-31,0.9899939148531268,0.9899939148531268,1.1327801742016092e-16,0.9895832736058153
standard_rank27,random_kernel_direction_1,0.05,0.0,0.0,0.9498499155834977,0.9498499155834977,2.240489604509133e-16,0.9479163680290742
standard_rank27,random_kernel_direction_2,0.001,3.3306690738754696e-16,3.4512664603419266e-31,0.9989999389651399,0.9989999389651399,1.1603642685001807e-16,0.9989583273605811
standard_rank27,random_kernel_direction_2,0.01,3.3306690738754696e-16,7.888609052210118e-31,0.9899939148531268,0.9899939148531268,1.1327801742016092e-16,0.9895832736058153
standard_rank27,random_kernel_direction_2,0.05,0.0,0.0,0.9498499155834977,0.9498499155834977,2.240489604509133e-16,0.9479163680290742
