base_label,step_idx,accepted,branch,sample_index,eps,base_kappa_ker,next_kappa_ker,next_honest_defect_l2,tensor_max_abs_residual,restricted_rank,wildcard_beats_structured,structured_best_regular_kappa_ker,wildcard_best_regular_kappa_ker
alphatensor_rank23_transpose,0,1,wildcard,11,0.05,0.6245923009701738,0.5857724973145496,0.6128072423501549,2.220446049250313e-15,14,1,0.5920644505108291,0.5857724973145496
alphatensor_rank23_transpose,1,1,wildcard,46,0.05,0.5857724973145496,0.5435221812683717,0.5575619838411147,2.4361815127336766e-15,14,1,0.5557982409473323,0.5435221812683717
alphatensor_rank23_transpose,2,1,wildcard,38,0.05,0.5435221812683717,0.5116236365281794,0.5167513988812082,2.4462617039412293e-15,14,1,0.5160188992559656,0.5116236365281794
alphatensor_rank23_transpose,3,1,wildcard,6,0.05,0.5116236365281794,0.47636312572227885,0.49554520957839165,2.1094237467877974e-15,14,1,0.48585899444390657,0.47636312572227885
alphatensor_rank23_transpose,4,1,wildcard,3,0.05,0.47636312572227885,0.4475420646331767,0.4573202760084439,2.73936290056543e-15,14,1,0.4524496561113214,0.4475420646331767
alphatensor_rank23_transpose,5,1,wildcard,15,0.05,0.4475420646331767,0.41812315810010864,0.43427700768204136,2.4424906541753444e-15,14,1,0.4250932356403066,0.41812315810010864
alphatensor_rank23_transpose,6,1,wildcard,45,0.05,0.41812315810010864,0.39158733937959056,0.4238720922843047,1.814335497058322e-15,14,1,0.39714355468930296,0.39158733937959056
alphatensor_rank23_transpose,7,1,wildcard,11,0.05,0.39158733937959056,0.3655885791544301,0.3764202930468826,7.419880396206864e-15,14,1,0.37193127022866096,0.3655885791544301
standard_rank27,0,1,wildcard,47,0.05,0.9999999999999996,0.9399070425783675,0.9422862151325978,3.3306690738754696e-16,18,1,0.9479163680290742,0.9399070425783675
standard_rank27,1,1,wildcard,30,0.05,0.9399070425783675,0.8815822887418475,0.8826051398368139,3.3306690738754696e-16,18,1,0.8929116533694433,0.8815822887418475
standard_rank27,2,1,wildcard,22,0.05,0.8815822887418475,0.8278087182600188,0.828275699248742,3.3306690738754696e-16,18,1,0.8375029052552009,0.8278087182600188
standard_rank27,3,1,wildcard,48,0.05,0.8278087182600188,0.7807232409479936,0.781735482320023,2.220446049250313e-16,18,1,0.7864179449339326,0.7807232409479936
standard_rank27,4,1,wildcard,15,0.05,0.7807232409479936,0.7326364541004431,0.7333024105230738,3.3306690738754696e-16,18,1,0.7416870545812544,0.7326364541004431
standard_rank27,5,1,wildcard,47,0.05,0.7326364541004431,0.6908306680413401,0.6912581972367277,3.3306690738754696e-16,18,1,0.696004103984234,0.6908306680413401
standard_rank27,6,1,wildcard,47,0.05,0.6908306680413401,0.6507467192580398,0.6513754053137013,3.3306690738754696e-16,18,1,0.6562885059838551,0.6507467192580398
standard_rank27,7,1,wildcard,22,0.05,0.6507467192580398,0.6116041118104862,0.6123906805163672,3.3306690738754696e-16,18,1,0.6182088852703683,0.6116041118104862
