term_id,fiber,eta1,eta2,xi_plus,xi_minus,xi_plus_formula_holds,xi_minus_formula_holds,conjugacy_holds
t01,"(0,0)",0,0,0,0,True,True,True
t01,"(0,1)",-1,0,-1,-1,True,True,True
t01,"(0,2)",0,0,0,0,True,True,True
t01,"(1,0)",0,0,0,0,True,True,True
t01,"(1,1)",-1,0,-1,-1,True,True,True
t01,"(1,2)",0,0,0,0,True,True,True
t01,"(2,0)",0,0,0,0,True,True,True
t01,"(2,1)",0,0,0,0,True,True,True
t01,"(2,2)",0,0,0,0,True,True,True
t02,"(0,0)",0,0,0,0,True,True,True
t02,"(0,1)",-2,1,-3/2 + sqrt(3)*I/2,-3/2 - sqrt(3)*I/2,True,True,True
t02,"(0,2)",1,0,1,1,True,True,True
t02,"(1,0)",0,0,0,0,True,True,True
t02,"(1,1)",-1,0,-1,-1,True,True,True
t02,"(1,2)",1,0,1,1,True,True,True
t02,"(2,0)",0,0,0,0,True,True,True
t02,"(2,1)",0,0,0,0,True,True,True
t02,"(2,2)",0,0,0,0,True,True,True
t03,"(0,0)",0,0,0,0,True,True,True
t03,"(0,1)",0,-1,-1/2 - sqrt(3)*I/2,-1/2 + sqrt(3)*I/2,True,True,True
t03,"(0,2)",0,0,0,0,True,True,True
t03,"(1,0)",0,0,0,0,True,True,True
t03,"(1,1)",0,-1,-1/2 - sqrt(3)*I/2,-1/2 + sqrt(3)*I/2,True,True,True
t03,"(1,2)",0,0,0,0,True,True,True
t03,"(2,0)",0,0,0,0,True,True,True
t03,"(2,1)",0,0,0,0,True,True,True
t03,"(2,2)",0,0,0,0,True,True,True
t04,"(0,0)",0,0,0,0,True,True,True
t04,"(0,1)",0,1,1/2 + sqrt(3)*I/2,1/2 - sqrt(3)*I/2,True,True,True
t04,"(0,2)",0,0,0,0,True,True,True
t04,"(1,0)",0,0,0,0,True,True,True
t04,"(1,1)",0,0,0,0,True,True,True
t04,"(1,2)",0,0,0,0,True,True,True
t04,"(2,0)",0,0,0,0,True,True,True
t04,"(2,1)",0,0,0,0,True,True,True
t04,"(2,2)",0,0,0,0,True,True,True
t05,"(0,0)",0,0,0,0,True,True,True
t05,"(0,1)",-1,2,sqrt(3)*I,-sqrt(3)*I,True,True,True
t05,"(0,2)",1,-1,1/2 - sqrt(3)*I/2,1/2 + sqrt(3)*I/2,True,True,True
t05,"(1,0)",0,0,0,0,True,True,True
t05,"(1,1)",0,0,0,0,True,True,True
t05,"(1,2)",0,0,0,0,True,True,True
t05,"(2,0)",0,0,0,0,True,True,True
t05,"(2,1)",0,1,1/2 + sqrt(3)*I/2,1/2 - sqrt(3)*I/2,True,True,True
t05,"(2,2)",0,0,0,0,True,True,True
t06,"(0,0)",0,0,0,0,True,True,True
t06,"(0,1)",1,-1,1/2 - sqrt(3)*I/2,1/2 + sqrt(3)*I/2,True,True,True
t06,"(0,2)",0,0,0,0,True,True,True
t06,"(1,0)",0,0,0,0,True,True,True
t06,"(1,1)",1,-1,1/2 - sqrt(3)*I/2,1/2 + sqrt(3)*I/2,True,True,True
t06,"(1,2)",0,0,0,0,True,True,True
t06,"(2,0)",0,0,0,0,True,True,True
t06,"(2,1)",0,0,0,0,True,True,True
t06,"(2,2)",0,0,0,0,True,True,True
t07,"(0,0)",1,-1,1/2 - sqrt(3)*I/2,1/2 + sqrt(3)*I/2,True,True,True
t07,"(0,1)",0,0,0,0,True,True,True
t07,"(0,2)",0,0,0,0,True,True,True
t07,"(1,0)",0,0,0,0,True,True,True
t07,"(1,1)",0,0,0,0,True,True,True
t07,"(1,2)",0,0,0,0,True,True,True
t07,"(2,0)",0,0,0,0,True,True,True
t07,"(2,1)",1,0,1,1,True,True,True
t07,"(2,2)",-1,0,-1,-1,True,True,True
t08,"(0,0)",0,0,0,0,True,True,True
t08,"(0,1)",-1,0,-1,-1,True,True,True
t08,"(0,2)",1,0,1,1,True,True,True
t08,"(1,0)",0,0,0,0,True,True,True
t08,"(1,1)",0,0,0,0,True,True,True
t08,"(1,2)",0,0,0,0,True,True,True
t08,"(2,0)",0,0,0,0,True,True,True
t08,"(2,1)",0,0,0,0,True,True,True
t08,"(2,2)",0,0,0,0,True,True,True
t09,"(0,0)",1,0,1,1,True,True,True
t09,"(0,1)",1,0,1,1,True,True,True
t09,"(0,2)",-1,0,-1,-1,True,True,True
t09,"(1,0)",0,0,0,0,True,True,True
t09,"(1,1)",0,0,0,0,True,True,True
t09,"(1,2)",0,0,0,0,True,True,True
t09,"(2,0)",1,0,1,1,True,True,True
t09,"(2,1)",1,0,1,1,True,True,True
t09,"(2,2)",-1,0,-1,-1,True,True,True
t10,"(0,0)",0,0,0,0,True,True,True
t10,"(0,1)",0,-1,-1/2 - sqrt(3)*I/2,-1/2 + sqrt(3)*I/2,True,True,True
t10,"(0,2)",0,1,1/2 + sqrt(3)*I/2,1/2 - sqrt(3)*I/2,True,True,True
t10,"(1,0)",0,0,0,0,True,True,True
t10,"(1,1)",0,0,0,0,True,True,True
t10,"(1,2)",0,0,0,0,True,True,True
t10,"(2,0)",0,0,0,0,True,True,True
