base_label,policy_name,rotation_cap_deg,total_budget,accepted_steps,wildcard_wins,budget_used,initial_kappa_ker,final_kappa_ker,total_gain,feasible_descent
alphatensor_rank23_transpose,rot4p0_budget0p05,4.0,0.05,1,1,0.0498484933677905,0.6245923009701738,0.6170059245051216,0.007586376465052225,1
standard_rank27,rot4p0_budget0p05,4.0,0.05,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,rot4p0_budget0p1,4.0,0.1,3,3,0.09810602770687835,0.6245923009701738,0.6088514063185162,0.015740894651657622,1
standard_rank27,rot4p0_budget0p1,4.0,0.1,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,rot4p0_budget0p2,4.0,0.2,3,3,0.1978529770255301,0.6245923009701738,0.5954602455585264,0.02913205541164743,1
standard_rank27,rot4p0_budget0p2,4.0,0.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,rot4p0_budget0p4,4.0,0.4,4,4,0.3998456185519379,0.6245923009701738,0.5647409600613117,0.05985134090886213,1
standard_rank27,rot4p0_budget0p4,4.0,0.4,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,rot4p0_budget0p8,4.0,0.8,7,7,0.7999578142752073,0.6245923009701738,0.5171630036487497,0.10742929732142414,1
standard_rank27,rot4p0_budget0p8,4.0,0.8,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,rot4p0_budget1p2,4.0,1.2,6,6,1.1991705763597535,0.6245923009701738,0.45615762003302796,0.16843468093714586,1
standard_rank27,rot4p0_budget1p2,4.0,1.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,rot4p0_budget2p0,4.0,2.0,11,11,1.999491418660752,0.6245923009701738,0.3666860289040075,0.25790627206616634,1
standard_rank27,rot4p0_budget2p0,4.0,2.0,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,rot6p0_budget0p05,6.0,0.05,1,1,0.04780373432581191,0.6245923009701738,0.6168610252149425,0.007731275755231359,1
standard_rank27,rot6p0_budget0p05,6.0,0.05,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,rot6p0_budget0p1,6.0,0.1,1,0,0.09713266268428107,0.6245923009701738,0.6053488503195167,0.019243450650657135,1
standard_rank27,rot6p0_budget0p1,6.0,0.1,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,rot6p0_budget0p2,6.0,0.2,2,2,0.1993425008749899,0.6245923009701738,0.5908877257402287,0.03370457522994508,1
standard_rank27,rot6p0_budget0p2,6.0,0.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,rot6p0_budget0p4,6.0,0.4,4,4,0.398413639107343,0.6245923009701738,0.5655036228559631,0.0590886781142107,1
standard_rank27,rot6p0_budget0p4,6.0,0.4,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,rot6p0_budget0p8,6.0,0.8,5,5,0.7998458253259004,0.6245923009701738,0.5019039758303583,0.12268832513981554,1
standard_rank27,rot6p0_budget0p8,6.0,0.8,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,rot6p0_budget1p2,6.0,1.2,5,5,1.1998940723369753,0.6245923009701738,0.4545835080719001,0.1700087928982737,1
