base_label,total_budget,min_rotation_cap_deg_for_descent,accepted_steps,total_gain,wildcard_wins
alphatensor_rank23_transpose,0.02,2.0,2,0.0029878336836424157,2
alphatensor_rank23_transpose,0.05,2.0,2,0.008966872376691581,1
alphatensor_rank23_transpose,0.1,2.0,2,0.015371823846708543,2
alphatensor_rank23_transpose,0.2,2.0,5,0.03037924286207072,5
alphatensor_rank23_transpose,0.4,2.0,6,0.05332844608943699,6
alphatensor_rank23_transpose,0.8,2.0,10,0.10678177880658846,10
alphatensor_rank23_transpose,1.2,2.0,12,0.15310688798524835,12
alphatensor_rank23_transpose,2.0,2.0,16,0.23459391691046705,16
alphatensor_rank23_transpose,3.0,2.0,20,0.3274625154580784,20
standard_rank27,0.02,12.0,1,0.011241670973274442,1
standard_rank27,0.05,12.0,2,0.03241428853239536,1
standard_rank27,0.1,12.0,3,0.060650079978177285,2
standard_rank27,0.2,12.0,2,0.10901171105711693,2
standard_rank27,0.4,12.0,4,0.1979930986567272,4
standard_rank27,0.8,12.0,9,0.3567740685277411,8
standard_rank27,1.2,12.0,12,0.4609152842746349,12
standard_rank27,2.0,12.0,19,0.6563679556281815,19
standard_rank27,3.0,12.0,24,0.7666157346918574,24
