base_label,policy_name,rotation_cap_deg,total_budget,accepted_steps,wildcard_wins,budget_used,initial_kappa_ker,final_kappa_ker,total_gain,feasible_descent
alphatensor_rank23_transpose,sharpen_rot2p0_budget0p02,2.0,0.02,2,2,0.01999070031985421,0.6245923009701738,0.6216044672865314,0.0029878336836424157,1
standard_rank27,sharpen_rot2p0_budget0p02,2.0,0.02,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot2p0_budget0p05,2.0,0.05,2,1,0.04947271115462894,0.6245923009701738,0.6156254285934822,0.008966872376691581,1
standard_rank27,sharpen_rot2p0_budget0p05,2.0,0.05,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot2p0_budget0p1,2.0,0.1,2,2,0.09993031673020558,0.6245923009701738,0.6092204771234653,0.015371823846708543,1
standard_rank27,sharpen_rot2p0_budget0p1,2.0,0.1,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot2p0_budget0p2,2.0,0.2,5,5,0.19803535960214397,0.6245923009701738,0.5942130581081031,0.03037924286207072,1
standard_rank27,sharpen_rot2p0_budget0p2,2.0,0.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot2p0_budget0p4,2.0,0.4,6,6,0.3998511003003292,0.6245923009701738,0.5712638548807368,0.05332844608943699,1
standard_rank27,sharpen_rot2p0_budget0p4,2.0,0.4,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot2p0_budget0p8,2.0,0.8,10,10,0.7998708342041012,0.6245923009701738,0.5178105221635854,0.10678177880658846,1
standard_rank27,sharpen_rot2p0_budget0p8,2.0,0.8,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot2p0_budget1p2,2.0,1.2,12,12,1.1999852861174312,0.6245923009701738,0.47148541298492547,0.15310688798524835,1
standard_rank27,sharpen_rot2p0_budget1p2,2.0,1.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot2p0_budget2p0,2.0,2.0,16,16,1.9999423289768006,0.6245923009701738,0.38999838405970677,0.23459391691046705,1
standard_rank27,sharpen_rot2p0_budget2p0,2.0,2.0,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot2p0_budget3p0,2.0,3.0,20,20,2.999753611944209,0.6245923009701738,0.2971297855120954,0.3274625154580784,1
standard_rank27,sharpen_rot2p0_budget3p0,2.0,3.0,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
