label,n,R,ker_gamma_dim,exact_defect_exists,exact_defect_nullity,softest_pairwise_norms,softest_max_pairwise_norm
random_n2_R7_trial0,2,7,3,False,0,W_0-W_1=0.740131,0.7401314232935797
random_n2_R7_trial1,2,7,3,False,0,W_0-W_1=0.831372,0.8313715727215717
random_n2_R7_trial2,2,7,3,False,0,W_0-W_1=1.498380,1.4983802390309195
random_n2_R7_trial3,2,7,3,False,0,W_0-W_1=0.588721,0.5887208608442264
random_n2_R7_trial4,2,7,3,False,0,W_0-W_1=1.021490,1.0214899444944157
random_n2_R7_trial5,2,7,3,False,0,W_0-W_1=0.950164,0.950163887318948
random_n2_R7_trial6,2,7,3,False,0,W_0-W_1=0.535976,0.5359758891771664
random_n2_R7_trial7,2,7,3,False,0,W_0-W_1=1.032562,1.0325620332900953
random_n3_R23_trial0,3,23,14,False,0,W_0-W_1=0.195707; W_1-W_2=0.193769,0.19570732751134798
random_n3_R23_trial1,3,23,14,False,0,W_0-W_1=0.476965; W_1-W_2=0.475015,0.4769649768375833
random_n3_R23_trial2,3,23,14,False,0,W_0-W_1=0.310705; W_1-W_2=0.311840,0.3118402828576111
random_n3_R23_trial3,3,23,14,False,0,W_0-W_1=0.420129; W_1-W_2=0.419288,0.42012881567676397
random_n3_R23_trial4,3,23,14,False,0,W_0-W_1=0.644069; W_1-W_2=0.633707,0.6440686814053406
random_n3_R23_trial5,3,23,14,False,0,W_0-W_1=0.347286; W_1-W_2=0.350020,0.3500196294945869
random_n3_R23_trial6,3,23,14,False,0,W_0-W_1=0.329423; W_1-W_2=0.329488,0.32948789337669926
random_n3_R23_trial7,3,23,14,False,0,W_0-W_1=0.631337; W_1-W_2=0.639451,0.6394507905285788
random_n3_R27_trial0,3,27,18,False,0,W_0-W_1=0.015093; W_1-W_2=0.015294,0.015293651774172542
random_n3_R27_trial1,3,27,18,False,0,W_0-W_1=0.050864; W_1-W_2=0.050205,0.050863902324874886
random_n3_R27_trial2,3,27,18,False,0,W_0-W_1=0.107814; W_1-W_2=0.108619,0.1086186986664356
random_n3_R27_trial3,3,27,18,False,0,W_0-W_1=0.156312; W_1-W_2=0.157146,0.1571458818646808
random_n3_R27_trial4,3,27,18,False,0,W_0-W_1=0.088874; W_1-W_2=0.087478,0.08887433353084394
random_n3_R27_trial5,3,27,18,False,0,W_0-W_1=0.223465; W_1-W_2=0.221759,0.22346452922309457
random_n3_R27_trial6,3,27,18,False,0,W_0-W_1=0.101375; W_1-W_2=0.101316,0.10137530039260255
random_n3_R27_trial7,3,27,18,False,0,W_0-W_1=0.013768; W_1-W_2=0.013652,0.013767897963925402
