schema,orbit_id,rep_config_id,rep_readable,orbit_size,stabilizer_size,signature_key,row_pattern,channel_pattern,col_pattern
LLL,0,0,"LLL[L[0,0,0],L[0,0,0],L[0,0,0]]",27,8,"rows=(0, 0, 0); channels=(0, 0, 0); cols=(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
LLL,1,1,"LLL[L[0,0,0],L[0,0,0],L[0,0,1]]",54,4,"rows=(0, 0, 0); channels=(0, 0, 0); cols=(0, 0, 1)","(0, 0, 0)","(0, 0, 0)","(0, 0, 1)"
LLL,2,3,"LLL[L[0,0,0],L[0,0,0],L[0,1,0]]",54,4,"rows=(0, 0, 0); channels=(0, 0, 1); cols=(0, 0, 0)","(0, 0, 0)","(0, 0, 1)","(0, 0, 0)"
LLL,3,4,"LLL[L[0,0,0],L[0,0,0],L[0,1,1]]",108,2,"rows=(0, 0, 0); channels=(0, 0, 1); cols=(0, 0, 1)","(0, 0, 0)","(0, 0, 1)","(0, 0, 1)"
LLL,4,9,"LLL[L[0,0,0],L[0,0,0],L[1,0,0]]",54,4,"rows=(0, 0, 1); channels=(0, 0, 0); cols=(0, 0, 0)","(0, 0, 1)","(0, 0, 0)","(0, 0, 0)"
LLL,5,10,"LLL[L[0,0,0],L[0,0,0],L[1,0,1]]",108,2,"rows=(0, 0, 1); channels=(0, 0, 0); cols=(0, 0, 1)","(0, 0, 1)","(0, 0, 0)","(0, 0, 1)"
LLL,6,12,"LLL[L[0,0,0],L[0,0,0],L[1,1,0]]",108,2,"rows=(0, 0, 1); channels=(0, 0, 1); cols=(0, 0, 0)","(0, 0, 1)","(0, 0, 1)","(0, 0, 0)"
LLL,7,13,"LLL[L[0,0,0],L[0,0,0],L[1,1,1]]",216,1,"rows=(0, 0, 1); channels=(0, 0, 1); cols=(0, 0, 1)","(0, 0, 1)","(0, 0, 1)","(0, 0, 1)"
LLL,8,27,"LLL[L[0,0,0],L[0,0,1],L[0,0,0]]",54,4,"rows=(0, 0, 0); channels=(0, 0, 0); cols=(0, 1, 0)","(0, 0, 0)","(0, 0, 0)","(0, 1, 0)"
LLL,9,28,"LLL[L[0,0,0],L[0,0,1],L[0,0,1]]",54,4,"rows=(0, 0, 0); channels=(0, 0, 0); cols=(0, 1, 1)","(0, 0, 0)","(0, 0, 0)","(0, 1, 1)"
LLL,10,29,"LLL[L[0,0,0],L[0,0,1],L[0,0,2]]",54,4,"rows=(0, 0, 0); channels=(0, 0, 0); cols=(0, 1, 2)","(0, 0, 0)","(0, 0, 0)","(0, 1, 2)"
LLL,11,30,"LLL[L[0,0,0],L[0,0,1],L[0,1,0]]",108,2,"rows=(0, 0, 0); channels=(0, 0, 1); cols=(0, 1, 0)","(0, 0, 0)","(0, 0, 1)","(0, 1, 0)"
LLL,12,31,"LLL[L[0,0,0],L[0,0,1],L[0,1,1]]",108,2,"rows=(0, 0, 0); channels=(0, 0, 1); cols=(0, 1, 1)","(0, 0, 0)","(0, 0, 1)","(0, 1, 1)"
LLL,13,32,"LLL[L[0,0,0],L[0,0,1],L[0,1,2]]",108,2,"rows=(0, 0, 0); channels=(0, 0, 1); cols=(0, 1, 2)","(0, 0, 0)","(0, 0, 1)","(0, 1, 2)"
LLL,14,36,"LLL[L[0,0,0],L[0,0,1],L[1,0,0]]",108,2,"rows=(0, 0, 1); channels=(0, 0, 0); cols=(0, 1, 0)","(0, 0, 1)","(0, 0, 0)","(0, 1, 0)"
LLL,15,37,"LLL[L[0,0,0],L[0,0,1],L[1,0,1]]",108,2,"rows=(0, 0, 1); channels=(0, 0, 0); cols=(0, 1, 1)","(0, 0, 1)","(0, 0, 0)","(0, 1, 1)"
LLL,16,38,"LLL[L[0,0,0],L[0,0,1],L[1,0,2]]",108,2,"rows=(0, 0, 1); channels=(0, 0, 0); cols=(0, 1, 2)","(0, 0, 1)","(0, 0, 0)","(0, 1, 2)"
LLL,17,39,"LLL[L[0,0,0],L[0,0,1],L[1,1,0]]",216,1,"rows=(0, 0, 1); channels=(0, 0, 1); cols=(0, 1, 0)","(0, 0, 1)","(0, 0, 1)","(0, 1, 0)"
LLL,18,40,"LLL[L[0,0,0],L[0,0,1],L[1,1,1]]",216,1,"rows=(0, 0, 1); channels=(0, 0, 1); cols=(0, 1, 1)","(0, 0, 1)","(0, 0, 1)","(0, 1, 1)"
LLL,19,41,"LLL[L[0,0,0],L[0,0,1],L[1,1,2]]",216,1,"rows=(0, 0, 1); channels=(0, 0, 1); cols=(0, 1, 2)","(0, 0, 1)","(0, 0, 1)","(0, 1, 2)"
LLL,20,81,"LLL[L[0,0,0],L[0,1,0],L[0,0,0]]",54,4,"rows=(0, 0, 0); channels=(0, 1, 0); cols=(0, 0, 0)","(0, 0, 0)","(0, 1, 0)","(0, 0, 0)"
LLL,21,82,"LLL[L[0,0,0],L[0,1,0],L[0,0,1]]",108,2,"rows=(0, 0, 0); channels=(0, 1, 0); cols=(0, 0, 1)","(0, 0, 0)","(0, 1, 0)","(0, 0, 1)"
LLL,22,84,"LLL[L[0,0,0],L[0,1,0],L[0,1,0]]",54,4,"rows=(0, 0, 0); channels=(0, 1, 1); cols=(0, 0, 0)","(0, 0, 0)","(0, 1, 1)","(0, 0, 0)"
LLL,23,85,"LLL[L[0,0,0],L[0,1,0],L[0,1,1]]",108,2,"rows=(0, 0, 0); channels=(0, 1, 1); cols=(0, 0, 1)","(0, 0, 0)","(0, 1, 1)","(0, 0, 1)"
LLL,24,87,"LLL[L[0,0,0],L[0,1,0],L[0,2,0]]",54,4,"rows=(0, 0, 0); channels=(0, 1, 2); cols=(0, 0, 0)","(0, 0, 0)","(0, 1, 2)","(0, 0, 0)"
LLL,25,88,"LLL[L[0,0,0],L[0,1,0],L[0,2,1]]",108,2,"rows=(0, 0, 0); channels=(0, 1, 2); cols=(0, 0, 1)","(0, 0, 0)","(0, 1, 2)","(0, 0, 1)"
LLL,26,90,"LLL[L[0,0,0],L[0,1,0],L[1,0,0]]",108,2,"rows=(0, 0, 1); channels=(0, 1, 0); cols=(0, 0, 0)","(0, 0, 1)","(0, 1, 0)","(0, 0, 0)"
LLL,27,91,"LLL[L[0,0,0],L[0,1,0],L[1,0,1]]",216,1,"rows=(0, 0, 1); channels=(0, 1, 0); cols=(0, 0, 1)","(0, 0, 1)","(0, 1, 0)","(0, 0, 1)"
LLL,28,93,"LLL[L[0,0,0],L[0,1,0],L[1,1,0]]",108,2,"rows=(0, 0, 1); channels=(0, 1, 1); cols=(0, 0, 0)","(0, 0, 1)","(0, 1, 1)","(0, 0, 0)"
LLL,29,94,"LLL[L[0,0,0],L[0,1,0],L[1,1,1]]",216,1,"rows=(0, 0, 1); channels=(0, 1, 1); cols=(0, 0, 1)","(0, 0, 1)","(0, 1, 1)","(0, 0, 1)"
