label,pair,basis_vector,weight_vector,shared_channel_rank,shared_channel_matrix,all_complementary_images_nonzero,complementary_images
standard_rank27,01,b0,"{std3_01:1, std3_04:1, std3_07:-2}",1,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]",True,"02:[[3], [0], [0], [0], [0], [0], [0], [0], [0]] | 12:[[3], [0], [0], [0], [0], [0], [0], [0], [0]]"
standard_rank27,01,b1,"{std3_02:1, std3_05:1, std3_08:-2}",1,"[[0, 1, 0], [0, 0, 0], [0, 0, 0]]",True,"02:[[0], [3], [0], [0], [0], [0], [0], [0], [0]] | 12:[[0], [3], [0], [0], [0], [0], [0], [0], [0]]"
standard_rank27,01,b2,"{std3_03:1, std3_06:1, std3_09:-2}",1,"[[0, 0, 1], [0, 0, 0], [0, 0, 0]]",True,"02:[[0], [0], [3], [0], [0], [0], [0], [0], [0]] | 12:[[0], [0], [3], [0], [0], [0], [0], [0], [0]]"
standard_rank27,01,b3,"{std3_10:1, std3_13:1, std3_16:-2}",1,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]",True,"02:[[0], [0], [0], [3], [0], [0], [0], [0], [0]] | 12:[[0], [0], [0], [3], [0], [0], [0], [0], [0]]"
standard_rank27,01,b4,"{std3_11:1, std3_14:1, std3_17:-2}",1,"[[0, 0, 0], [0, 1, 0], [0, 0, 0]]",True,"02:[[0], [0], [0], [0], [3], [0], [0], [0], [0]] | 12:[[0], [0], [0], [0], [3], [0], [0], [0], [0]]"
standard_rank27,01,b5,"{std3_12:1, std3_15:1, std3_18:-2}",1,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]",True,"02:[[0], [0], [0], [0], [0], [3], [0], [0], [0]] | 12:[[0], [0], [0], [0], [0], [3], [0], [0], [0]]"
standard_rank27,01,b6,"{std3_19:1, std3_22:1, std3_25:-2}",1,"[[0, 0, 0], [0, 0, 0], [1, 0, 0]]",True,"02:[[0], [0], [0], [0], [0], [0], [3], [0], [0]] | 12:[[0], [0], [0], [0], [0], [0], [3], [0], [0]]"
standard_rank27,01,b7,"{std3_20:1, std3_23:1, std3_26:-2}",1,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]",True,"02:[[0], [0], [0], [0], [0], [0], [0], [3], [0]] | 12:[[0], [0], [0], [0], [0], [0], [0], [3], [0]]"
standard_rank27,01,b8,"{std3_21:1, std3_24:1, std3_27:-2}",1,"[[0, 0, 0], [0, 0, 0], [0, 0, 1]]",True,"02:[[0], [0], [0], [0], [0], [0], [0], [0], [3]] | 12:[[0], [0], [0], [0], [0], [0], [0], [0], [3]]"
standard_rank27,02,b0,"{std3_01:1, std3_04:-2, std3_07:1}",1,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]",True,"01:[[3], [0], [0], [0], [0], [0], [0], [0], [0]] | 12:[[-3], [0], [0], [0], [0], [0], [0], [0], [0]]"
standard_rank27,02,b1,"{std3_02:1, std3_05:-2, std3_08:1}",1,"[[0, 1, 0], [0, 0, 0], [0, 0, 0]]",True,"01:[[0], [3], [0], [0], [0], [0], [0], [0], [0]] | 12:[[0], [-3], [0], [0], [0], [0], [0], [0], [0]]"
