label,R,seed,ker_gamma_dim,total_gap,total_nullity
random_3x3_R20_seed5440,20,5440,11,3.3798976429439196,0
random_3x3_R20_seed5441,20,5441,11,1.3203603166521747,0
random_3x3_R20_seed5442,20,5442,11,1.8073433310425653,0
random_3x3_R20_seed5443,20,5443,11,1.7021929886993517,0
random_3x3_R20_seed5444,20,5444,11,2.786313665421754,0
random_3x3_R20_seed5445,20,5445,11,1.5140241942651933,0
random_3x3_R21_seed5537,21,5537,12,3.4090063416917977,0
random_3x3_R21_seed5538,21,5538,12,1.2473964993098965,0
random_3x3_R21_seed5539,21,5539,12,0.9130577712994774,0
random_3x3_R21_seed5540,21,5540,12,0.48135689723376957,0
random_3x3_R21_seed5541,21,5541,12,0.33754655791006255,0
random_3x3_R21_seed5542,21,5542,12,3.4879903983698677,0
random_3x3_R22_seed5634,22,5634,13,0.39050121217123374,0
random_3x3_R22_seed5635,22,5635,13,1.23506584482522,0
random_3x3_R22_seed5636,22,5636,13,0.4655272177604087,0
random_3x3_R22_seed5637,22,5637,13,1.2822924281214443,0
random_3x3_R22_seed5638,22,5638,13,2.6029924582619954,0
random_3x3_R22_seed5639,22,5639,13,1.5354089655745438,0
