label,basis_vector,witness_vector,common_matrix_rank,common_matrix
standard_rank27_all_equal,b0,"{w0:1, w3:-1}",3,"[[3, -2, -1], [1, -2, -2], [-1, 0, 2]]"
standard_rank27_all_equal,b1,"{w1:1, w4:-1}",3,"[[8, -7, -4], [4, -8, -8], [-4, 0, 8]]"
standard_rank27_all_equal,b2,"{w2:1, w5:-1}",3,"[[-8, 8, 5], [-4, 8, 8], [4, 0, -8]]"
standard_rank27_all_equal,b3,"{w0:1, w6:-1}",3,"[[-1, 2, 1], [-1, 2, 2], [1, 0, -2]]"
standard_rank27_all_equal,b4,"{w1:1, w7:-1}",3,"[[10, -9, -5], [5, -10, -10], [-5, 0, 10]]"
standard_rank27_all_equal,b5,"{w2:1, w8:-1}",3,"[[-4, 4, 3], [-2, 4, 4], [2, 0, -4]]"
standard_rank27_all_equal,b6,"{w9:1, w12:-1}",3,"[[-2, 2, 1], [0, 2, 2], [1, 0, -2]]"
standard_rank27_all_equal,b7,"{w10:1, w13:-1}",3,"[[-6, 6, 3], [-3, 7, 6], [3, 0, -6]]"
standard_rank27_all_equal,b8,"{w11:1, w14:-1}",3,"[[4, -4, -2], [2, -4, -3], [-2, 0, 4]]"
standard_rank27_all_equal,b9,"{w9:1, w15:-1}",3,"[[2, -2, -1], [2, -2, -2], [-1, 0, 2]]"
standard_rank27_all_equal,b10,"{w10:1, w16:-1}",3,"[[-6, 6, 3], [-3, 7, 6], [3, 0, -6]]"
standard_rank27_all_equal,b11,"{w11:1, w17:-1}",3,"[[-4, 4, 2], [-2, 4, 5], [2, 0, -4]]"
standard_rank27_all_equal,b12,"{w18:1, w21:-1}",3,"[[2, -2, -1], [1, -2, -2], [0, 0, 2]]"
standard_rank27_all_equal,b13,"{w19:1, w22:-1}",3,"[[12, -12, -6], [6, -12, -12], [-6, 1, 12]]"
standard_rank27_all_equal,b14,"{w20:1, w23:-1}",3,"[[-2, 2, 1], [-1, 2, 2], [1, 0, -1]]"
standard_rank27_all_equal,b15,"{w18:1, w24:-1}",3,"[[-2, 2, 1], [-1, 2, 2], [2, 0, -2]]"
standard_rank27_all_equal,b16,"{w19:1, w25:-1}",3,"[[12, -12, -6], [6, -12, -12], [-6, 1, 12]]"
standard_rank27_all_equal,b17,"{w20:1, w26:-1}",3,"[[2, -2, -1], [1, -2, -2], [-1, 0, 3]]"
standard_rank27_k0_equals_k1,b0,"{w0:151, w1:-11852, w2:-3201, w3:7198, w4:6484, w5:4920, w6:-7349, w7:5368, w8:-1719, w9:1042, w10:-7227, w11:-1842, w12:-10154, w13:7227, w14:1842, w15:9112}",3,"[[-34658, -11852, -3201], [1042, 17253, -1842], [0, 0, -8457]]"
standard_rank27_k0_equals_k1,b1,"{w0:1223, w1:1860, w2:1247, w3:-634, w4:-804, w5:896, w6:-589, w7:-1056, w8:-2143, w9:-2046, w10:2957, w11:558, w12:2046, w13:-3229, w14:-558, w16:272}",3,"[[14342, 1860, 1247], [-2046, 9077, 558], [0, 0, -11241]]"
standard_rank27_k0_equals_k1,b2,"{w0:98433, w1:110428, w2:79593, w3:-16662, w4:-29276, w5:58512, w6:-81771, w7:-81152, w8:-138105, w9:-178482, w10:256635, w11:17842, w12:178482, w13:-256635, w14:-54290, w17:36448}",3,"[[1222794, 110428, 79593], [-178482, 716451, 17842], [0, 0, -871935]]"
standard_rank27_k0_equals_k1,b3,"{w0:246955, w1:394836, w2:180547, w3:-211058, w4:-152340, w5:178480, w6:-35897, w7:-242496, w8:-359027, w9:-371814, w10:565161, w11:70470, w12:371814, w13:-565161, w14:-70470, w18:109344, w21:-109344}",3,"[[3411502, 394836, 180547], [-371814, 1601889, 70470], [109344, 0, -1855413]]"
standard_rank27_k0_equals_k1,b4,"{w0:94675, w1:170292, w2:86603, w3:-55682, w4:-55716, w5:42272, w6:-38993, w7:-114576, w8:-128875, w9:-149622, w10:243153, w11:45702, w12:149622, w13:-243153, w14:-45702, w19:54672, w22:-54672}",3,"[[1461502, 170292, 86603], [-149622, 662169, 45702], [0, 54672, -863133]]"
standard_rank27_k0_equals_k1,b5,"{w0:663651, w1:699124, w2:426075, w3:-145410, w4:-161492, w5:408144, w6:-518241, w7:-537632, w8:-834219, w9:-1102998, w10:1423857, w11:166326, w12:1102998, w13:-1423857, w14:-166326, w20:-109344, w23:109344}",3,"[[6740190, 699124, 426075], [-1102998, 4275369, 166326], [0, 0, -5272989]]"
standard_rank27_k0_equals_k1,b6,"{w0:68455, w1:84960, w2:63247, w3:-18686, w4:-35040, w5:42820, w6:-49769, w7:-49920, w8:-106067, w9:-109878, w10:166749, w11:14166, w12:109878, w13:-166749, w14:-14166, w18:13668, w24:-13668}",3,"[[931270, 84960, 63247], [-109878, 561489, 14166], [13668, 0, -535329]]"
