label,family,trial_index,rank_gamma,ker_gamma_dim,rank_H,saturation_defect,witness_dim,common_image_dim,common_rank_set,witness_basis_literal
standard_rank27_wildcard_01,wildcard_random_right_inverse,1,9,18,18,0,0,0,none,none
standard_rank27_wildcard_02,wildcard_random_right_inverse,2,9,18,18,0,0,0,none,none
standard_rank27_wildcard_03,wildcard_random_right_inverse,3,9,18,18,0,0,0,none,none
standard_rank27_wildcard_04,wildcard_random_right_inverse,4,9,18,18,0,0,0,none,none
standard_rank27_wildcard_05,wildcard_random_right_inverse,5,9,18,18,0,0,0,none,none
standard_rank27_wildcard_06,wildcard_random_right_inverse,6,9,18,18,0,0,0,none,none
standard_rank27_wildcard_07,wildcard_random_right_inverse,7,9,18,18,0,0,0,none,none
standard_rank27_wildcard_08,wildcard_random_right_inverse,8,9,18,18,0,0,0,none,none
standard_rank27_wildcard_09,wildcard_random_right_inverse,9,9,18,18,0,0,0,none,none
standard_rank27_wildcard_10,wildcard_random_right_inverse,10,9,18,18,0,0,0,none,none
standard_rank27_wildcard_11,wildcard_random_right_inverse,11,9,18,18,0,0,0,none,none
standard_rank27_wildcard_12,wildcard_random_right_inverse,12,9,18,18,0,0,0,none,none
standard_rank27_wildcard_13,wildcard_random_right_inverse,13,9,18,18,0,0,0,none,none
standard_rank27_wildcard_14,wildcard_random_right_inverse,14,9,18,18,0,0,0,none,none
standard_rank27_wildcard_15,wildcard_random_right_inverse,15,9,18,18,0,0,0,none,none
standard_rank27_wildcard_16,wildcard_random_right_inverse,16,9,18,18,0,0,0,none,none
standard_rank27_wildcard_17,wildcard_random_right_inverse,17,9,18,18,0,0,0,none,none
standard_rank27_wildcard_18,wildcard_random_right_inverse,18,9,18,18,0,0,0,none,none
alphatensor_rank23_wildcard_01,wildcard_random_right_inverse,1,9,14,14,0,0,0,none,none
alphatensor_rank23_wildcard_02,wildcard_random_right_inverse,2,9,14,14,0,0,0,none,none
alphatensor_rank23_wildcard_03,wildcard_random_right_inverse,3,9,14,14,0,0,0,none,none
alphatensor_rank23_wildcard_04,wildcard_random_right_inverse,4,9,14,14,0,0,0,none,none
alphatensor_rank23_wildcard_05,wildcard_random_right_inverse,5,9,14,14,0,0,0,none,none
alphatensor_rank23_wildcard_06,wildcard_random_right_inverse,6,9,14,14,0,0,0,none,none
alphatensor_rank23_wildcard_07,wildcard_random_right_inverse,7,9,14,14,0,0,0,none,none
alphatensor_rank23_wildcard_08,wildcard_random_right_inverse,8,9,14,14,0,0,0,none,none
alphatensor_rank23_wildcard_09,wildcard_random_right_inverse,9,9,14,14,0,0,0,none,none
alphatensor_rank23_wildcard_10,wildcard_random_right_inverse,10,9,14,14,0,0,0,none,none
alphatensor_rank23_wildcard_11,wildcard_random_right_inverse,11,9,14,14,0,0,0,none,none
alphatensor_rank23_wildcard_12,wildcard_random_right_inverse,12,9,14,14,0,0,0,none,none
alphatensor_rank23_wildcard_13,wildcard_random_right_inverse,13,9,14,14,0,0,0,none,none
alphatensor_rank23_wildcard_14,wildcard_random_right_inverse,14,9,14,14,0,0,0,none,none
alphatensor_rank23_wildcard_15,wildcard_random_right_inverse,15,9,14,14,0,0,0,none,none
alphatensor_rank23_wildcard_16,wildcard_random_right_inverse,16,9,14,14,0,0,0,none,none
alphatensor_rank23_wildcard_17,wildcard_random_right_inverse,17,9,14,14,0,0,0,none,none
alphatensor_rank23_wildcard_18,wildcard_random_right_inverse,18,9,14,14,0,0,0,none,none
