base_label,branch_type,family,trial_index,R,rank_H_numeric,rank_Delta_numeric,rank_HDelta_numeric,z_dim,sigma_z_rank,gamma_z_rank,operator_defined,operator_symmetry_max_abs,operator_det_approx,operator_min_eigenvalue_approx,operator_max_eigenvalue_approx,tensor_max_abs_residual,tensor_loss
alphatensor_rank23,structured,pair_equal_01,0,23,9,15,18,5,0,0,False,,,,,0.500000000000,9.000000000000
alphatensor_rank23,structured,pair_equal_12,0,23,9,15,19,4,0,0,False,,,,,0.500000000000,9.000000000000
alphatensor_rank23,structured,all_equal,0,23,0,9,9,14,0,0,False,,,,,0.666666666667,18.000000000000
alphatensor_rank23,structured,collinear,0,23,18,16,20,3,3,3,False,,,,,0.758861599108,10.014343385685
standard_rank27,structured,pair_equal_01,0,27,9,9,18,9,0,0,False,,,,,0.500000000000,9.000000000000
standard_rank27,structured,pair_equal_12,0,27,9,9,18,9,0,0,False,,,,,0.500000000000,9.000000000000
standard_rank27,structured,all_equal,0,27,0,9,9,18,0,0,False,,,,,0.666666666667,18.000000000000
standard_rank27,structured,collinear,0,27,18,0,18,9,9,9,True,1.443075260572e-16,1.000000000000,1.000000000000,1.000000000000,0.000000000000,0.000000000000
alphatensor_rank23,wildcard,random_channel_rescaling,1,23,14,12,22,1,1,1,False,,,,,0.510837249892,4.428291513033
alphatensor_rank23,wildcard,random_channel_rescaling,2,23,14,12,22,1,1,1,False,,,,,0.489570468238,3.345303821889
alphatensor_rank23,wildcard,random_channel_rescaling,3,23,14,12,22,1,1,1,False,,,,,0.479073506549,2.876283575668
alphatensor_rank23,wildcard,random_channel_rescaling,4,23,14,12,22,1,1,1,False,,,,,0.576572005411,3.318283522987
alphatensor_rank23,wildcard,random_channel_rescaling,5,23,14,12,22,1,1,1,False,,,,,0.609832296915,4.466615026287
alphatensor_rank23,wildcard,random_channel_rescaling,6,23,14,12,22,1,1,1,False,,,,,0.606234283429,5.711723690661
alphatensor_rank23,wildcard,random_channel_rescaling,7,23,14,12,22,1,1,1,False,,,,,0.511079004661,3.628764502001
alphatensor_rank23,wildcard,random_channel_rescaling,8,23,14,12,22,1,1,1,False,,,,,0.561532528270,5.350256765455
alphatensor_rank23,wildcard,random_channel_rescaling,9,23,14,12,22,1,1,1,False,,,,,0.603817222270,5.502507917811
alphatensor_rank23,wildcard,random_channel_rescaling,10,23,14,12,22,1,1,1,False,,,,,0.779925965050,4.966822201456
alphatensor_rank23,wildcard,random_channel_rescaling,11,23,14,12,22,1,1,1,False,,,,,0.533800297400,3.248346224745
alphatensor_rank23,wildcard,random_channel_rescaling,12,23,14,12,22,1,1,1,False,,,,,0.726461647890,4.125589193056
standard_rank27,wildcard,random_channel_rescaling,1,27,18,0,18,9,9,9,True,1.628042741783e-16,1.000000000000,1.000000000000,1.000000000000,0.000000000000,0.000000000000
standard_rank27,wildcard,random_channel_rescaling,2,27,18,0,18,9,9,9,True,1.524987568071e-16,1.000000000000,1.000000000000,1.000000000000,0.000000000000,0.000000000000
standard_rank27,wildcard,random_channel_rescaling,3,27,18,0,18,9,9,9,True,2.264627481435e-16,1.000000000000,1.000000000000,1.000000000000,0.000000000000,0.000000000000
standard_rank27,wildcard,random_channel_rescaling,4,27,18,0,18,9,9,9,True,2.170680265678e-16,1.000000000000,1.000000000000,1.000000000000,0.000000000000,0.000000000000
standard_rank27,wildcard,random_channel_rescaling,5,27,18,0,18,9,9,9,True,1.692043887686e-16,1.000000000000,1.000000000000,1.000000000000,0.000000000000,0.000000000000
standard_rank27,wildcard,random_channel_rescaling,6,27,18,0,18,9,9,9,True,1.203112402229e-16,1.000000000000,1.000000000000,1.000000000000,0.000000000000,0.000000000000
standard_rank27,wildcard,random_channel_rescaling,7,27,18,0,18,9,9,9,True,1.343256309219e-16,1.000000000000,1.000000000000,1.000000000000,0.000000000000,0.000000000000
standard_rank27,wildcard,random_channel_rescaling,8,27,18,0,18,9,9,9,True,2.601565748838e-16,1.000000000000,1.000000000000,1.000000000000,0.000000000000,0.000000000000
standard_rank27,wildcard,random_channel_rescaling,9,27,18,0,18,9,9,9,True,2.868446939167e-16,1.000000000000,1.000000000000,1.000000000000,0.000000000000,0.000000000000
standard_rank27,wildcard,random_channel_rescaling,10,27,18,0,18,9,9,9,True,2.210334382170e-16,1.000000000000,1.000000000000,1.000000000000,0.000000000000,0.000000000000
standard_rank27,wildcard,random_channel_rescaling,11,27,18,0,18,9,9,9,True,2.923529893172e-16,1.000000000000,1.000000000000,1.000000000000,0.000000000000,0.000000000000
standard_rank27,wildcard,random_channel_rescaling,12,27,18,0,18,9,9,9,True,2.845985430856e-16,1.000000000000,1.000000000000,1.000000000000,0.000000000000,0.000000000000
