decomposition_id,source,source_detail,rank_H_numeric,rank_Delta_numeric,rank_HDelta_numeric,delta_in_eta_numeric,projection_max_residual_numeric,projection_nonzero_count_numeric,projection_unique_nonzero_coefficients_numeric,projection_allclose_to_integer_numeric,rank_Nuisance_numeric,rank_Sigma_numeric,quotient_gain_numeric,max_abs_residual,loss_value,rank_H_exact,rank_Delta_exact,rank_HDelta_exact,rank_Nuisance_exact,rank_Sigma_exact,quotient_gain_exact,eta_nullity_exact,delta_in_eta_exact,projection_nonzero_count,projection_unique_nonzero_coefficients,projection_integral,projection_support_min,projection_support_max
sym_000,symmetry_orbit,"action_id=0;((0, 1, 2), (0, 1, 2), (0, 1, 2))",14,10,14,True,1.4850086564716538e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,46,"['-1', '1']",True,0,4
sym_001,symmetry_orbit,"action_id=1;((0, 1, 2), (0, 1, 2), (0, 2, 1))",14,10,14,True,2.909610230134634e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,46,"['-1', '1']",True,0,4
sym_002,symmetry_orbit,"action_id=2;((0, 1, 2), (0, 1, 2), (1, 0, 2))",14,10,14,True,1.130490034385581e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,46,"['-1', '1']",True,0,4
sym_003,symmetry_orbit,"action_id=3;((0, 1, 2), (0, 1, 2), (1, 2, 0))",14,10,14,True,1.9984014443252818e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,46,"['-1', '1']",True,0,4
sym_004,symmetry_orbit,"action_id=4;((0, 1, 2), (0, 1, 2), (2, 0, 1))",14,10,14,True,1.5543122344752192e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,46,"['-1', '1']",True,0,4
sym_005,symmetry_orbit,"action_id=5;((0, 1, 2), (0, 1, 2), (2, 1, 0))",14,10,14,True,1.2957973631137298e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,46,"['-1', '1']",True,0,4
sym_006,symmetry_orbit,"action_id=6;((0, 1, 2), (0, 2, 1), (0, 1, 2))",14,10,14,True,1.7763568394002505e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,64,"['-1', '1']",True,0,6
sym_007,symmetry_orbit,"action_id=7;((0, 1, 2), (0, 2, 1), (0, 2, 1))",14,10,14,True,1.8908485888147197e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,64,"['-1', '1']",True,0,6
sym_008,symmetry_orbit,"action_id=8;((0, 1, 2), (0, 2, 1), (1, 0, 2))",14,10,14,True,3.941291737419306e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,64,"['-1', '1']",True,0,6
sym_009,symmetry_orbit,"action_id=9;((0, 1, 2), (0, 2, 1), (1, 2, 0))",14,10,14,True,7.371885580542914e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,56,"['-1', '1']",True,0,6
