search_id,rank,strategy,init_detail,seed,final_loss,final_max_abs,exact_hit,rank_H_numeric,rank_Delta_numeric,rank_Nuisance_numeric,quotient_gain_numeric,delta_in_eta_numeric,projection_max_residual_numeric,border_tail_norm
border23_0028,22,border_vanishing_tail,rank23_with_penalized_last_term,777028,8.113267946906113e-05,0.0012922678297791618,False,18,22,22,0,False,0.0026494573211194583,0.3380735902472226
border23_0006,22,border_vanishing_tail,rank23_with_penalized_last_term,777006,0.00044095196332272896,0.005194625540320499,False,18,22,22,0,False,0.0010854441322302316,0.36429984623269585
border23_0010,22,border_vanishing_tail,rank23_with_penalized_last_term,777010,0.0037570485027726697,0.010282843910082922,False,18,22,22,0,False,0.030494912116467095,0.6307579811916479
border23_0019,22,border_vanishing_tail,rank23_with_penalized_last_term,777019,0.006037653159151278,0.011995499870503194,False,18,22,22,0,False,0.011930484631483648,0.3301518215134587
border23_0007,22,border_vanishing_tail,rank23_with_penalized_last_term,777007,0.0062025628719673594,0.013260905329921167,False,18,22,22,0,False,0.15823670474724177,0.41209312662250414
border23_0022,22,border_vanishing_tail,rank23_with_penalized_last_term,777022,0.00923859097449549,0.014372715201464941,False,18,22,22,0,False,0.005801560705149478,0.44231016111780547
border23_0024,22,border_vanishing_tail,rank23_with_penalized_last_term,777024,0.011277199523819975,0.015730890430163784,False,18,22,22,0,False,0.010931077540630031,0.28718452967508756
border23_0011,22,border_vanishing_tail,rank23_with_penalized_last_term,777011,0.017447977771130326,0.015741891526782452,False,18,22,22,0,False,0.039238611236438715,0.8348045176422357
border23_0008,22,border_vanishing_tail,rank23_with_penalized_last_term,777008,0.013577495777976976,0.016685475809398997,False,18,22,22,0,False,0.030340233514658588,0.4469259800116517
border23_0000,22,border_vanishing_tail,rank23_with_penalized_last_term,777000,0.010263364068394107,0.017384530997369065,False,18,22,22,0,False,0.02925540463185894,0.25609338592936237
border23_0026,22,border_vanishing_tail,rank23_with_penalized_last_term,777026,0.02493351532270689,0.018371296715917473,False,18,22,22,0,False,0.04522513026258654,0.5557907487334628
cold22_0155,22,cold_random,cold22,623155,0.0289728035537856,0.020291573988653708,False,18,22,22,0,False,0.1789771055327884,
border23_0023,22,border_vanishing_tail,rank23_with_penalized_last_term,777023,0.017717258820240757,0.021950307448750997,False,18,22,22,0,False,0.025561203814504052,0.34270635292202917
cold22_0018,22,cold_random,cold22,623018,0.033549712376887884,0.02260161164696789,False,18,22,22,0,False,0.011529231641155012,
border23_0003,22,border_vanishing_tail,rank23_with_penalized_last_term,777003,0.020870567241439958,0.023304159917201063,False,18,22,22,0,False,0.018736739366735033,0.7974338864457629
border23_0021,22,border_vanishing_tail,rank23_with_penalized_last_term,777021,0.02260813374330453,0.02414200787426183,False,18,22,22,0,False,0.01239640152135918,0.3133197963281178
border23_0004,22,border_vanishing_tail,rank23_with_penalized_last_term,777004,0.01689672057930502,0.024243258448443685,False,18,22,22,0,False,0.014891299344437114,0.6033648345658269
cold22_0066,22,cold_random,cold22,623066,0.03654037356914236,0.024792014540406998,False,18,22,22,0,False,0.012033293948746304,
border23_0001,22,border_vanishing_tail,rank23_with_penalized_last_term,777001,0.01813814326332909,0.025827963673806926,False,18,22,22,0,False,0.0416131814306504,0.4986672583524822
cold22_0227,22,cold_random,cold22,623227,0.02745926862661086,0.027825329068271402,False,18,22,22,0,False,0.005991988201180409,
warm22_0129,22,warm_alpha_seed,core_mask_101,51001,0.024199209808130482,0.028549891088642754,False,18,22,22,0,False,0.009567122499754185,
cold22_0233,22,cold_random,cold22,623233,0.054435668715360895,0.0291457724024165,False,18,22,22,0,False,0.023327803678448777,
border23_0009,22,border_vanishing_tail,rank23_with_penalized_last_term,777009,0.03999989825024422,0.029321151305642362,False,18,22,22,0,False,0.0984027512550052,0.8886848709516831
cold22_0136,22,cold_random,cold22,623136,0.026443506381944787,0.030079556237245203,False,18,22,22,0,False,0.024086836283055746,
border23_0020,22,border_vanishing_tail,rank23_with_penalized_last_term,777020,0.030751792132825265,0.030301936935789,False,18,22,22,0,False,0.008228442101028799,0.35659286600766765
cold22_0008,22,cold_random,cold22,623008,0.0439660476702123,0.031790783360758024,False,18,22,22,0,False,0.09147064870014826,
cold22_0077,22,cold_random,cold22,623077,0.04848190173547342,0.032155535181360384,False,18,22,22,0,False,0.009518019141599804,
cold22_0024,22,cold_random,cold22,623024,0.05170647809468708,0.033233655011688935,False,18,22,22,0,False,0.017577211842455844,
cold22_0195,22,cold_random,cold22,623195,0.03887382576048384,0.033624699218067204,False,18,22,22,0,False,0.08179277259076995,
cold22_0219,22,cold_random,cold22,623219,0.07984527230576037,0.034460491763707704,False,18,22,22,0,False,0.4019544778615889,
cold22_0042,22,cold_random,cold22,623042,0.04993703225846372,0.03466465855169292,False,18,22,22,0,False,0.08434440081094198,
cold22_0139,22,cold_random,cold22,623139,0.05251049025189149,0.03625908520677107,False,18,22,22,0,False,0.023199865738464664,
cold22_0013,22,cold_random,cold22,623013,0.03600964541252773,0.03783947363187245,False,18,22,22,0,False,0.032983012924492655,
cold22_0152,22,cold_random,cold22,623152,0.07547621971902313,0.03848558417905479,False,18,22,22,0,False,0.0187922750996099,
cold22_0030,22,cold_random,cold22,623030,0.04176441880035849,0.03912650565887558,False,18,22,22,0,False,0.020064518501961587,
cold22_0063,22,cold_random,cold22,623063,0.05446234734686822,0.039131482535419156,False,18,22,22,0,False,0.06906087244800309,
cold22_0134,22,cold_random,cold22,623134,0.06008646419772993,0.04169383918844591,False,18,22,22,0,False,0.1269757440004794,
cold22_0028,22,cold_random,cold22,623028,0.05112735182271964,0.042884101611076725,False,18,22,22,0,False,0.0605858484171522,
cold22_0124,22,cold_random,cold22,623124,0.10973126170413991,0.046194987544600025,False,18,22,22,0,False,0.04175012589818894,
cold22_0096,22,cold_random,cold22,623096,0.12504409514468584,0.048943832841493395,False,18,22,22,0,False,0.15055056980846274,
border23_0005,22,border_vanishing_tail,rank23_with_penalized_last_term,777005,0.08899194120785422,0.04938284959014903,False,18,22,22,0,False,0.043312037332371794,0.6024974067879035
warm22_0142,22,warm_alpha_seed,core_mask_101,51014,0.09197536400366996,0.04999579101946183,False,18,22,22,0,False,0.027464614946094645,
cold22_0094,22,cold_random,cold22,623094,0.11521686052218558,0.051013797479745854,False,18,22,22,0,False,0.075783520602825,
cold22_0234,22,cold_random,cold22,623234,0.13497364233461748,0.05221862343159121,False,18,22,22,0,False,0.09266304468407555,
cold22_0038,22,cold_random,cold22,623038,0.10656498604940427,0.05363232965748355,False,18,22,22,0,False,0.21515231576197613,
cold22_0102,22,cold_random,cold22,623102,0.10754157995540592,0.05378973865318459,False,18,22,22,0,False,0.07305568570512255,
cold22_0204,22,cold_random,cold22,623204,0.08176431271387144,0.054007917929360605,False,18,22,22,0,False,0.019139850963580868,
cold22_0100,22,cold_random,cold22,623100,0.15909319699293215,0.0571723978674744,False,18,22,22,0,False,0.1716630827573673,
cold22_0015,22,cold_random,cold22,623015,0.15405750506930996,0.06293957623308091,False,18,22,22,0,False,0.051426818461105306,
cold22_0127,22,cold_random,cold22,623127,0.11502997195453613,0.06326828663355434,False,18,22,22,0,False,0.19163815259560302,
cold22_0203,22,cold_random,cold22,623203,0.1398287911049118,0.0636847928222352,False,18,22,22,0,False,0.040236354259859386,
cold22_0090,22,cold_random,cold22,623090,0.08579300657408677,0.07152912137695533,False,18,22,22,0,False,0.03427141776411685,
cold22_0120,22,cold_random,cold22,623120,0.24294414532655095,0.07959818259228568,False,18,22,22,0,False,0.07184578279222065,
cold22_0217,22,cold_random,cold22,623217,0.1436246304556153,0.08233812692772724,False,18,22,22,0,False,0.1471061067995556,
cold22_0076,22,cold_random,cold22,623076,1.0202869379157988,0.08613346792661637,False,18,22,22,0,False,0.023485487419746542,
