order_id,step_k,term_id_added,rank_H,rank_Delta,rank_Nuisance,rank_Sigma,rank_Augmented,quotient_gain,delta_in_eta,marginal_rank_H,marginal_rank_Delta,marginal_rank_Nuisance,marginal_quotient_gain
original,1,t01,1,1,1,1,1,0,True,1,1,1,0
original,2,t02,2,2,2,2,2,0,True,1,1,1,0
original,3,t03,3,3,3,2,3,0,True,1,1,1,0
original,4,t04,4,4,4,3,4,0,True,1,1,1,0
original,5,t05,5,5,5,4,5,0,True,1,1,1,0
original,6,t06,5,5,5,4,6,1,True,0,0,0,1
original,7,t07,6,6,6,5,7,1,True,1,1,1,0
original,8,t08,7,6,7,6,8,1,True,1,0,1,0
original,9,t09,8,6,8,7,9,1,True,1,0,1,0
original,10,t10,9,6,9,8,10,1,True,1,0,1,0
original,11,t11,10,7,10,8,11,1,True,1,1,1,0
original,12,t12,10,7,10,8,12,2,True,0,0,0,1
original,13,t13,11,8,11,8,13,2,True,1,1,1,0
original,14,t14,12,9,12,9,14,2,True,1,1,1,0
original,15,t15,13,10,13,9,15,2,True,1,1,1,0
original,16,t16,13,10,13,9,16,3,True,0,0,0,1
original,17,t17,13,10,13,9,17,4,True,0,0,0,1
original,18,t18,14,10,14,9,18,4,True,1,0,1,0
original,19,t19,14,10,14,9,19,5,True,0,0,0,1
original,20,t20,14,10,14,9,20,6,True,0,0,0,1
original,21,t21,14,10,14,9,21,7,True,0,0,0,1
original,22,t22,14,10,14,9,22,8,True,0,0,0,1
original,23,t23,14,10,14,9,23,9,True,0,0,0,1
random_00,1,t14,1,1,1,1,1,0,True,1,1,1,0
random_00,2,t17,2,2,2,2,2,0,True,1,1,1,0
random_00,3,t15,3,3,3,3,3,0,True,1,1,1,0
random_00,4,t20,4,3,4,4,4,0,True,1,0,1,0
random_00,5,t04,5,4,5,5,5,0,True,1,1,1,0
random_00,6,t22,6,4,6,5,6,0,True,1,0,1,0
random_00,7,t13,7,5,7,5,7,0,True,1,1,1,0
random_00,8,t07,8,6,8,6,8,0,True,1,1,1,0
random_00,9,t03,9,7,9,7,9,0,True,1,1,1,0
random_00,10,t02,10,8,10,8,10,0,True,1,1,1,0
random_00,11,t18,10,8,10,8,11,1,True,0,0,0,1
random_00,12,t10,11,9,11,9,12,1,True,1,1,1,0
random_00,13,t19,11,9,11,9,13,2,True,0,0,0,1
random_00,14,t11,12,10,12,9,14,2,True,1,1,1,0
random_00,15,t08,12,10,12,9,15,3,True,0,0,0,1
random_00,16,t09,13,10,13,9,16,3,True,1,0,1,0
random_00,17,t05,14,10,14,9,17,3,True,1,0,1,0
random_00,18,t16,14,10,14,9,18,4,True,0,0,0,1
random_00,19,t12,14,10,14,9,19,5,True,0,0,0,1
random_00,20,t23,14,10,14,9,20,6,True,0,0,0,1
random_00,21,t06,14,10,14,9,21,7,True,0,0,0,1
random_00,22,t21,14,10,14,9,22,8,True,0,0,0,1
random_00,23,t01,14,10,14,9,23,9,True,0,0,0,1
random_01,1,t13,1,1,1,1,1,0,True,1,1,1,0
random_01,2,t08,2,2,2,2,2,0,True,1,1,1,0
random_01,3,t16,3,2,3,3,3,0,True,1,0,1,0
random_01,4,t19,4,3,4,3,4,0,True,1,1,1,0
random_01,5,t23,4,3,4,3,5,1,True,0,0,0,1
random_01,6,t21,5,4,5,4,6,1,True,1,1,1,0
random_01,7,t06,6,5,6,5,7,1,True,1,1,1,0
random_01,8,t01,7,6,7,5,8,1,True,1,1,1,0
random_01,9,t07,8,7,8,6,9,1,True,1,1,1,0
random_01,10,t09,9,7,9,7,10,1,True,1,0,1,0
random_01,11,t14,10,7,10,8,11,1,True,1,0,1,0
random_01,12,t11,11,8,11,8,12,1,True,1,1,1,0
random_01,13,t18,11,8,11,8,13,2,True,0,0,0,1
random_01,14,t04,12,9,12,9,14,2,True,1,1,1,0
random_01,15,t12,12,9,12,9,15,3,True,0,0,0,1
random_01,16,t17,13,10,13,9,16,3,True,1,1,1,0
random_01,17,t03,13,10,13,9,17,4,True,0,0,0,1
random_01,18,t05,13,10,13,9,18,5,True,0,0,0,1
random_01,19,t15,14,10,14,9,19,5,True,1,0,1,0
random_01,20,t10,14,10,14,9,20,6,True,0,0,0,1
random_01,21,t02,14,10,14,9,21,7,True,0,0,0,1
random_01,22,t22,14,10,14,9,22,8,True,0,0,0,1
random_01,23,t20,14,10,14,9,23,9,True,0,0,0,1
random_02,1,t01,1,1,1,1,1,0,True,1,1,1,0
