order_id,first_k_rank_H_14,first_k_quotient_gain_9,final_rank_H,final_rank_Delta,final_rank_Nuisance,final_quotient_gain,terms_with_zero_additional_nuisance
original,18,23,14,10,14,9,9
random_00,17,23,14,10,14,9,9
random_01,19,23,14,10,14,9,9
random_02,14,23,14,10,14,9,9
random_03,18,23,14,10,14,9,9
random_04,19,23,14,10,14,9,9
random_05,17,23,14,10,14,9,9
random_06,17,23,14,10,14,9,9
random_07,17,23,14,10,14,9,9
random_08,18,23,14,10,14,9,9
random_09,15,23,14,10,14,9,9
random_10,15,23,14,10,14,9,9
random_11,15,23,14,10,14,9,9
random_12,16,23,14,10,14,9,9
random_13,16,23,14,10,14,9,9
random_14,16,23,14,10,14,9,9
random_15,19,23,14,10,14,9,9
random_16,19,23,14,10,14,9,9
random_17,21,23,14,10,14,9,9
random_18,18,23,14,10,14,9,9
random_19,16,23,14,10,14,9,9
