identity_id,formula,a_coordinate,b_coordinate,coefficient
1,"+1*eta1[0,1] +1*eta1[0,2] -1*eta1[1,1]","a[0,0]","b[0,1]",1
1,"+1*eta1[0,1] +1*eta1[0,2] -1*eta1[1,1]","a[0,0]","b[0,2]",1
1,"+1*eta1[0,1] +1*eta1[0,2] -1*eta1[1,1]","a[0,1]","b[1,1]",-1
1,"+1*eta1[0,1] +1*eta1[0,2] -1*eta1[1,1]","a[0,1]","b[1,2]",-1
1,"+1*eta1[0,1] +1*eta1[0,2] -1*eta1[1,1]","a[1,0]","b[0,1]",-1
1,"+1*eta1[0,1] +1*eta1[0,2] -1*eta1[1,1]","a[1,1]","b[1,1]",1
2,"+1*eta1[0,0] -1*eta1[2,1]","a[0,0]","b[0,0]",1
2,"+1*eta1[0,0] -1*eta1[2,1]","a[0,1]","b[1,0]",-1
2,"+1*eta1[0,0] -1*eta1[2,1]","a[2,0]","b[0,1]",-1
2,"+1*eta1[0,0] -1*eta1[2,1]","a[2,1]","b[1,1]",1
3,"+1*eta1[0,0] -1*eta1[1,0] +1*eta1[2,2]","a[0,0]","b[0,0]",1
3,"+1*eta1[0,0] -1*eta1[1,0] +1*eta1[2,2]","a[0,1]","b[1,0]",-1
3,"+1*eta1[0,0] -1*eta1[1,0] +1*eta1[2,2]","a[1,0]","b[0,0]",-1
3,"+1*eta1[0,0] -1*eta1[1,0] +1*eta1[2,2]","a[1,1]","b[1,0]",1
3,"+1*eta1[0,0] -1*eta1[1,0] +1*eta1[2,2]","a[2,0]","b[0,2]",1
3,"+1*eta1[0,0] -1*eta1[1,0] +1*eta1[2,2]","a[2,1]","b[1,2]",-1
4,"+1*eta2[0,2] +1*eta2[2,1]","a[0,1]","b[1,2]",1
4,"+1*eta2[0,2] +1*eta2[2,1]","a[0,2]","b[2,2]",-1
4,"+1*eta2[0,2] +1*eta2[2,1]","a[2,1]","b[1,1]",1
4,"+1*eta2[0,2] +1*eta2[2,1]","a[2,2]","b[2,1]",-1
