removed_term_id,remaining_term_count,rank_H_exact,eta_nullity_exact,rank_Delta_exact,rank_HDelta_exact,rank_Nuisance_exact,rank_Sigma_exact,quotient_gain_exact,delta_in_eta_exact,projection_nonzero_count,projection_support_min,projection_support_max
t01,22,14,4,10,14,14,9,8,True,46,0,4
t02,22,14,4,10,14,14,9,8,True,46,0,4
t03,22,14,4,10,14,14,9,8,True,46,0,4
t04,22,14,4,10,14,14,9,8,True,46,0,4
t05,22,14,4,10,14,14,9,8,True,46,0,4
t06,22,14,4,10,14,14,9,8,True,46,0,4
t07,22,14,4,10,14,14,9,8,True,46,0,4
t08,22,14,4,10,14,14,9,8,True,46,0,4
t09,22,14,4,10,14,14,9,8,True,46,0,4
t10,22,14,4,10,14,14,9,8,True,46,0,4
t11,22,14,4,10,14,14,9,8,True,46,0,4
t12,22,14,4,10,14,14,9,8,True,46,0,4
t13,22,14,4,10,14,14,9,8,True,46,0,4
t14,22,14,4,10,14,14,9,8,True,46,0,4
t15,22,14,4,10,14,14,9,8,True,46,0,4
t16,22,14,4,10,14,14,9,8,True,46,0,4
t17,22,14,4,10,14,14,9,8,True,46,0,4
t18,22,14,4,10,14,14,9,8,True,46,0,4
t19,22,14,4,10,14,14,9,8,True,46,0,4
t20,22,14,4,10,14,14,9,8,True,46,0,4
t21,22,14,4,10,14,14,9,8,True,46,0,4
t22,22,14,4,10,14,14,9,8,True,46,0,4
t23,22,14,4,10,14,14,9,8,True,46,0,4
