action,augmented_rank,intersection_dimension,preserves_identity_space
"pi_rA=(0, 1, 2);pi_shared=(0, 1, 2);pi_cB=(0, 1, 2)",4,4,True
"pi_rA=(0, 1, 2);pi_shared=(0, 1, 2);pi_cB=(0, 2, 1)",7,1,False
"pi_rA=(0, 1, 2);pi_shared=(0, 1, 2);pi_cB=(1, 0, 2)",7,1,False
"pi_rA=(0, 1, 2);pi_shared=(0, 1, 2);pi_cB=(1, 2, 0)",8,0,False
"pi_rA=(0, 1, 2);pi_shared=(0, 1, 2);pi_cB=(2, 0, 1)",8,0,False
"pi_rA=(0, 1, 2);pi_shared=(0, 1, 2);pi_cB=(2, 1, 0)",7,1,False
"pi_rA=(0, 1, 2);pi_shared=(0, 2, 1);pi_cB=(0, 1, 2)",7,1,False
"pi_rA=(0, 1, 2);pi_shared=(0, 2, 1);pi_cB=(0, 2, 1)",8,0,False
"pi_rA=(0, 1, 2);pi_shared=(0, 2, 1);pi_cB=(1, 0, 2)",8,0,False
"pi_rA=(0, 1, 2);pi_shared=(0, 2, 1);pi_cB=(1, 2, 0)",8,0,False
"pi_rA=(0, 1, 2);pi_shared=(0, 2, 1);pi_cB=(2, 0, 1)",8,0,False
"pi_rA=(0, 1, 2);pi_shared=(0, 2, 1);pi_cB=(2, 1, 0)",8,0,False
"pi_rA=(0, 1, 2);pi_shared=(1, 0, 2);pi_cB=(0, 1, 2)",5,3,False
"pi_rA=(0, 1, 2);pi_shared=(1, 0, 2);pi_cB=(0, 2, 1)",7,1,False
"pi_rA=(0, 1, 2);pi_shared=(1, 0, 2);pi_cB=(1, 0, 2)",7,1,False
"pi_rA=(0, 1, 2);pi_shared=(1, 0, 2);pi_cB=(1, 2, 0)",8,0,False
"pi_rA=(0, 1, 2);pi_shared=(1, 0, 2);pi_cB=(2, 0, 1)",8,0,False
"pi_rA=(0, 1, 2);pi_shared=(1, 0, 2);pi_cB=(2, 1, 0)",7,1,False
"pi_rA=(0, 1, 2);pi_shared=(1, 2, 0);pi_cB=(0, 1, 2)",8,0,False
"pi_rA=(0, 1, 2);pi_shared=(1, 2, 0);pi_cB=(0, 2, 1)",8,0,False
"pi_rA=(0, 1, 2);pi_shared=(1, 2, 0);pi_cB=(1, 0, 2)",8,0,False
"pi_rA=(0, 1, 2);pi_shared=(1, 2, 0);pi_cB=(1, 2, 0)",8,0,False
"pi_rA=(0, 1, 2);pi_shared=(1, 2, 0);pi_cB=(2, 0, 1)",8,0,False
"pi_rA=(0, 1, 2);pi_shared=(1, 2, 0);pi_cB=(2, 1, 0)",8,0,False
"pi_rA=(0, 1, 2);pi_shared=(2, 0, 1);pi_cB=(0, 1, 2)",8,0,False
"pi_rA=(0, 1, 2);pi_shared=(2, 0, 1);pi_cB=(0, 2, 1)",8,0,False
"pi_rA=(0, 1, 2);pi_shared=(2, 0, 1);pi_cB=(1, 0, 2)",8,0,False
"pi_rA=(0, 1, 2);pi_shared=(2, 0, 1);pi_cB=(1, 2, 0)",8,0,False
