trial,sigma_rank,sampled_points,success_rank9
0,9,22,True
1,9,22,True
2,9,22,True
3,9,22,True
4,9,22,True
5,9,22,True
6,9,22,True
7,9,22,True
8,9,22,True
9,9,22,True
10,9,22,True
11,9,22,True
12,9,22,True
13,9,22,True
14,9,22,True
15,9,22,True
16,9,22,True
17,9,22,True
18,9,22,True
19,9,22,True
20,9,22,True
21,9,22,True
22,9,22,True
23,9,22,True
24,9,22,True
25,9,22,True
26,9,22,True
27,9,22,True
28,9,22,True
29,9,22,True
30,9,22,True
31,9,22,True
32,9,22,True
33,9,22,True
34,9,22,True
35,9,22,True
36,9,22,True
37,9,22,True
38,9,22,True
39,9,22,True
40,9,22,True
41,9,22,True
42,9,22,True
43,9,22,True
44,9,22,True
45,9,22,True
46,9,22,True
47,9,22,True
48,9,22,True
49,9,22,True
50,9,22,True
51,9,22,True
52,9,22,True
53,9,22,True
54,9,22,True
55,9,22,True
56,9,22,True
57,9,22,True
58,9,22,True
59,9,22,True
60,9,22,True
61,9,22,True
62,9,22,True
63,9,22,True
64,9,22,True
65,9,22,True
66,9,22,True
67,9,22,True
68,9,22,True
69,9,22,True
70,9,22,True
71,9,22,True
72,9,22,True
73,9,22,True
74,9,22,True
75,9,22,True
76,9,22,True
77,9,22,True
78,9,22,True
79,9,22,True
80,9,22,True
81,9,22,True
82,9,22,True
83,9,22,True
84,9,22,True
85,9,22,True
86,9,22,True
87,9,22,True
88,9,22,True
89,9,22,True
90,9,22,True
91,9,22,True
92,9,22,True
93,9,22,True
94,9,22,True
95,9,22,True
96,9,22,True
97,9,22,True
98,9,22,True
99,9,22,True
