k,trial,sample_found,jacobian_rank,observed_dimension,sigma_sample_rank
1,0,True,1,17,9
1,1,True,1,17,9
1,2,True,1,17,9
1,3,True,1,17,9
1,4,True,1,17,9
1,5,True,1,17,9
1,6,True,1,17,9
1,7,True,1,17,9
1,8,True,1,17,9
1,9,True,1,17,9
1,10,True,1,17,9
1,11,True,1,17,9
1,12,True,1,17,9
1,13,True,1,17,9
1,14,True,1,17,9
1,15,True,1,17,9
2,0,True,2,16,9
2,1,True,2,16,9
2,2,True,2,16,9
2,3,True,2,16,9
2,4,True,2,16,9
2,5,True,2,16,9
2,6,True,2,16,9
2,7,True,2,16,9
2,8,True,2,16,9
2,9,True,2,16,9
2,10,True,2,16,9
2,11,True,2,16,9
2,12,True,2,16,9
2,13,True,2,16,9
2,14,True,2,16,9
2,15,True,2,16,9
3,0,True,3,15,9
3,1,True,3,15,9
3,2,True,3,15,9
3,3,True,3,15,9
3,4,True,3,15,9
3,5,True,3,15,9
3,6,True,3,15,9
3,7,True,3,15,9
3,8,True,3,15,9
3,9,True,3,15,9
3,10,True,3,15,9
3,11,True,3,15,9
3,12,True,3,15,9
3,13,True,3,15,9
3,14,True,3,15,9
3,15,True,3,15,9
4,0,True,4,14,9
4,1,True,4,14,9
4,2,True,4,14,9
4,3,True,4,14,9
4,4,True,4,14,9
4,5,True,4,14,9
4,6,True,4,14,9
4,7,True,4,14,9
4,8,True,4,14,9
4,9,True,4,14,9
4,10,True,4,14,9
4,11,True,4,14,9
4,12,True,4,14,9
4,13,True,4,14,9
4,14,True,4,14,9
4,15,True,4,14,9
5,0,True,5,13,9
5,1,True,5,13,9
5,2,True,5,13,9
5,3,True,5,13,9
5,4,True,5,13,9
5,5,True,5,13,9
5,6,True,5,13,9
5,7,True,5,13,9
5,8,True,5,13,9
5,9,True,5,13,9
5,10,True,5,13,9
5,11,True,5,13,9
5,12,True,5,13,9
5,13,True,5,13,9
5,14,True,5,13,9
5,15,True,5,13,9
6,0,True,6,12,9
6,1,True,6,12,9
6,2,True,6,12,9
6,3,True,6,12,9
6,4,True,6,12,9
6,5,True,6,12,9
6,6,True,6,12,9
6,7,True,6,12,9
6,8,True,6,12,9
6,9,True,6,12,9
6,10,True,6,12,9
6,11,True,6,12,9
6,12,True,6,12,9
6,13,True,6,12,9
6,14,True,6,12,9
6,15,True,6,12,9
7,0,True,7,11,9
7,1,True,7,11,9
7,2,True,7,11,9
7,3,True,7,11,9
7,4,True,7,11,9
7,5,True,7,11,9
7,6,True,7,11,9
7,7,True,7,11,9
7,8,True,7,11,9
7,9,True,7,11,9
7,10,True,7,11,9
7,11,True,7,11,9
7,12,True,7,11,9
7,13,True,7,11,9
7,14,True,7,11,9
7,15,True,7,11,9
8,0,True,8,10,9
8,1,True,8,10,9
8,2,True,8,10,9
8,3,True,8,10,9
8,4,True,8,10,9
8,5,True,8,10,9
8,6,True,8,10,9
8,7,True,8,10,9
8,8,True,8,10,9
8,9,True,8,10,9
8,10,True,8,10,9
8,11,True,8,10,9
8,12,True,8,10,9
8,13,True,8,10,9
8,14,True,8,10,9
8,15,True,8,10,9
9,0,False,,,
9,1,False,,,
9,2,False,,,
9,3,False,,,
9,4,False,,,
9,5,False,,,
9,6,False,,,
9,7,False,,,
9,8,False,,,
9,9,False,,,
9,10,False,,,
9,11,False,,,
9,12,False,,,
9,13,False,,,
9,14,False,,,
9,15,False,,,
