pattern_id,count,left_cx_orbit_id,middle_xx_orbit_id,right_xc_orbit_id,outer_cc_orbit_id,left_cxc_orbit_id,right_cxc_orbit_id,rep_cxxc_config_id,rep_cxxc_readable
0,27,0,0,0,0,0,0,0,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
1,54,0,0,1,1,1,1,1,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,1]]"
2,54,0,0,2,2,2,2,3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[1,0]]"
3,108,0,0,3,3,3,3,4,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[1,1]]"
4,54,0,1,0,1,1,5,10,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[0,1]]"
5,54,0,1,1,0,0,4,9,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[0,0]]"
6,54,0,1,1,1,1,6,11,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[0,2]]"
7,108,0,1,2,3,3,8,13,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[1,1]]"
8,108,0,1,3,2,2,7,12,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[1,0]]"
9,108,0,1,3,3,3,9,14,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[1,2]]"
10,54,0,2,4,0,0,10,27,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,0],C[0,0]]"
11,108,0,2,5,1,1,11,28,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,0],C[0,1]]"
12,108,0,2,6,2,2,12,30,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,0],C[1,0]]"
13,216,0,2,7,3,3,13,31,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,0],C[1,1]]"
14,108,0,3,4,1,1,15,37,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,1],C[0,1]]"
15,108,0,3,5,0,0,14,36,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,1],C[0,0]]"
16,108,0,3,5,1,1,16,38,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,1],C[0,2]]"
17,216,0,3,6,3,3,18,40,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,1],C[1,1]]"
18,216,0,3,7,2,2,17,39,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,1],C[1,0]]"
19,216,0,3,7,3,3,19,41,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,1],C[1,2]]"
20,54,0,4,4,0,0,10,81,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,0],C[0,0]]"
21,108,0,4,5,1,1,11,82,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,0],C[0,1]]"
22,108,0,4,6,2,2,12,84,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,0],C[1,0]]"
23,216,0,4,7,3,3,13,85,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,0],C[1,1]]"
24,108,0,5,4,1,1,15,91,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,1],C[0,1]]"
25,108,0,5,5,0,0,14,90,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,1],C[0,0]]"
26,108,0,5,5,1,1,16,92,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,1],C[0,2]]"
27,216,0,5,6,3,3,18,94,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,1],C[1,1]]"
28,216,0,5,7,2,2,17,93,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,1],C[1,0]]"
29,216,0,5,7,3,3,19,95,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,1],C[1,2]]"
30,54,0,6,0,0,0,0,108,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
31,108,0,6,1,1,1,1,109,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,1]]"
32,108,0,6,2,2,2,2,111,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[1,0]]"
33,216,0,6,3,3,3,3,112,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[1,1]]"
34,108,0,7,0,1,1,5,118,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,1],C[0,1]]"
35,108,0,7,1,0,0,4,117,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,1],C[0,0]]"
36,108,0,7,1,1,1,6,119,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,1],C[0,2]]"
37,216,0,7,2,3,3,8,121,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,1],C[1,1]]"
38,216,0,7,3,2,2,7,120,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,1],C[1,0]]"
39,216,0,7,3,3,3,9,122,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,1],C[1,2]]"
40,54,0,8,4,0,0,10,135,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,0],C[0,0]]"
41,108,0,8,5,1,1,11,136,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,0],C[0,1]]"
42,108,0,8,6,2,2,12,138,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,0],C[1,0]]"
43,216,0,8,7,3,3,13,139,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,0],C[1,1]]"
44,108,0,9,4,1,1,15,145,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,1],C[0,1]]"
45,108,0,9,5,0,0,14,144,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,1],C[0,0]]"
46,108,0,9,5,1,1,16,146,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,1],C[0,2]]"
47,216,0,9,6,3,3,18,148,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,1],C[1,1]]"
48,216,0,9,7,2,2,17,147,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,1],C[1,0]]"
49,216,0,9,7,3,3,19,149,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,1],C[1,2]]"
50,54,0,10,0,2,2,22,246,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,0],C[1,0]]"
51,108,0,10,1,3,3,23,247,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,0],C[1,1]]"
52,54,0,10,2,0,0,20,243,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,0],C[0,0]]"
53,54,0,10,2,2,2,24,249,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,0],C[2,0]]"
54,108,0,10,3,1,1,21,244,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,0],C[0,1]]"
55,108,0,10,3,3,3,25,250,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,0],C[2,1]]"
56,108,0,11,0,3,3,30,256,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,1],C[1,1]]"
57,108,0,11,1,2,2,29,255,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,1],C[1,0]]"
