x_local_id,x_name,r,s,t,u,a_local_id,a_name,b_local_id,b_name,live,target_c_local_id,target_c_name
3,"X[0,0|1,0]",0,0,1,0,0,"A[0,0]",3,"B[1,0]",0,-1,
4,"X[0,0|1,1]",0,0,1,1,0,"A[0,0]",4,"B[1,1]",0,-1,
5,"X[0,0|1,2]",0,0,1,2,0,"A[0,0]",5,"B[1,2]",0,-1,
6,"X[0,0|2,0]",0,0,2,0,0,"A[0,0]",6,"B[2,0]",0,-1,
7,"X[0,0|2,1]",0,0,2,1,0,"A[0,0]",7,"B[2,1]",0,-1,
8,"X[0,0|2,2]",0,0,2,2,0,"A[0,0]",8,"B[2,2]",0,-1,
9,"X[0,1|0,0]",0,1,0,0,1,"A[0,1]",0,"B[0,0]",0,-1,
10,"X[0,1|0,1]",0,1,0,1,1,"A[0,1]",1,"B[0,1]",0,-1,
11,"X[0,1|0,2]",0,1,0,2,1,"A[0,1]",2,"B[0,2]",0,-1,
15,"X[0,1|2,0]",0,1,2,0,1,"A[0,1]",6,"B[2,0]",0,-1,
16,"X[0,1|2,1]",0,1,2,1,1,"A[0,1]",7,"B[2,1]",0,-1,
17,"X[0,1|2,2]",0,1,2,2,1,"A[0,1]",8,"B[2,2]",0,-1,
18,"X[0,2|0,0]",0,2,0,0,2,"A[0,2]",0,"B[0,0]",0,-1,
19,"X[0,2|0,1]",0,2,0,1,2,"A[0,2]",1,"B[0,1]",0,-1,
20,"X[0,2|0,2]",0,2,0,2,2,"A[0,2]",2,"B[0,2]",0,-1,
21,"X[0,2|1,0]",0,2,1,0,2,"A[0,2]",3,"B[1,0]",0,-1,
22,"X[0,2|1,1]",0,2,1,1,2,"A[0,2]",4,"B[1,1]",0,-1,
23,"X[0,2|1,2]",0,2,1,2,2,"A[0,2]",5,"B[1,2]",0,-1,
30,"X[1,0|1,0]",1,0,1,0,3,"A[1,0]",3,"B[1,0]",0,-1,
31,"X[1,0|1,1]",1,0,1,1,3,"A[1,0]",4,"B[1,1]",0,-1,
32,"X[1,0|1,2]",1,0,1,2,3,"A[1,0]",5,"B[1,2]",0,-1,
33,"X[1,0|2,0]",1,0,2,0,3,"A[1,0]",6,"B[2,0]",0,-1,
34,"X[1,0|2,1]",1,0,2,1,3,"A[1,0]",7,"B[2,1]",0,-1,
35,"X[1,0|2,2]",1,0,2,2,3,"A[1,0]",8,"B[2,2]",0,-1,
36,"X[1,1|0,0]",1,1,0,0,4,"A[1,1]",0,"B[0,0]",0,-1,
37,"X[1,1|0,1]",1,1,0,1,4,"A[1,1]",1,"B[0,1]",0,-1,
38,"X[1,1|0,2]",1,1,0,2,4,"A[1,1]",2,"B[0,2]",0,-1,
42,"X[1,1|2,0]",1,1,2,0,4,"A[1,1]",6,"B[2,0]",0,-1,
43,"X[1,1|2,1]",1,1,2,1,4,"A[1,1]",7,"B[2,1]",0,-1,
44,"X[1,1|2,2]",1,1,2,2,4,"A[1,1]",8,"B[2,2]",0,-1,
45,"X[1,2|0,0]",1,2,0,0,5,"A[1,2]",0,"B[0,0]",0,-1,
46,"X[1,2|0,1]",1,2,0,1,5,"A[1,2]",1,"B[0,1]",0,-1,
47,"X[1,2|0,2]",1,2,0,2,5,"A[1,2]",2,"B[0,2]",0,-1,
48,"X[1,2|1,0]",1,2,1,0,5,"A[1,2]",3,"B[1,0]",0,-1,
49,"X[1,2|1,1]",1,2,1,1,5,"A[1,2]",4,"B[1,1]",0,-1,
50,"X[1,2|1,2]",1,2,1,2,5,"A[1,2]",5,"B[1,2]",0,-1,
57,"X[2,0|1,0]",2,0,1,0,6,"A[2,0]",3,"B[1,0]",0,-1,
58,"X[2,0|1,1]",2,0,1,1,6,"A[2,0]",4,"B[1,1]",0,-1,
59,"X[2,0|1,2]",2,0,1,2,6,"A[2,0]",5,"B[1,2]",0,-1,
60,"X[2,0|2,0]",2,0,2,0,6,"A[2,0]",6,"B[2,0]",0,-1,
61,"X[2,0|2,1]",2,0,2,1,6,"A[2,0]",7,"B[2,1]",0,-1,
62,"X[2,0|2,2]",2,0,2,2,6,"A[2,0]",8,"B[2,2]",0,-1,
63,"X[2,1|0,0]",2,1,0,0,7,"A[2,1]",0,"B[0,0]",0,-1,
64,"X[2,1|0,1]",2,1,0,1,7,"A[2,1]",1,"B[0,1]",0,-1,
65,"X[2,1|0,2]",2,1,0,2,7,"A[2,1]",2,"B[0,2]",0,-1,
69,"X[2,1|2,0]",2,1,2,0,7,"A[2,1]",6,"B[2,0]",0,-1,
70,"X[2,1|2,1]",2,1,2,1,7,"A[2,1]",7,"B[2,1]",0,-1,
71,"X[2,1|2,2]",2,1,2,2,7,"A[2,1]",8,"B[2,2]",0,-1,
72,"X[2,2|0,0]",2,2,0,0,8,"A[2,2]",0,"B[0,0]",0,-1,
73,"X[2,2|0,1]",2,2,0,1,8,"A[2,2]",1,"B[0,1]",0,-1,
74,"X[2,2|0,2]",2,2,0,2,8,"A[2,2]",2,"B[0,2]",0,-1,
75,"X[2,2|1,0]",2,2,1,0,8,"A[2,2]",3,"B[1,0]",0,-1,
76,"X[2,2|1,1]",2,2,1,1,8,"A[2,2]",4,"B[1,1]",0,-1,
77,"X[2,2|1,2]",2,2,1,2,8,"A[2,2]",5,"B[1,2]",0,-1,
