x_local_id,x_name,r,s,t,u,a_local_id,a_name,b_local_id,b_name,live,target_c_local_id,target_c_name
0,"X[0,0|0,0]",0,0,0,0,0,"A[0,0]",0,"B[0,0]",1,0,"C[0,0]"
1,"X[0,0|0,1]",0,0,0,1,0,"A[0,0]",1,"B[0,1]",1,1,"C[0,1]"
2,"X[0,0|0,2]",0,0,0,2,0,"A[0,0]",2,"B[0,2]",1,2,"C[0,2]"
12,"X[0,1|1,0]",0,1,1,0,1,"A[0,1]",3,"B[1,0]",1,0,"C[0,0]"
13,"X[0,1|1,1]",0,1,1,1,1,"A[0,1]",4,"B[1,1]",1,1,"C[0,1]"
14,"X[0,1|1,2]",0,1,1,2,1,"A[0,1]",5,"B[1,2]",1,2,"C[0,2]"
24,"X[0,2|2,0]",0,2,2,0,2,"A[0,2]",6,"B[2,0]",1,0,"C[0,0]"
25,"X[0,2|2,1]",0,2,2,1,2,"A[0,2]",7,"B[2,1]",1,1,"C[0,1]"
26,"X[0,2|2,2]",0,2,2,2,2,"A[0,2]",8,"B[2,2]",1,2,"C[0,2]"
27,"X[1,0|0,0]",1,0,0,0,3,"A[1,0]",0,"B[0,0]",1,3,"C[1,0]"
28,"X[1,0|0,1]",1,0,0,1,3,"A[1,0]",1,"B[0,1]",1,4,"C[1,1]"
29,"X[1,0|0,2]",1,0,0,2,3,"A[1,0]",2,"B[0,2]",1,5,"C[1,2]"
39,"X[1,1|1,0]",1,1,1,0,4,"A[1,1]",3,"B[1,0]",1,3,"C[1,0]"
40,"X[1,1|1,1]",1,1,1,1,4,"A[1,1]",4,"B[1,1]",1,4,"C[1,1]"
41,"X[1,1|1,2]",1,1,1,2,4,"A[1,1]",5,"B[1,2]",1,5,"C[1,2]"
51,"X[1,2|2,0]",1,2,2,0,5,"A[1,2]",6,"B[2,0]",1,3,"C[1,0]"
52,"X[1,2|2,1]",1,2,2,1,5,"A[1,2]",7,"B[2,1]",1,4,"C[1,1]"
53,"X[1,2|2,2]",1,2,2,2,5,"A[1,2]",8,"B[2,2]",1,5,"C[1,2]"
54,"X[2,0|0,0]",2,0,0,0,6,"A[2,0]",0,"B[0,0]",1,6,"C[2,0]"
55,"X[2,0|0,1]",2,0,0,1,6,"A[2,0]",1,"B[0,1]",1,7,"C[2,1]"
56,"X[2,0|0,2]",2,0,0,2,6,"A[2,0]",2,"B[0,2]",1,8,"C[2,2]"
66,"X[2,1|1,0]",2,1,1,0,7,"A[2,1]",3,"B[1,0]",1,6,"C[2,0]"
67,"X[2,1|1,1]",2,1,1,1,7,"A[2,1]",4,"B[1,1]",1,7,"C[2,1]"
68,"X[2,1|1,2]",2,1,1,2,7,"A[2,1]",5,"B[1,2]",1,8,"C[2,2]"
78,"X[2,2|2,0]",2,2,2,0,8,"A[2,2]",6,"B[2,0]",1,6,"C[2,0]"
79,"X[2,2|2,1]",2,2,2,1,8,"A[2,2]",7,"B[2,1]",1,7,"C[2,1]"
80,"X[2,2|2,2]",2,2,2,2,8,"A[2,2]",8,"B[2,2]",1,8,"C[2,2]"
