action_id,img_0,img_1,img_2,img_3,img_4,img_5,img_6,img_7,img_8
0,0,1,2,3,4,5,6,7,8
1,0,1,2,3,4,5,6,7,8
2,0,1,2,3,4,5,6,7,8
3,0,1,2,3,4,5,6,7,8
4,0,1,2,3,4,5,6,7,8
5,0,1,2,3,4,5,6,7,8
6,0,2,1,3,5,4,6,8,7
7,0,2,1,3,5,4,6,8,7
8,0,2,1,3,5,4,6,8,7
9,0,2,1,3,5,4,6,8,7
10,0,2,1,3,5,4,6,8,7
11,0,2,1,3,5,4,6,8,7
12,1,0,2,4,3,5,7,6,8
13,1,0,2,4,3,5,7,6,8
14,1,0,2,4,3,5,7,6,8
15,1,0,2,4,3,5,7,6,8
16,1,0,2,4,3,5,7,6,8
17,1,0,2,4,3,5,7,6,8
18,1,2,0,4,5,3,7,8,6
19,1,2,0,4,5,3,7,8,6
20,1,2,0,4,5,3,7,8,6
21,1,2,0,4,5,3,7,8,6
22,1,2,0,4,5,3,7,8,6
23,1,2,0,4,5,3,7,8,6
24,2,0,1,5,3,4,8,6,7
25,2,0,1,5,3,4,8,6,7
26,2,0,1,5,3,4,8,6,7
27,2,0,1,5,3,4,8,6,7
28,2,0,1,5,3,4,8,6,7
29,2,0,1,5,3,4,8,6,7
30,2,1,0,5,4,3,8,7,6
31,2,1,0,5,4,3,8,7,6
32,2,1,0,5,4,3,8,7,6
33,2,1,0,5,4,3,8,7,6
34,2,1,0,5,4,3,8,7,6
35,2,1,0,5,4,3,8,7,6
36,0,1,2,6,7,8,3,4,5
37,0,1,2,6,7,8,3,4,5
38,0,1,2,6,7,8,3,4,5
39,0,1,2,6,7,8,3,4,5
40,0,1,2,6,7,8,3,4,5
41,0,1,2,6,7,8,3,4,5
42,0,2,1,6,8,7,3,5,4
43,0,2,1,6,8,7,3,5,4
44,0,2,1,6,8,7,3,5,4
45,0,2,1,6,8,7,3,5,4
46,0,2,1,6,8,7,3,5,4
47,0,2,1,6,8,7,3,5,4
48,1,0,2,7,6,8,4,3,5
49,1,0,2,7,6,8,4,3,5
50,1,0,2,7,6,8,4,3,5
51,1,0,2,7,6,8,4,3,5
52,1,0,2,7,6,8,4,3,5
53,1,0,2,7,6,8,4,3,5
54,1,2,0,7,8,6,4,5,3
55,1,2,0,7,8,6,4,5,3
56,1,2,0,7,8,6,4,5,3
57,1,2,0,7,8,6,4,5,3
58,1,2,0,7,8,6,4,5,3
59,1,2,0,7,8,6,4,5,3
60,2,0,1,8,6,7,5,3,4
61,2,0,1,8,6,7,5,3,4
62,2,0,1,8,6,7,5,3,4
63,2,0,1,8,6,7,5,3,4
64,2,0,1,8,6,7,5,3,4
65,2,0,1,8,6,7,5,3,4
66,2,1,0,8,7,6,5,4,3
67,2,1,0,8,7,6,5,4,3
68,2,1,0,8,7,6,5,4,3
69,2,1,0,8,7,6,5,4,3
70,2,1,0,8,7,6,5,4,3
71,2,1,0,8,7,6,5,4,3
72,3,4,5,0,1,2,6,7,8
73,3,4,5,0,1,2,6,7,8
74,3,4,5,0,1,2,6,7,8
75,3,4,5,0,1,2,6,7,8
76,3,4,5,0,1,2,6,7,8
77,3,4,5,0,1,2,6,7,8
78,3,5,4,0,2,1,6,8,7
79,3,5,4,0,2,1,6,8,7
80,3,5,4,0,2,1,6,8,7
81,3,5,4,0,2,1,6,8,7
82,3,5,4,0,2,1,6,8,7
83,3,5,4,0,2,1,6,8,7
84,4,3,5,1,0,2,7,6,8
85,4,3,5,1,0,2,7,6,8
86,4,3,5,1,0,2,7,6,8
87,4,3,5,1,0,2,7,6,8
88,4,3,5,1,0,2,7,6,8
89,4,3,5,1,0,2,7,6,8
90,4,5,3,1,2,0,7,8,6
91,4,5,3,1,2,0,7,8,6
92,4,5,3,1,2,0,7,8,6
93,4,5,3,1,2,0,7,8,6
94,4,5,3,1,2,0,7,8,6
95,4,5,3,1,2,0,7,8,6
96,5,3,4,2,0,1,8,6,7
97,5,3,4,2,0,1,8,6,7
98,5,3,4,2,0,1,8,6,7
99,5,3,4,2,0,1,8,6,7
100,5,3,4,2,0,1,8,6,7
101,5,3,4,2,0,1,8,6,7
102,5,4,3,2,1,0,8,7,6
103,5,4,3,2,1,0,8,7,6
104,5,4,3,2,1,0,8,7,6
105,5,4,3,2,1,0,8,7,6
106,5,4,3,2,1,0,8,7,6
107,5,4,3,2,1,0,8,7,6
108,3,4,5,6,7,8,0,1,2
109,3,4,5,6,7,8,0,1,2
110,3,4,5,6,7,8,0,1,2
111,3,4,5,6,7,8,0,1,2
112,3,4,5,6,7,8,0,1,2
113,3,4,5,6,7,8,0,1,2
114,3,5,4,6,8,7,0,2,1
115,3,5,4,6,8,7,0,2,1
116,3,5,4,6,8,7,0,2,1
117,3,5,4,6,8,7,0,2,1
118,3,5,4,6,8,7,0,2,1
119,3,5,4,6,8,7,0,2,1
120,4,3,5,7,6,8,1,0,2
121,4,3,5,7,6,8,1,0,2
122,4,3,5,7,6,8,1,0,2
123,4,3,5,7,6,8,1,0,2
124,4,3,5,7,6,8,1,0,2
125,4,3,5,7,6,8,1,0,2
126,4,5,3,7,8,6,1,2,0
127,4,5,3,7,8,6,1,2,0
128,4,5,3,7,8,6,1,2,0
129,4,5,3,7,8,6,1,2,0
130,4,5,3,7,8,6,1,2,0
131,4,5,3,7,8,6,1,2,0
132,5,3,4,8,6,7,2,0,1
133,5,3,4,8,6,7,2,0,1
134,5,3,4,8,6,7,2,0,1
135,5,3,4,8,6,7,2,0,1
136,5,3,4,8,6,7,2,0,1
137,5,3,4,8,6,7,2,0,1
138,5,4,3,8,7,6,2,1,0
