action_id,pi_rA,pi_shared,pi_cB,inverse_action_id
0,"(0, 1, 2)","(0, 1, 2)","(0, 1, 2)",0
1,"(0, 1, 2)","(0, 1, 2)","(0, 2, 1)",1
2,"(0, 1, 2)","(0, 1, 2)","(1, 0, 2)",2
3,"(0, 1, 2)","(0, 1, 2)","(1, 2, 0)",4
4,"(0, 1, 2)","(0, 1, 2)","(2, 0, 1)",3
5,"(0, 1, 2)","(0, 1, 2)","(2, 1, 0)",5
6,"(0, 1, 2)","(0, 2, 1)","(0, 1, 2)",6
7,"(0, 1, 2)","(0, 2, 1)","(0, 2, 1)",7
8,"(0, 1, 2)","(0, 2, 1)","(1, 0, 2)",8
9,"(0, 1, 2)","(0, 2, 1)","(1, 2, 0)",10
10,"(0, 1, 2)","(0, 2, 1)","(2, 0, 1)",9
11,"(0, 1, 2)","(0, 2, 1)","(2, 1, 0)",11
12,"(0, 1, 2)","(1, 0, 2)","(0, 1, 2)",12
13,"(0, 1, 2)","(1, 0, 2)","(0, 2, 1)",13
14,"(0, 1, 2)","(1, 0, 2)","(1, 0, 2)",14
15,"(0, 1, 2)","(1, 0, 2)","(1, 2, 0)",16
16,"(0, 1, 2)","(1, 0, 2)","(2, 0, 1)",15
17,"(0, 1, 2)","(1, 0, 2)","(2, 1, 0)",17
18,"(0, 1, 2)","(1, 2, 0)","(0, 1, 2)",24
19,"(0, 1, 2)","(1, 2, 0)","(0, 2, 1)",25
20,"(0, 1, 2)","(1, 2, 0)","(1, 0, 2)",26
21,"(0, 1, 2)","(1, 2, 0)","(1, 2, 0)",28
22,"(0, 1, 2)","(1, 2, 0)","(2, 0, 1)",27
23,"(0, 1, 2)","(1, 2, 0)","(2, 1, 0)",29
24,"(0, 1, 2)","(2, 0, 1)","(0, 1, 2)",18
25,"(0, 1, 2)","(2, 0, 1)","(0, 2, 1)",19
26,"(0, 1, 2)","(2, 0, 1)","(1, 0, 2)",20
27,"(0, 1, 2)","(2, 0, 1)","(1, 2, 0)",22
28,"(0, 1, 2)","(2, 0, 1)","(2, 0, 1)",21
29,"(0, 1, 2)","(2, 0, 1)","(2, 1, 0)",23
30,"(0, 1, 2)","(2, 1, 0)","(0, 1, 2)",30
31,"(0, 1, 2)","(2, 1, 0)","(0, 2, 1)",31
32,"(0, 1, 2)","(2, 1, 0)","(1, 0, 2)",32
33,"(0, 1, 2)","(2, 1, 0)","(1, 2, 0)",34
34,"(0, 1, 2)","(2, 1, 0)","(2, 0, 1)",33
35,"(0, 1, 2)","(2, 1, 0)","(2, 1, 0)",35
36,"(0, 2, 1)","(0, 1, 2)","(0, 1, 2)",36
37,"(0, 2, 1)","(0, 1, 2)","(0, 2, 1)",37
38,"(0, 2, 1)","(0, 1, 2)","(1, 0, 2)",38
39,"(0, 2, 1)","(0, 1, 2)","(1, 2, 0)",40
40,"(0, 2, 1)","(0, 1, 2)","(2, 0, 1)",39
41,"(0, 2, 1)","(0, 1, 2)","(2, 1, 0)",41
42,"(0, 2, 1)","(0, 2, 1)","(0, 1, 2)",42
43,"(0, 2, 1)","(0, 2, 1)","(0, 2, 1)",43
44,"(0, 2, 1)","(0, 2, 1)","(1, 0, 2)",44
45,"(0, 2, 1)","(0, 2, 1)","(1, 2, 0)",46
46,"(0, 2, 1)","(0, 2, 1)","(2, 0, 1)",45
47,"(0, 2, 1)","(0, 2, 1)","(2, 1, 0)",47
48,"(0, 2, 1)","(1, 0, 2)","(0, 1, 2)",48
49,"(0, 2, 1)","(1, 0, 2)","(0, 2, 1)",49
50,"(0, 2, 1)","(1, 0, 2)","(1, 0, 2)",50
51,"(0, 2, 1)","(1, 0, 2)","(1, 2, 0)",52
52,"(0, 2, 1)","(1, 0, 2)","(2, 0, 1)",51
53,"(0, 2, 1)","(1, 0, 2)","(2, 1, 0)",53
54,"(0, 2, 1)","(1, 2, 0)","(0, 1, 2)",60
55,"(0, 2, 1)","(1, 2, 0)","(0, 2, 1)",61
56,"(0, 2, 1)","(1, 2, 0)","(1, 0, 2)",62
57,"(0, 2, 1)","(1, 2, 0)","(1, 2, 0)",64
58,"(0, 2, 1)","(1, 2, 0)","(2, 0, 1)",63
59,"(0, 2, 1)","(1, 2, 0)","(2, 1, 0)",65
60,"(0, 2, 1)","(2, 0, 1)","(0, 1, 2)",54
61,"(0, 2, 1)","(2, 0, 1)","(0, 2, 1)",55
62,"(0, 2, 1)","(2, 0, 1)","(1, 0, 2)",56
63,"(0, 2, 1)","(2, 0, 1)","(1, 2, 0)",58
64,"(0, 2, 1)","(2, 0, 1)","(2, 0, 1)",57
65,"(0, 2, 1)","(2, 0, 1)","(2, 1, 0)",59
66,"(0, 2, 1)","(2, 1, 0)","(0, 1, 2)",66
67,"(0, 2, 1)","(2, 1, 0)","(0, 2, 1)",67
68,"(0, 2, 1)","(2, 1, 0)","(1, 0, 2)",68
69,"(0, 2, 1)","(2, 1, 0)","(1, 2, 0)",70
70,"(0, 2, 1)","(2, 1, 0)","(2, 0, 1)",69
71,"(0, 2, 1)","(2, 1, 0)","(2, 1, 0)",71
72,"(1, 0, 2)","(0, 1, 2)","(0, 1, 2)",72
73,"(1, 0, 2)","(0, 1, 2)","(0, 2, 1)",73
74,"(1, 0, 2)","(0, 1, 2)","(1, 0, 2)",74
75,"(1, 0, 2)","(0, 1, 2)","(1, 2, 0)",76
76,"(1, 0, 2)","(0, 1, 2)","(2, 0, 1)",75
77,"(1, 0, 2)","(0, 1, 2)","(2, 1, 0)",77
78,"(1, 0, 2)","(0, 2, 1)","(0, 1, 2)",78
79,"(1, 0, 2)","(0, 2, 1)","(0, 2, 1)",79
80,"(1, 0, 2)","(0, 2, 1)","(1, 0, 2)",80
81,"(1, 0, 2)","(0, 2, 1)","(1, 2, 0)",82
82,"(1, 0, 2)","(0, 2, 1)","(2, 0, 1)",81
83,"(1, 0, 2)","(0, 2, 1)","(2, 1, 0)",83
84,"(1, 0, 2)","(1, 0, 2)","(0, 1, 2)",84
85,"(1, 0, 2)","(1, 0, 2)","(0, 2, 1)",85
86,"(1, 0, 2)","(1, 0, 2)","(1, 0, 2)",86
87,"(1, 0, 2)","(1, 0, 2)","(1, 2, 0)",88
88,"(1, 0, 2)","(1, 0, 2)","(2, 0, 1)",87
89,"(1, 0, 2)","(1, 0, 2)","(2, 1, 0)",89
90,"(1, 0, 2)","(1, 2, 0)","(0, 1, 2)",96
91,"(1, 0, 2)","(1, 2, 0)","(0, 2, 1)",97
92,"(1, 0, 2)","(1, 2, 0)","(1, 0, 2)",98
93,"(1, 0, 2)","(1, 2, 0)","(1, 2, 0)",100
94,"(1, 0, 2)","(1, 2, 0)","(2, 0, 1)",99
95,"(1, 0, 2)","(1, 2, 0)","(2, 1, 0)",101
96,"(1, 0, 2)","(2, 0, 1)","(0, 1, 2)",90
97,"(1, 0, 2)","(2, 0, 1)","(0, 2, 1)",91
98,"(1, 0, 2)","(2, 0, 1)","(1, 0, 2)",92
99,"(1, 0, 2)","(2, 0, 1)","(1, 2, 0)",94
100,"(1, 0, 2)","(2, 0, 1)","(2, 0, 1)",93
101,"(1, 0, 2)","(2, 0, 1)","(2, 1, 0)",95
102,"(1, 0, 2)","(2, 1, 0)","(0, 1, 2)",102
103,"(1, 0, 2)","(2, 1, 0)","(0, 2, 1)",103
104,"(1, 0, 2)","(2, 1, 0)","(1, 0, 2)",104
105,"(1, 0, 2)","(2, 1, 0)","(1, 2, 0)",106
106,"(1, 0, 2)","(2, 1, 0)","(2, 0, 1)",105
107,"(1, 0, 2)","(2, 1, 0)","(2, 1, 0)",107
108,"(1, 2, 0)","(0, 1, 2)","(0, 1, 2)",144
109,"(1, 2, 0)","(0, 1, 2)","(0, 2, 1)",145
110,"(1, 2, 0)","(0, 1, 2)","(1, 0, 2)",146
111,"(1, 2, 0)","(0, 1, 2)","(1, 2, 0)",148
112,"(1, 2, 0)","(0, 1, 2)","(2, 0, 1)",147
113,"(1, 2, 0)","(0, 1, 2)","(2, 1, 0)",149
114,"(1, 2, 0)","(0, 2, 1)","(0, 1, 2)",150
115,"(1, 2, 0)","(0, 2, 1)","(0, 2, 1)",151
116,"(1, 2, 0)","(0, 2, 1)","(1, 0, 2)",152
117,"(1, 2, 0)","(0, 2, 1)","(1, 2, 0)",154
118,"(1, 2, 0)","(0, 2, 1)","(2, 0, 1)",153
119,"(1, 2, 0)","(0, 2, 1)","(2, 1, 0)",155
120,"(1, 2, 0)","(1, 0, 2)","(0, 1, 2)",156
121,"(1, 2, 0)","(1, 0, 2)","(0, 2, 1)",157
122,"(1, 2, 0)","(1, 0, 2)","(1, 0, 2)",158
123,"(1, 2, 0)","(1, 0, 2)","(1, 2, 0)",160
124,"(1, 2, 0)","(1, 0, 2)","(2, 0, 1)",159
125,"(1, 2, 0)","(1, 0, 2)","(2, 1, 0)",161
