rank,feature_count,feature_names,distinct_signatures,remaining_collisions,collision_reduction
1,1,x_t,10,0,4
2,2,a_col_eq_x_s+x_t,10,0,4
3,2,a_r_a+x_t,10,0,4
4,2,a_row_eq_x_r+x_t,10,0,4
5,2,a_s_a+x_t,10,0,4
6,2,x_live+x_t,10,0,4
7,2,x_r+x_t,10,0,4
8,2,x_s+x_t,10,0,4
9,2,x_t+x_u,10,0,4
10,1,a_col_eq_x_s,8,2,2
11,1,a_r_a,8,2,2
12,1,a_row_eq_x_r,8,2,2
13,1,a_s_a,8,2,2
14,1,x_live,8,2,2
15,1,x_r,8,2,2
16,1,x_s,8,2,2
17,1,x_u,8,2,2
18,2,a_col_eq_x_s+a_r_a,8,2,2
19,2,a_col_eq_x_s+a_row_eq_x_r,8,2,2
20,2,a_col_eq_x_s+a_s_a,8,2,2
21,2,a_col_eq_x_s+x_live,8,2,2
22,2,a_col_eq_x_s+x_r,8,2,2
23,2,a_col_eq_x_s+x_s,8,2,2
24,2,a_col_eq_x_s+x_u,8,2,2
25,2,a_r_a+a_row_eq_x_r,8,2,2
26,2,a_r_a+a_s_a,8,2,2
27,2,a_r_a+x_live,8,2,2
28,2,a_r_a+x_r,8,2,2
29,2,a_r_a+x_s,8,2,2
30,2,a_r_a+x_u,8,2,2
31,2,a_row_eq_x_r+a_s_a,8,2,2
32,2,a_row_eq_x_r+x_live,8,2,2
33,2,a_row_eq_x_r+x_r,8,2,2
34,2,a_row_eq_x_r+x_s,8,2,2
35,2,a_row_eq_x_r+x_u,8,2,2
36,2,a_s_a+x_live,8,2,2
37,2,a_s_a+x_r,8,2,2
38,2,a_s_a+x_s,8,2,2
39,2,a_s_a+x_u,8,2,2
40,2,x_live+x_r,8,2,2
41,2,x_live+x_s,8,2,2
42,2,x_live+x_u,8,2,2
43,2,x_r+x_s,8,2,2
44,2,x_r+x_u,8,2,2
45,2,x_s+x_u,8,2,2
