rank,feature_count,feature_names,distinct_signatures,remaining_collisions,collision_reduction
1,1,x_s,10,0,4
2,1,x_t,10,0,4
3,2,b_col_eq_x_u+x_s,10,0,4
4,2,b_col_eq_x_u+x_t,10,0,4
5,2,b_row_eq_x_t+x_s,10,0,4
6,2,b_row_eq_x_t+x_t,10,0,4
7,2,b_t_b+x_s,10,0,4
8,2,b_t_b+x_t,10,0,4
9,2,b_u_b+x_s,10,0,4
10,2,b_u_b+x_t,10,0,4
11,2,x_live+x_s,10,0,4
12,2,x_live+x_t,10,0,4
13,2,x_r+x_s,10,0,4
14,2,x_r+x_t,10,0,4
15,2,x_s+x_t,10,0,4
16,2,x_s+x_u,10,0,4
17,2,x_t+x_u,10,0,4
18,1,b_col_eq_x_u,8,2,2
19,1,b_row_eq_x_t,8,2,2
20,1,b_t_b,8,2,2
21,1,b_u_b,8,2,2
22,1,x_live,8,2,2
23,1,x_r,8,2,2
24,1,x_u,8,2,2
25,2,b_col_eq_x_u+b_row_eq_x_t,8,2,2
26,2,b_col_eq_x_u+b_t_b,8,2,2
27,2,b_col_eq_x_u+b_u_b,8,2,2
28,2,b_col_eq_x_u+x_live,8,2,2
29,2,b_col_eq_x_u+x_r,8,2,2
30,2,b_col_eq_x_u+x_u,8,2,2
31,2,b_row_eq_x_t+b_t_b,8,2,2
32,2,b_row_eq_x_t+b_u_b,8,2,2
33,2,b_row_eq_x_t+x_live,8,2,2
34,2,b_row_eq_x_t+x_r,8,2,2
35,2,b_row_eq_x_t+x_u,8,2,2
36,2,b_t_b+b_u_b,8,2,2
37,2,b_t_b+x_live,8,2,2
38,2,b_t_b+x_r,8,2,2
39,2,b_t_b+x_u,8,2,2
40,2,b_u_b+x_live,8,2,2
41,2,b_u_b+x_r,8,2,2
42,2,b_u_b+x_u,8,2,2
43,2,x_live+x_r,8,2,2
44,2,x_live+x_u,8,2,2
45,2,x_r+x_u,8,2,2
