rank,feature_count,feature_names,distinct_signatures,remaining_collisions,collision_reduction
1,2,x2_s4+x2_t4,2744,0,2744
2,3,c1_equals_c2+x2_s4+x2_t4,2744,0,2744
3,3,c1_r1+x2_s4+x2_t4,2744,0,2744
4,3,c1_u1+x2_s4+x2_t4,2744,0,2744
5,3,c2_r2+x2_s4+x2_t4,2744,0,2744
6,3,c2_u2+x2_s4+x2_t4,2744,0,2744
7,3,r1_eq_r2+x2_s4+x2_t4,2744,0,2744
8,3,u1_eq_u2+x2_s4+x2_t4,2744,0,2744
9,3,x1_live+x2_s4+x2_t4,2744,0,2744
10,3,x1_r3+x2_s4+x2_t4,2744,0,2744
11,3,x1_s3+x2_s4+x2_t4,2744,0,2744
12,3,x1_t3+x2_s4+x2_t4,2744,0,2744
13,3,x1_u3+x2_s4+x2_t4,2744,0,2744
14,3,x2_live+x2_s4+x2_t4,2744,0,2744
15,3,x2_r4+x2_s4+x2_t4,2744,0,2744
16,3,x2_s4+x2_t4+x2_u4,2744,0,2744
17,1,x2_t4,2156,588,2156
18,2,c1_equals_c2+x2_t4,2156,588,2156
19,2,c1_r1+x2_t4,2156,588,2156
20,2,c1_u1+x2_t4,2156,588,2156
21,2,c2_r2+x2_t4,2156,588,2156
22,2,c2_u2+x2_t4,2156,588,2156
23,2,r1_eq_r2+x2_t4,2156,588,2156
24,2,u1_eq_u2+x2_t4,2156,588,2156
25,2,x1_live+x2_t4,2156,588,2156
26,2,x1_r3+x2_t4,2156,588,2156
27,2,x1_s3+x2_t4,2156,588,2156
28,2,x1_t3+x2_t4,2156,588,2156
29,2,x1_u3+x2_t4,2156,588,2156
30,2,x2_live+x2_t4,2156,588,2156
31,2,x2_r4+x2_t4,2156,588,2156
32,2,x2_t4+x2_u4,2156,588,2156
33,3,c1_equals_c2+c1_r1+x2_t4,2156,588,2156
34,3,c1_equals_c2+c1_u1+x2_t4,2156,588,2156
35,3,c1_equals_c2+c2_r2+x2_t4,2156,588,2156
36,3,c1_equals_c2+c2_u2+x2_t4,2156,588,2156
37,3,c1_equals_c2+r1_eq_r2+x2_t4,2156,588,2156
38,3,c1_equals_c2+u1_eq_u2+x2_t4,2156,588,2156
39,3,c1_equals_c2+x1_live+x2_t4,2156,588,2156
40,3,c1_equals_c2+x1_r3+x2_t4,2156,588,2156
41,3,c1_equals_c2+x1_s3+x2_t4,2156,588,2156
42,3,c1_equals_c2+x1_t3+x2_t4,2156,588,2156
43,3,c1_equals_c2+x1_u3+x2_t4,2156,588,2156
44,3,c1_equals_c2+x2_live+x2_t4,2156,588,2156
45,3,c1_equals_c2+x2_r4+x2_t4,2156,588,2156
46,3,c1_equals_c2+x2_t4+x2_u4,2156,588,2156
47,3,c1_r1+c1_u1+x2_t4,2156,588,2156
48,3,c1_r1+c2_r2+x2_t4,2156,588,2156
49,3,c1_r1+c2_u2+x2_t4,2156,588,2156
50,3,c1_r1+r1_eq_r2+x2_t4,2156,588,2156
