cx_orbit_id,xc_orbit_id,cc_orbit_id,c1_local_id,c1_name,x_local_id,x_name,c2_local_id,c2_name,cxc_readable
0,0,0,0,"C[0,0]",0,"X[0,0|0,0]",0,"C[0,0]","CXC[C[0,0],X[0,0|0,0],C[0,0]]"
0,0,0,0,"C[0,0]",12,"X[0,1|1,0]",0,"C[0,0]","CXC[C[0,0],X[0,1|1,0],C[0,0]]"
0,0,0,0,"C[0,0]",24,"X[0,2|2,0]",0,"C[0,0]","CXC[C[0,0],X[0,2|2,0],C[0,0]]"
0,0,0,1,"C[0,1]",1,"X[0,0|0,1]",1,"C[0,1]","CXC[C[0,1],X[0,0|0,1],C[0,1]]"
0,0,0,1,"C[0,1]",13,"X[0,1|1,1]",1,"C[0,1]","CXC[C[0,1],X[0,1|1,1],C[0,1]]"
0,0,0,1,"C[0,1]",25,"X[0,2|2,1]",1,"C[0,1]","CXC[C[0,1],X[0,2|2,1],C[0,1]]"
0,0,0,2,"C[0,2]",2,"X[0,0|0,2]",2,"C[0,2]","CXC[C[0,2],X[0,0|0,2],C[0,2]]"
0,0,0,2,"C[0,2]",14,"X[0,1|1,2]",2,"C[0,2]","CXC[C[0,2],X[0,1|1,2],C[0,2]]"
0,0,0,2,"C[0,2]",26,"X[0,2|2,2]",2,"C[0,2]","CXC[C[0,2],X[0,2|2,2],C[0,2]]"
0,0,0,3,"C[1,0]",27,"X[1,0|0,0]",3,"C[1,0]","CXC[C[1,0],X[1,0|0,0],C[1,0]]"
0,0,0,3,"C[1,0]",39,"X[1,1|1,0]",3,"C[1,0]","CXC[C[1,0],X[1,1|1,0],C[1,0]]"
0,0,0,3,"C[1,0]",51,"X[1,2|2,0]",3,"C[1,0]","CXC[C[1,0],X[1,2|2,0],C[1,0]]"
0,0,0,4,"C[1,1]",28,"X[1,0|0,1]",4,"C[1,1]","CXC[C[1,1],X[1,0|0,1],C[1,1]]"
0,0,0,4,"C[1,1]",40,"X[1,1|1,1]",4,"C[1,1]","CXC[C[1,1],X[1,1|1,1],C[1,1]]"
0,0,0,4,"C[1,1]",52,"X[1,2|2,1]",4,"C[1,1]","CXC[C[1,1],X[1,2|2,1],C[1,1]]"
0,0,0,5,"C[1,2]",29,"X[1,0|0,2]",5,"C[1,2]","CXC[C[1,2],X[1,0|0,2],C[1,2]]"
0,0,0,5,"C[1,2]",41,"X[1,1|1,2]",5,"C[1,2]","CXC[C[1,2],X[1,1|1,2],C[1,2]]"
0,0,0,5,"C[1,2]",53,"X[1,2|2,2]",5,"C[1,2]","CXC[C[1,2],X[1,2|2,2],C[1,2]]"
0,0,0,6,"C[2,0]",54,"X[2,0|0,0]",6,"C[2,0]","CXC[C[2,0],X[2,0|0,0],C[2,0]]"
0,0,0,6,"C[2,0]",66,"X[2,1|1,0]",6,"C[2,0]","CXC[C[2,0],X[2,1|1,0],C[2,0]]"
0,0,0,6,"C[2,0]",78,"X[2,2|2,0]",6,"C[2,0]","CXC[C[2,0],X[2,2|2,0],C[2,0]]"
0,0,0,7,"C[2,1]",55,"X[2,0|0,1]",7,"C[2,1]","CXC[C[2,1],X[2,0|0,1],C[2,1]]"
0,0,0,7,"C[2,1]",67,"X[2,1|1,1]",7,"C[2,1]","CXC[C[2,1],X[2,1|1,1],C[2,1]]"
