projection,target_schema,target_orbit_id,cxxc_orbit_count,cxxc_config_count
CXC_left,CXC,0,20,2187
CXC_left,CXC,1,30,4374
CXC_left,CXC,2,30,4374
CXC_left,CXC,3,45,8748
CXC_left,CXC,4,30,4374
CXC_left,CXC,5,30,4374
CXC_left,CXC,6,30,4374
CXC_left,CXC,7,45,8748
CXC_left,CXC,8,45,8748
CXC_left,CXC,9,45,8748
CXC_left,CXC,10,36,4374
CXC_left,CXC,11,54,8748
CXC_left,CXC,12,54,8748
CXC_left,CXC,13,81,17496
CXC_left,CXC,14,54,8748
CXC_left,CXC,15,54,8748
CXC_left,CXC,16,54,8748
CXC_left,CXC,17,81,17496
CXC_left,CXC,18,81,17496
CXC_left,CXC,19,81,17496
CXC_left,CXC,20,30,4374
CXC_left,CXC,21,45,8748
CXC_left,CXC,22,30,4374
CXC_left,CXC,23,45,8748
CXC_left,CXC,24,30,4374
CXC_left,CXC,25,45,8748
CXC_left,CXC,26,45,8748
CXC_left,CXC,27,45,8748
CXC_left,CXC,28,45,8748
CXC_left,CXC,29,45,8748
CXC_left,CXC,30,45,8748
CXC_left,CXC,31,45,8748
CXC_left,CXC,32,45,8748
CXC_left,CXC,33,45,8748
CXC_left,CXC,34,45,8748
CXC_left,CXC,35,54,8748
CXC_left,CXC,36,81,17496
CXC_left,CXC,37,54,8748
CXC_left,CXC,38,81,17496
CXC_left,CXC,39,54,8748
CXC_left,CXC,40,81,17496
CXC_left,CXC,41,81,17496
CXC_left,CXC,42,81,17496
CXC_left,CXC,43,81,17496
CXC_left,CXC,44,81,17496
CXC_left,CXC,45,81,17496
CXC_left,CXC,46,81,17496
CXC_left,CXC,47,81,17496
CXC_left,CXC,48,81,17496
CXC_left,CXC,49,81,17496
CXC_right,CXC,0,20,2187
CXC_right,CXC,1,30,4374
CXC_right,CXC,2,30,4374
CXC_right,CXC,3,45,8748
CXC_right,CXC,4,30,4374
CXC_right,CXC,5,30,4374
CXC_right,CXC,6,30,4374
CXC_right,CXC,7,45,8748
CXC_right,CXC,8,45,8748
CXC_right,CXC,9,45,8748
CXC_right,CXC,10,36,4374
CXC_right,CXC,11,54,8748
CXC_right,CXC,12,54,8748
CXC_right,CXC,13,81,17496
CXC_right,CXC,14,54,8748
CXC_right,CXC,15,54,8748
CXC_right,CXC,16,54,8748
CXC_right,CXC,17,81,17496
CXC_right,CXC,18,81,17496
CXC_right,CXC,19,81,17496
CXC_right,CXC,20,30,4374
CXC_right,CXC,21,45,8748
CXC_right,CXC,22,30,4374
CXC_right,CXC,23,45,8748
CXC_right,CXC,24,30,4374
CXC_right,CXC,25,45,8748
CXC_right,CXC,26,45,8748
CXC_right,CXC,27,45,8748
CXC_right,CXC,28,45,8748
CXC_right,CXC,29,45,8748
CXC_right,CXC,30,45,8748
CXC_right,CXC,31,45,8748
CXC_right,CXC,32,45,8748
CXC_right,CXC,33,45,8748
CXC_right,CXC,34,45,8748
CXC_right,CXC,35,54,8748
CXC_right,CXC,36,81,17496
CXC_right,CXC,37,54,8748
CXC_right,CXC,38,81,17496
CXC_right,CXC,39,54,8748
CXC_right,CXC,40,81,17496
CXC_right,CXC,41,81,17496
CXC_right,CXC,42,81,17496
CXC_right,CXC,43,81,17496
CXC_right,CXC,44,81,17496
CXC_right,CXC,45,81,17496
CXC_right,CXC,46,81,17496
CXC_right,CXC,47,81,17496
CXC_right,CXC,48,81,17496
CXC_right,CXC,49,81,17496
XX,XX,0,25,2187
XX,XX,1,45,4374
XX,XX,2,25,4374
XX,XX,3,45,8748
XX,XX,4,25,4374
XX,XX,5,45,8748
XX,XX,6,25,4374
XX,XX,7,45,8748
XX,XX,8,25,4374
XX,XX,9,45,8748
XX,XX,10,45,4374
XX,XX,11,81,8748
XX,XX,12,45,8748
XX,XX,13,81,17496
XX,XX,14,45,8748
XX,XX,15,81,17496
XX,XX,16,45,8748
XX,XX,17,81,17496
XX,XX,18,45,8748
XX,XX,19,81,17496
XX,XX,20,25,4374
XX,XX,21,45,8748
XX,XX,22,25,4374
XX,XX,23,45,8748
XX,XX,24,25,4374
XX,XX,25,45,8748
XX,XX,26,25,4374
XX,XX,27,45,8748
XX,XX,28,25,4374
XX,XX,29,45,8748
XX,XX,30,25,4374
XX,XX,31,45,8748
XX,XX,32,25,4374
XX,XX,33,45,8748
XX,XX,34,25,4374
XX,XX,35,45,8748
XX,XX,36,25,4374
XX,XX,37,45,8748
XX,XX,38,45,8748
XX,XX,39,81,17496
XX,XX,40,45,8748
XX,XX,41,81,17496
XX,XX,42,45,8748
XX,XX,43,81,17496
XX,XX,44,45,8748
XX,XX,45,81,17496
XX,XX,46,45,8748
XX,XX,47,81,17496
XX,XX,48,45,8748
XX,XX,49,81,17496
XX,XX,50,45,8748
XX,XX,51,81,17496
XX,XX,52,45,8748
XX,XX,53,81,17496
XX,XX,54,45,8748
XX,XX,55,81,17496
CX_left,CX,0,125,19683
CX_left,CX,1,225,39366
CX_left,CX,2,225,39366
CX_left,CX,3,405,78732
CX_left,CX,4,225,39366
CX_left,CX,5,405,78732
CX_left,CX,6,405,78732
CX_left,CX,7,729,157464
CX_right,CX,0,125,19683
CX_right,CX,1,225,39366
CX_right,CX,2,225,39366
CX_right,CX,3,405,78732
CX_right,CX,4,225,39366
CX_right,CX,5,405,78732
CX_right,CX,6,405,78732
CX_right,CX,7,729,157464
XC_left,XC,0,125,19683
XC_left,XC,1,225,39366
XC_left,XC,2,225,39366
XC_left,XC,3,405,78732
XC_left,XC,4,225,39366
XC_left,XC,5,405,78732
XC_left,XC,6,405,78732
XC_left,XC,7,729,157464
XC_right,XC,0,125,19683
XC_right,XC,1,225,39366
XC_right,XC,2,225,39366
XC_right,XC,3,405,78732
XC_right,XC,4,225,39366
XC_right,XC,5,405,78732
XC_right,XC,6,405,78732
XC_right,XC,7,729,157464
