rank,feature_count,feature_names,distinct_signatures,remaining_collisions,collision_reduction
1,2,x2_s4+x2_t4,2744,0,2744
2,3,c1_equals_c2+x2_s4+x2_t4,2744,0,2744
3,3,c1_r1+x2_s4+x2_t4,2744,0,2744
4,3,c1_u1+x2_s4+x2_t4,2744,0,2744
5,3,c2_r3+x2_s4+x2_t4,2744,0,2744
6,3,c2_u3+x2_s4+x2_t4,2744,0,2744
7,3,r1_eq_r3+x2_s4+x2_t4,2744,0,2744
8,3,u1_eq_u3+x2_s4+x2_t4,2744,0,2744
9,3,x1_equals_x2+x2_s4+x2_t4,2744,0,2744
10,3,x1_live+x2_s4+x2_t4,2744,0,2744
11,3,x1_r2+x2_s4+x2_t4,2744,0,2744
12,3,x1_s2+x2_s4+x2_t4,2744,0,2744
13,3,x1_t2+x2_s4+x2_t4,2744,0,2744
14,3,x1_u2+x2_s4+x2_t4,2744,0,2744
15,3,x2_live+x2_s4+x2_t4,2744,0,2744
16,3,x2_r4+x2_s4+x2_t4,2744,0,2744
17,3,x2_s4+x2_t4+x2_u4,2744,0,2744
18,2,x1_equals_x2+x2_t4,2181,563,2181
19,3,c1_equals_c2+x1_equals_x2+x2_t4,2181,563,2181
20,3,c1_r1+x1_equals_x2+x2_t4,2181,563,2181
21,3,c1_u1+x1_equals_x2+x2_t4,2181,563,2181
22,3,c2_r3+x1_equals_x2+x2_t4,2181,563,2181
23,3,c2_u3+x1_equals_x2+x2_t4,2181,563,2181
24,3,r1_eq_r3+x1_equals_x2+x2_t4,2181,563,2181
25,3,u1_eq_u3+x1_equals_x2+x2_t4,2181,563,2181
26,3,x1_equals_x2+x1_live+x2_t4,2181,563,2181
27,3,x1_equals_x2+x1_r2+x2_t4,2181,563,2181
28,3,x1_equals_x2+x1_s2+x2_t4,2181,563,2181
29,3,x1_equals_x2+x1_t2+x2_t4,2181,563,2181
30,3,x1_equals_x2+x1_u2+x2_t4,2181,563,2181
31,3,x1_equals_x2+x2_live+x2_t4,2181,563,2181
32,3,x1_equals_x2+x2_r4+x2_t4,2181,563,2181
33,3,x1_equals_x2+x2_t4+x2_u4,2181,563,2181
34,1,x2_t4,2156,588,2156
35,2,c1_equals_c2+x2_t4,2156,588,2156
36,2,c1_r1+x2_t4,2156,588,2156
37,2,c1_u1+x2_t4,2156,588,2156
38,2,c2_r3+x2_t4,2156,588,2156
39,2,c2_u3+x2_t4,2156,588,2156
40,2,r1_eq_r3+x2_t4,2156,588,2156
41,2,u1_eq_u3+x2_t4,2156,588,2156
42,2,x1_live+x2_t4,2156,588,2156
43,2,x1_r2+x2_t4,2156,588,2156
44,2,x1_s2+x2_t4,2156,588,2156
45,2,x1_t2+x2_t4,2156,588,2156
46,2,x1_u2+x2_t4,2156,588,2156
47,2,x2_live+x2_t4,2156,588,2156
48,2,x2_r4+x2_t4,2156,588,2156
49,2,x2_t4+x2_u4,2156,588,2156
50,3,c1_equals_c2+c1_r1+x2_t4,2156,588,2156
