orbit_id,rep_config_id,orbit_size,stabilizer_order,stabilizer_type,live_x1,live_x2,both_live,c1_eq_c2,x1_eq_x2,c1,x1,x2,c2,r1,s1,t1,u1,r2,s2,t2,u2,rep_readable,refinement_features
0,0,27,8,(Z2)^3,True,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]","(0, 0)"
1,1,54,4,Z2xZ2,True,True,True,False,True,0,0,0,1,0,0,0,0,0,0,0,0,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,1]]","(0, 0)"
2,3,54,4,Z2xZ2,True,True,True,False,True,0,0,0,3,0,0,0,0,0,0,0,0,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[1,0]]","(0, 0)"
4,9,54,4,Z2xZ2,True,True,True,True,False,0,0,1,0,0,0,0,0,0,0,0,1,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[0,0]]","(0, 0)"
5,10,54,4,Z2xZ2,True,True,True,False,False,0,0,1,1,0,0,0,0,0,0,0,1,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[0,1]]","(0, 0)"
6,11,54,4,Z2xZ2,True,True,True,False,False,0,0,1,2,0,0,0,0,0,0,0,1,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[0,2]]","(0, 0)"
10,27,54,4,Z2xZ2,True,False,False,True,False,0,0,3,0,0,0,0,0,0,0,1,0,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,0],C[0,0]]","(0, 1)"
20,81,54,4,Z2xZ2,True,False,False,True,False,0,0,9,0,0,0,0,0,0,1,0,0,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,0],C[0,0]]","(1, 0)"
30,108,54,4,Z2xZ2,True,True,True,True,False,0,0,12,0,0,0,0,0,0,1,1,0,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]","(1, 1)"
40,135,54,4,Z2xZ2,True,False,False,True,False,0,0,15,0,0,0,0,0,0,1,2,0,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,0],C[0,0]]","(1, 2)"
50,243,54,4,Z2xZ2,True,True,True,True,False,0,0,27,0,0,0,0,0,1,0,0,0,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,0],C[0,0]]","(0, 0)"
52,246,54,4,Z2xZ2,True,True,True,False,False,0,0,27,3,0,0,0,0,1,0,0,0,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,0],C[1,0]]","(0, 0)"
54,249,54,4,Z2xZ2,True,True,True,False,False,0,0,27,6,0,0,0,0,1,0,0,0,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,0],C[2,0]]","(0, 0)"
125,729,54,4,Z2xZ2,True,True,True,True,False,0,1,0,0,0,0,0,1,0,0,0,0,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,0],C[0,0]]","(0, 0)"
126,730,54,4,Z2xZ2,True,True,True,False,False,0,1,0,1,0,0,0,1,0,0,0,0,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,0],C[0,1]]","(0, 0)"
127,731,54,4,Z2xZ2,True,True,True,False,False,0,1,0,2,0,0,0,1,0,0,0,0,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,0],C[0,2]]","(0, 0)"
