schema,orbit_id,rep_config_id,rep_readable,orbit_size,stabilizer_size
AXXC,0,0,"AXXC[A[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]",27,8
AXXC,1,1,"AXXC[A[0,0],X[0,0|0,0],X[0,0|0,0],C[0,1]]",54,4
AXXC,2,3,"AXXC[A[0,0],X[0,0|0,0],X[0,0|0,0],C[1,0]]",54,4
AXXC,3,4,"AXXC[A[0,0],X[0,0|0,0],X[0,0|0,0],C[1,1]]",108,2
AXXC,4,9,"AXXC[A[0,0],X[0,0|0,0],X[0,0|0,1],C[0,0]]",54,4
AXXC,5,10,"AXXC[A[0,0],X[0,0|0,0],X[0,0|0,1],C[0,1]]",54,4
AXXC,6,11,"AXXC[A[0,0],X[0,0|0,0],X[0,0|0,1],C[0,2]]",54,4
AXXC,7,12,"AXXC[A[0,0],X[0,0|0,0],X[0,0|0,1],C[1,0]]",108,2
AXXC,8,13,"AXXC[A[0,0],X[0,0|0,0],X[0,0|0,1],C[1,1]]",108,2
AXXC,9,14,"AXXC[A[0,0],X[0,0|0,0],X[0,0|0,1],C[1,2]]",108,2
AXXC,10,27,"AXXC[A[0,0],X[0,0|0,0],X[0,0|1,0],C[0,0]]",54,4
AXXC,11,28,"AXXC[A[0,0],X[0,0|0,0],X[0,0|1,0],C[0,1]]",108,2
AXXC,12,30,"AXXC[A[0,0],X[0,0|0,0],X[0,0|1,0],C[1,0]]",108,2
AXXC,13,31,"AXXC[A[0,0],X[0,0|0,0],X[0,0|1,0],C[1,1]]",216,1
AXXC,14,36,"AXXC[A[0,0],X[0,0|0,0],X[0,0|1,1],C[0,0]]",108,2
AXXC,15,37,"AXXC[A[0,0],X[0,0|0,0],X[0,0|1,1],C[0,1]]",108,2
AXXC,16,38,"AXXC[A[0,0],X[0,0|0,0],X[0,0|1,1],C[0,2]]",108,2
AXXC,17,39,"AXXC[A[0,0],X[0,0|0,0],X[0,0|1,1],C[1,0]]",216,1
AXXC,18,40,"AXXC[A[0,0],X[0,0|0,0],X[0,0|1,1],C[1,1]]",216,1
AXXC,19,41,"AXXC[A[0,0],X[0,0|0,0],X[0,0|1,1],C[1,2]]",216,1
AXXC,20,81,"AXXC[A[0,0],X[0,0|0,0],X[0,1|0,0],C[0,0]]",54,4
AXXC,21,82,"AXXC[A[0,0],X[0,0|0,0],X[0,1|0,0],C[0,1]]",108,2
AXXC,22,84,"AXXC[A[0,0],X[0,0|0,0],X[0,1|0,0],C[1,0]]",108,2
AXXC,23,85,"AXXC[A[0,0],X[0,0|0,0],X[0,1|0,0],C[1,1]]",216,1
AXXC,24,90,"AXXC[A[0,0],X[0,0|0,0],X[0,1|0,1],C[0,0]]",108,2
AXXC,25,91,"AXXC[A[0,0],X[0,0|0,0],X[0,1|0,1],C[0,1]]",108,2
AXXC,26,92,"AXXC[A[0,0],X[0,0|0,0],X[0,1|0,1],C[0,2]]",108,2
AXXC,27,93,"AXXC[A[0,0],X[0,0|0,0],X[0,1|0,1],C[1,0]]",216,1
AXXC,28,94,"AXXC[A[0,0],X[0,0|0,0],X[0,1|0,1],C[1,1]]",216,1
AXXC,29,95,"AXXC[A[0,0],X[0,0|0,0],X[0,1|0,1],C[1,2]]",216,1
AXXC,30,108,"AXXC[A[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]",54,4
AXXC,31,109,"AXXC[A[0,0],X[0,0|0,0],X[0,1|1,0],C[0,1]]",108,2
AXXC,32,111,"AXXC[A[0,0],X[0,0|0,0],X[0,1|1,0],C[1,0]]",108,2
AXXC,33,112,"AXXC[A[0,0],X[0,0|0,0],X[0,1|1,0],C[1,1]]",216,1
AXXC,34,117,"AXXC[A[0,0],X[0,0|0,0],X[0,1|1,1],C[0,0]]",108,2
AXXC,35,118,"AXXC[A[0,0],X[0,0|0,0],X[0,1|1,1],C[0,1]]",108,2
AXXC,36,119,"AXXC[A[0,0],X[0,0|0,0],X[0,1|1,1],C[0,2]]",108,2
AXXC,37,120,"AXXC[A[0,0],X[0,0|0,0],X[0,1|1,1],C[1,0]]",216,1
AXXC,38,121,"AXXC[A[0,0],X[0,0|0,0],X[0,1|1,1],C[1,1]]",216,1
AXXC,39,122,"AXXC[A[0,0],X[0,0|0,0],X[0,1|1,1],C[1,2]]",216,1
AXXC,40,135,"AXXC[A[0,0],X[0,0|0,0],X[0,1|2,0],C[0,0]]",54,4
AXXC,41,136,"AXXC[A[0,0],X[0,0|0,0],X[0,1|2,0],C[0,1]]",108,2
AXXC,42,138,"AXXC[A[0,0],X[0,0|0,0],X[0,1|2,0],C[1,0]]",108,2
AXXC,43,139,"AXXC[A[0,0],X[0,0|0,0],X[0,1|2,0],C[1,1]]",216,1
AXXC,44,144,"AXXC[A[0,0],X[0,0|0,0],X[0,1|2,1],C[0,0]]",108,2
AXXC,45,145,"AXXC[A[0,0],X[0,0|0,0],X[0,1|2,1],C[0,1]]",108,2
AXXC,46,146,"AXXC[A[0,0],X[0,0|0,0],X[0,1|2,1],C[0,2]]",108,2
AXXC,47,147,"AXXC[A[0,0],X[0,0|0,0],X[0,1|2,1],C[1,0]]",216,1
AXXC,48,148,"AXXC[A[0,0],X[0,0|0,0],X[0,1|2,1],C[1,1]]",216,1
AXXC,49,149,"AXXC[A[0,0],X[0,0|0,0],X[0,1|2,1],C[1,2]]",216,1
AXXC,50,243,"AXXC[A[0,0],X[0,0|0,0],X[1,0|0,0],C[0,0]]",54,4
AXXC,51,244,"AXXC[A[0,0],X[0,0|0,0],X[1,0|0,0],C[0,1]]",108,2
AXXC,52,246,"AXXC[A[0,0],X[0,0|0,0],X[1,0|0,0],C[1,0]]",54,4
AXXC,53,247,"AXXC[A[0,0],X[0,0|0,0],X[1,0|0,0],C[1,1]]",108,2
AXXC,54,249,"AXXC[A[0,0],X[0,0|0,0],X[1,0|0,0],C[2,0]]",54,4
AXXC,55,250,"AXXC[A[0,0],X[0,0|0,0],X[1,0|0,0],C[2,1]]",108,2
AXXC,56,252,"AXXC[A[0,0],X[0,0|0,0],X[1,0|0,1],C[0,0]]",108,2
AXXC,57,253,"AXXC[A[0,0],X[0,0|0,0],X[1,0|0,1],C[0,1]]",108,2
AXXC,58,254,"AXXC[A[0,0],X[0,0|0,0],X[1,0|0,1],C[0,2]]",108,2
AXXC,59,255,"AXXC[A[0,0],X[0,0|0,0],X[1,0|0,1],C[1,0]]",108,2
AXXC,60,256,"AXXC[A[0,0],X[0,0|0,0],X[1,0|0,1],C[1,1]]",108,2
AXXC,61,257,"AXXC[A[0,0],X[0,0|0,0],X[1,0|0,1],C[1,2]]",108,2
AXXC,62,258,"AXXC[A[0,0],X[0,0|0,0],X[1,0|0,1],C[2,0]]",108,2
AXXC,63,259,"AXXC[A[0,0],X[0,0|0,0],X[1,0|0,1],C[2,1]]",108,2
AXXC,64,260,"AXXC[A[0,0],X[0,0|0,0],X[1,0|0,1],C[2,2]]",108,2
AXXC,65,270,"AXXC[A[0,0],X[0,0|0,0],X[1,0|1,0],C[0,0]]",108,2
AXXC,66,271,"AXXC[A[0,0],X[0,0|0,0],X[1,0|1,0],C[0,1]]",216,1
AXXC,67,273,"AXXC[A[0,0],X[0,0|0,0],X[1,0|1,0],C[1,0]]",108,2
AXXC,68,274,"AXXC[A[0,0],X[0,0|0,0],X[1,0|1,0],C[1,1]]",216,1
AXXC,69,276,"AXXC[A[0,0],X[0,0|0,0],X[1,0|1,0],C[2,0]]",108,2
AXXC,70,277,"AXXC[A[0,0],X[0,0|0,0],X[1,0|1,0],C[2,1]]",216,1
AXXC,71,279,"AXXC[A[0,0],X[0,0|0,0],X[1,0|1,1],C[0,0]]",216,1
AXXC,72,280,"AXXC[A[0,0],X[0,0|0,0],X[1,0|1,1],C[0,1]]",216,1
AXXC,73,281,"AXXC[A[0,0],X[0,0|0,0],X[1,0|1,1],C[0,2]]",216,1
AXXC,74,282,"AXXC[A[0,0],X[0,0|0,0],X[1,0|1,1],C[1,0]]",216,1
AXXC,75,283,"AXXC[A[0,0],X[0,0|0,0],X[1,0|1,1],C[1,1]]",216,1
AXXC,76,284,"AXXC[A[0,0],X[0,0|0,0],X[1,0|1,1],C[1,2]]",216,1
AXXC,77,285,"AXXC[A[0,0],X[0,0|0,0],X[1,0|1,1],C[2,0]]",216,1
AXXC,78,286,"AXXC[A[0,0],X[0,0|0,0],X[1,0|1,1],C[2,1]]",216,1
AXXC,79,287,"AXXC[A[0,0],X[0,0|0,0],X[1,0|1,1],C[2,2]]",216,1
AXXC,80,324,"AXXC[A[0,0],X[0,0|0,0],X[1,1|0,0],C[0,0]]",108,2
AXXC,81,325,"AXXC[A[0,0],X[0,0|0,0],X[1,1|0,0],C[0,1]]",216,1
AXXC,82,327,"AXXC[A[0,0],X[0,0|0,0],X[1,1|0,0],C[1,0]]",108,2
AXXC,83,328,"AXXC[A[0,0],X[0,0|0,0],X[1,1|0,0],C[1,1]]",216,1
AXXC,84,330,"AXXC[A[0,0],X[0,0|0,0],X[1,1|0,0],C[2,0]]",108,2
AXXC,85,331,"AXXC[A[0,0],X[0,0|0,0],X[1,1|0,0],C[2,1]]",216,1
AXXC,86,333,"AXXC[A[0,0],X[0,0|0,0],X[1,1|0,1],C[0,0]]",216,1
AXXC,87,334,"AXXC[A[0,0],X[0,0|0,0],X[1,1|0,1],C[0,1]]",216,1
AXXC,88,335,"AXXC[A[0,0],X[0,0|0,0],X[1,1|0,1],C[0,2]]",216,1
AXXC,89,336,"AXXC[A[0,0],X[0,0|0,0],X[1,1|0,1],C[1,0]]",216,1
AXXC,90,337,"AXXC[A[0,0],X[0,0|0,0],X[1,1|0,1],C[1,1]]",216,1
AXXC,91,338,"AXXC[A[0,0],X[0,0|0,0],X[1,1|0,1],C[1,2]]",216,1
AXXC,92,339,"AXXC[A[0,0],X[0,0|0,0],X[1,1|0,1],C[2,0]]",216,1
AXXC,93,340,"AXXC[A[0,0],X[0,0|0,0],X[1,1|0,1],C[2,1]]",216,1
AXXC,94,341,"AXXC[A[0,0],X[0,0|0,0],X[1,1|0,1],C[2,2]]",216,1
AXXC,95,351,"AXXC[A[0,0],X[0,0|0,0],X[1,1|1,0],C[0,0]]",108,2
AXXC,96,352,"AXXC[A[0,0],X[0,0|0,0],X[1,1|1,0],C[0,1]]",216,1
AXXC,97,354,"AXXC[A[0,0],X[0,0|0,0],X[1,1|1,0],C[1,0]]",108,2
