schema,orbit_id,rep_config_id,rep_readable,orbit_size,stabilizer_size
CXC,0,0,"CXC[C[0,0],X[0,0|0,0],C[0,0]]",27,8
CXC,1,1,"CXC[C[0,0],X[0,0|0,0],C[0,1]]",54,4
CXC,2,3,"CXC[C[0,0],X[0,0|0,0],C[1,0]]",54,4
CXC,3,4,"CXC[C[0,0],X[0,0|0,0],C[1,1]]",108,2
CXC,4,9,"CXC[C[0,0],X[0,0|0,1],C[0,0]]",54,4
CXC,5,10,"CXC[C[0,0],X[0,0|0,1],C[0,1]]",54,4
CXC,6,11,"CXC[C[0,0],X[0,0|0,1],C[0,2]]",54,4
CXC,7,12,"CXC[C[0,0],X[0,0|0,1],C[1,0]]",108,2
CXC,8,13,"CXC[C[0,0],X[0,0|0,1],C[1,1]]",108,2
CXC,9,14,"CXC[C[0,0],X[0,0|0,1],C[1,2]]",108,2
CXC,10,27,"CXC[C[0,0],X[0,0|1,0],C[0,0]]",54,4
CXC,11,28,"CXC[C[0,0],X[0,0|1,0],C[0,1]]",108,2
CXC,12,30,"CXC[C[0,0],X[0,0|1,0],C[1,0]]",108,2
CXC,13,31,"CXC[C[0,0],X[0,0|1,0],C[1,1]]",216,1
CXC,14,36,"CXC[C[0,0],X[0,0|1,1],C[0,0]]",108,2
CXC,15,37,"CXC[C[0,0],X[0,0|1,1],C[0,1]]",108,2
CXC,16,38,"CXC[C[0,0],X[0,0|1,1],C[0,2]]",108,2
CXC,17,39,"CXC[C[0,0],X[0,0|1,1],C[1,0]]",216,1
CXC,18,40,"CXC[C[0,0],X[0,0|1,1],C[1,1]]",216,1
CXC,19,41,"CXC[C[0,0],X[0,0|1,1],C[1,2]]",216,1
CXC,20,243,"CXC[C[0,0],X[1,0|0,0],C[0,0]]",54,4
CXC,21,244,"CXC[C[0,0],X[1,0|0,0],C[0,1]]",108,2
CXC,22,246,"CXC[C[0,0],X[1,0|0,0],C[1,0]]",54,4
CXC,23,247,"CXC[C[0,0],X[1,0|0,0],C[1,1]]",108,2
CXC,24,249,"CXC[C[0,0],X[1,0|0,0],C[2,0]]",54,4
CXC,25,250,"CXC[C[0,0],X[1,0|0,0],C[2,1]]",108,2
CXC,26,252,"CXC[C[0,0],X[1,0|0,1],C[0,0]]",108,2
CXC,27,253,"CXC[C[0,0],X[1,0|0,1],C[0,1]]",108,2
CXC,28,254,"CXC[C[0,0],X[1,0|0,1],C[0,2]]",108,2
CXC,29,255,"CXC[C[0,0],X[1,0|0,1],C[1,0]]",108,2
CXC,30,256,"CXC[C[0,0],X[1,0|0,1],C[1,1]]",108,2
CXC,31,257,"CXC[C[0,0],X[1,0|0,1],C[1,2]]",108,2
CXC,32,258,"CXC[C[0,0],X[1,0|0,1],C[2,0]]",108,2
CXC,33,259,"CXC[C[0,0],X[1,0|0,1],C[2,1]]",108,2
CXC,34,260,"CXC[C[0,0],X[1,0|0,1],C[2,2]]",108,2
CXC,35,270,"CXC[C[0,0],X[1,0|1,0],C[0,0]]",108,2
CXC,36,271,"CXC[C[0,0],X[1,0|1,0],C[0,1]]",216,1
CXC,37,273,"CXC[C[0,0],X[1,0|1,0],C[1,0]]",108,2
CXC,38,274,"CXC[C[0,0],X[1,0|1,0],C[1,1]]",216,1
CXC,39,276,"CXC[C[0,0],X[1,0|1,0],C[2,0]]",108,2
CXC,40,277,"CXC[C[0,0],X[1,0|1,0],C[2,1]]",216,1
CXC,41,279,"CXC[C[0,0],X[1,0|1,1],C[0,0]]",216,1
CXC,42,280,"CXC[C[0,0],X[1,0|1,1],C[0,1]]",216,1
CXC,43,281,"CXC[C[0,0],X[1,0|1,1],C[0,2]]",216,1
CXC,44,282,"CXC[C[0,0],X[1,0|1,1],C[1,0]]",216,1
CXC,45,283,"CXC[C[0,0],X[1,0|1,1],C[1,1]]",216,1
CXC,46,284,"CXC[C[0,0],X[1,0|1,1],C[1,2]]",216,1
CXC,47,285,"CXC[C[0,0],X[1,0|1,1],C[2,0]]",216,1
CXC,48,286,"CXC[C[0,0],X[1,0|1,1],C[2,1]]",216,1
CXC,49,287,"CXC[C[0,0],X[1,0|1,1],C[2,2]]",216,1
