schema,orbit_id,rep_config_id,rep_readable,orbit_size,stabilizer_size
CXXC,0,0,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]",27,8
CXXC,1,1,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,1]]",54,4
CXXC,2,3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[1,0]]",54,4
CXXC,3,4,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[1,1]]",108,2
CXXC,4,9,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[0,0]]",54,4
CXXC,5,10,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[0,1]]",54,4
CXXC,6,11,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[0,2]]",54,4
CXXC,7,12,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[1,0]]",108,2
CXXC,8,13,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[1,1]]",108,2
CXXC,9,14,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[1,2]]",108,2
CXXC,10,27,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,0],C[0,0]]",54,4
CXXC,11,28,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,0],C[0,1]]",108,2
CXXC,12,30,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,0],C[1,0]]",108,2
CXXC,13,31,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,0],C[1,1]]",216,1
CXXC,14,36,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,1],C[0,0]]",108,2
CXXC,15,37,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,1],C[0,1]]",108,2
CXXC,16,38,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,1],C[0,2]]",108,2
CXXC,17,39,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,1],C[1,0]]",216,1
CXXC,18,40,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,1],C[1,1]]",216,1
CXXC,19,41,"CXXC[C[0,0],X[0,0|0,0],X[0,0|1,1],C[1,2]]",216,1
CXXC,20,81,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,0],C[0,0]]",54,4
CXXC,21,82,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,0],C[0,1]]",108,2
CXXC,22,84,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,0],C[1,0]]",108,2
CXXC,23,85,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,0],C[1,1]]",216,1
CXXC,24,90,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,1],C[0,0]]",108,2
CXXC,25,91,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,1],C[0,1]]",108,2
CXXC,26,92,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,1],C[0,2]]",108,2
CXXC,27,93,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,1],C[1,0]]",216,1
CXXC,28,94,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,1],C[1,1]]",216,1
CXXC,29,95,"CXXC[C[0,0],X[0,0|0,0],X[0,1|0,1],C[1,2]]",216,1
CXXC,30,108,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]",54,4
CXXC,31,109,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,1]]",108,2
CXXC,32,111,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[1,0]]",108,2
CXXC,33,112,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[1,1]]",216,1
CXXC,34,117,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,1],C[0,0]]",108,2
CXXC,35,118,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,1],C[0,1]]",108,2
CXXC,36,119,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,1],C[0,2]]",108,2
CXXC,37,120,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,1],C[1,0]]",216,1
CXXC,38,121,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,1],C[1,1]]",216,1
CXXC,39,122,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,1],C[1,2]]",216,1
CXXC,40,135,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,0],C[0,0]]",54,4
CXXC,41,136,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,0],C[0,1]]",108,2
CXXC,42,138,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,0],C[1,0]]",108,2
CXXC,43,139,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,0],C[1,1]]",216,1
CXXC,44,144,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,1],C[0,0]]",108,2
CXXC,45,145,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,1],C[0,1]]",108,2
CXXC,46,146,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,1],C[0,2]]",108,2
CXXC,47,147,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,1],C[1,0]]",216,1
CXXC,48,148,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,1],C[1,1]]",216,1
CXXC,49,149,"CXXC[C[0,0],X[0,0|0,0],X[0,1|2,1],C[1,2]]",216,1
CXXC,50,243,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,0],C[0,0]]",54,4
CXXC,51,244,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,0],C[0,1]]",108,2
CXXC,52,246,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,0],C[1,0]]",54,4
CXXC,53,247,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,0],C[1,1]]",108,2
CXXC,54,249,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,0],C[2,0]]",54,4
CXXC,55,250,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,0],C[2,1]]",108,2
CXXC,56,252,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,1],C[0,0]]",108,2
CXXC,57,253,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,1],C[0,1]]",108,2
CXXC,58,254,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,1],C[0,2]]",108,2
CXXC,59,255,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,1],C[1,0]]",108,2
CXXC,60,256,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,1],C[1,1]]",108,2
CXXC,61,257,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,1],C[1,2]]",108,2
CXXC,62,258,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,1],C[2,0]]",108,2
CXXC,63,259,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,1],C[2,1]]",108,2
CXXC,64,260,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,1],C[2,2]]",108,2
CXXC,65,270,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,0],C[0,0]]",108,2
CXXC,66,271,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,0],C[0,1]]",216,1
CXXC,67,273,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,0],C[1,0]]",108,2
CXXC,68,274,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,0],C[1,1]]",216,1
CXXC,69,276,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,0],C[2,0]]",108,2
CXXC,70,277,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,0],C[2,1]]",216,1
CXXC,71,279,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,1],C[0,0]]",216,1
CXXC,72,280,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,1],C[0,1]]",216,1
CXXC,73,281,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,1],C[0,2]]",216,1
CXXC,74,282,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,1],C[1,0]]",216,1
CXXC,75,283,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,1],C[1,1]]",216,1
CXXC,76,284,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,1],C[1,2]]",216,1
CXXC,77,285,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,1],C[2,0]]",216,1
CXXC,78,286,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,1],C[2,1]]",216,1
CXXC,79,287,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,1],C[2,2]]",216,1
CXXC,80,324,"CXXC[C[0,0],X[0,0|0,0],X[1,1|0,0],C[0,0]]",108,2
CXXC,81,325,"CXXC[C[0,0],X[0,0|0,0],X[1,1|0,0],C[0,1]]",216,1
CXXC,82,327,"CXXC[C[0,0],X[0,0|0,0],X[1,1|0,0],C[1,0]]",108,2
CXXC,83,328,"CXXC[C[0,0],X[0,0|0,0],X[1,1|0,0],C[1,1]]",216,1
CXXC,84,330,"CXXC[C[0,0],X[0,0|0,0],X[1,1|0,0],C[2,0]]",108,2
CXXC,85,331,"CXXC[C[0,0],X[0,0|0,0],X[1,1|0,0],C[2,1]]",216,1
CXXC,86,333,"CXXC[C[0,0],X[0,0|0,0],X[1,1|0,1],C[0,0]]",216,1
CXXC,87,334,"CXXC[C[0,0],X[0,0|0,0],X[1,1|0,1],C[0,1]]",216,1
CXXC,88,335,"CXXC[C[0,0],X[0,0|0,0],X[1,1|0,1],C[0,2]]",216,1
CXXC,89,336,"CXXC[C[0,0],X[0,0|0,0],X[1,1|0,1],C[1,0]]",216,1
CXXC,90,337,"CXXC[C[0,0],X[0,0|0,0],X[1,1|0,1],C[1,1]]",216,1
CXXC,91,338,"CXXC[C[0,0],X[0,0|0,0],X[1,1|0,1],C[1,2]]",216,1
CXXC,92,339,"CXXC[C[0,0],X[0,0|0,0],X[1,1|0,1],C[2,0]]",216,1
CXXC,93,340,"CXXC[C[0,0],X[0,0|0,0],X[1,1|0,1],C[2,1]]",216,1
CXXC,94,341,"CXXC[C[0,0],X[0,0|0,0],X[1,1|0,1],C[2,2]]",216,1
CXXC,95,351,"CXXC[C[0,0],X[0,0|0,0],X[1,1|1,0],C[0,0]]",108,2
CXXC,96,352,"CXXC[C[0,0],X[0,0|0,0],X[1,1|1,0],C[0,1]]",216,1
CXXC,97,354,"CXXC[C[0,0],X[0,0|0,0],X[1,1|1,0],C[1,0]]",108,2
CXXC,98,355,"CXXC[C[0,0],X[0,0|0,0],X[1,1|1,0],C[1,1]]",216,1
CXXC,99,357,"CXXC[C[0,0],X[0,0|0,0],X[1,1|1,0],C[2,0]]",108,2
CXXC,100,358,"CXXC[C[0,0],X[0,0|0,0],X[1,1|1,0],C[2,1]]",216,1
CXXC,101,360,"CXXC[C[0,0],X[0,0|0,0],X[1,1|1,1],C[0,0]]",216,1
CXXC,102,361,"CXXC[C[0,0],X[0,0|0,0],X[1,1|1,1],C[0,1]]",216,1
CXXC,103,362,"CXXC[C[0,0],X[0,0|0,0],X[1,1|1,1],C[0,2]]",216,1
CXXC,104,363,"CXXC[C[0,0],X[0,0|0,0],X[1,1|1,1],C[1,0]]",216,1
CXXC,105,364,"CXXC[C[0,0],X[0,0|0,0],X[1,1|1,1],C[1,1]]",216,1
CXXC,106,365,"CXXC[C[0,0],X[0,0|0,0],X[1,1|1,1],C[1,2]]",216,1
CXXC,107,366,"CXXC[C[0,0],X[0,0|0,0],X[1,1|1,1],C[2,0]]",216,1
CXXC,108,367,"CXXC[C[0,0],X[0,0|0,0],X[1,1|1,1],C[2,1]]",216,1
CXXC,109,368,"CXXC[C[0,0],X[0,0|0,0],X[1,1|1,1],C[2,2]]",216,1
CXXC,110,378,"CXXC[C[0,0],X[0,0|0,0],X[1,1|2,0],C[0,0]]",108,2
CXXC,111,379,"CXXC[C[0,0],X[0,0|0,0],X[1,1|2,0],C[0,1]]",216,1
CXXC,112,381,"CXXC[C[0,0],X[0,0|0,0],X[1,1|2,0],C[1,0]]",108,2
CXXC,113,382,"CXXC[C[0,0],X[0,0|0,0],X[1,1|2,0],C[1,1]]",216,1
CXXC,114,384,"CXXC[C[0,0],X[0,0|0,0],X[1,1|2,0],C[2,0]]",108,2
CXXC,115,385,"CXXC[C[0,0],X[0,0|0,0],X[1,1|2,0],C[2,1]]",216,1
CXXC,116,387,"CXXC[C[0,0],X[0,0|0,0],X[1,1|2,1],C[0,0]]",216,1
CXXC,117,388,"CXXC[C[0,0],X[0,0|0,0],X[1,1|2,1],C[0,1]]",216,1
CXXC,118,389,"CXXC[C[0,0],X[0,0|0,0],X[1,1|2,1],C[0,2]]",216,1
CXXC,119,390,"CXXC[C[0,0],X[0,0|0,0],X[1,1|2,1],C[1,0]]",216,1
CXXC,120,391,"CXXC[C[0,0],X[0,0|0,0],X[1,1|2,1],C[1,1]]",216,1
CXXC,121,392,"CXXC[C[0,0],X[0,0|0,0],X[1,1|2,1],C[1,2]]",216,1
CXXC,122,393,"CXXC[C[0,0],X[0,0|0,0],X[1,1|2,1],C[2,0]]",216,1
CXXC,123,394,"CXXC[C[0,0],X[0,0|0,0],X[1,1|2,1],C[2,1]]",216,1
CXXC,124,395,"CXXC[C[0,0],X[0,0|0,0],X[1,1|2,1],C[2,2]]",216,1
CXXC,125,729,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,0],C[0,0]]",54,4
CXXC,126,730,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,0],C[0,1]]",54,4
CXXC,127,731,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,0],C[0,2]]",54,4
CXXC,128,732,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,0],C[1,0]]",108,2
CXXC,129,733,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,0],C[1,1]]",108,2
CXXC,130,734,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,0],C[1,2]]",108,2
CXXC,131,738,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,1],C[0,0]]",54,4
CXXC,132,739,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,1],C[0,1]]",54,4
CXXC,133,740,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,1],C[0,2]]",54,4
CXXC,134,741,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,1],C[1,0]]",108,2
CXXC,135,742,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,1],C[1,1]]",108,2
CXXC,136,743,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,1],C[1,2]]",108,2
CXXC,137,747,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,2],C[0,0]]",54,4
CXXC,138,748,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,2],C[0,1]]",54,4
CXXC,139,749,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,2],C[0,2]]",54,4
CXXC,140,750,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,2],C[1,0]]",108,2
CXXC,141,751,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,2],C[1,1]]",108,2
CXXC,142,752,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,2],C[1,2]]",108,2
CXXC,143,756,"CXXC[C[0,0],X[0,0|0,1],X[0,0|1,0],C[0,0]]",108,2
CXXC,144,757,"CXXC[C[0,0],X[0,0|0,1],X[0,0|1,0],C[0,1]]",108,2
CXXC,145,758,"CXXC[C[0,0],X[0,0|0,1],X[0,0|1,0],C[0,2]]",108,2
CXXC,146,759,"CXXC[C[0,0],X[0,0|0,1],X[0,0|1,0],C[1,0]]",216,1
CXXC,147,760,"CXXC[C[0,0],X[0,0|0,1],X[0,0|1,0],C[1,1]]",216,1
CXXC,148,761,"CXXC[C[0,0],X[0,0|0,1],X[0,0|1,0],C[1,2]]",216,1
CXXC,149,765,"CXXC[C[0,0],X[0,0|0,1],X[0,0|1,1],C[0,0]]",108,2
CXXC,150,766,"CXXC[C[0,0],X[0,0|0,1],X[0,0|1,1],C[0,1]]",108,2
CXXC,151,767,"CXXC[C[0,0],X[0,0|0,1],X[0,0|1,1],C[0,2]]",108,2
CXXC,152,768,"CXXC[C[0,0],X[0,0|0,1],X[0,0|1,1],C[1,0]]",216,1
CXXC,153,769,"CXXC[C[0,0],X[0,0|0,1],X[0,0|1,1],C[1,1]]",216,1
CXXC,154,770,"CXXC[C[0,0],X[0,0|0,1],X[0,0|1,1],C[1,2]]",216,1
CXXC,155,774,"CXXC[C[0,0],X[0,0|0,1],X[0,0|1,2],C[0,0]]",108,2
CXXC,156,775,"CXXC[C[0,0],X[0,0|0,1],X[0,0|1,2],C[0,1]]",108,2
CXXC,157,776,"CXXC[C[0,0],X[0,0|0,1],X[0,0|1,2],C[0,2]]",108,2
CXXC,158,777,"CXXC[C[0,0],X[0,0|0,1],X[0,0|1,2],C[1,0]]",216,1
CXXC,159,778,"CXXC[C[0,0],X[0,0|0,1],X[0,0|1,2],C[1,1]]",216,1
CXXC,160,779,"CXXC[C[0,0],X[0,0|0,1],X[0,0|1,2],C[1,2]]",216,1
CXXC,161,810,"CXXC[C[0,0],X[0,0|0,1],X[0,1|0,0],C[0,0]]",108,2
CXXC,162,811,"CXXC[C[0,0],X[0,0|0,1],X[0,1|0,0],C[0,1]]",108,2
CXXC,163,812,"CXXC[C[0,0],X[0,0|0,1],X[0,1|0,0],C[0,2]]",108,2
CXXC,164,813,"CXXC[C[0,0],X[0,0|0,1],X[0,1|0,0],C[1,0]]",216,1
CXXC,165,814,"CXXC[C[0,0],X[0,0|0,1],X[0,1|0,0],C[1,1]]",216,1
CXXC,166,815,"CXXC[C[0,0],X[0,0|0,1],X[0,1|0,0],C[1,2]]",216,1
CXXC,167,819,"CXXC[C[0,0],X[0,0|0,1],X[0,1|0,1],C[0,0]]",108,2
CXXC,168,820,"CXXC[C[0,0],X[0,0|0,1],X[0,1|0,1],C[0,1]]",108,2
CXXC,169,821,"CXXC[C[0,0],X[0,0|0,1],X[0,1|0,1],C[0,2]]",108,2
CXXC,170,822,"CXXC[C[0,0],X[0,0|0,1],X[0,1|0,1],C[1,0]]",216,1
CXXC,171,823,"CXXC[C[0,0],X[0,0|0,1],X[0,1|0,1],C[1,1]]",216,1
CXXC,172,824,"CXXC[C[0,0],X[0,0|0,1],X[0,1|0,1],C[1,2]]",216,1
CXXC,173,828,"CXXC[C[0,0],X[0,0|0,1],X[0,1|0,2],C[0,0]]",108,2
CXXC,174,829,"CXXC[C[0,0],X[0,0|0,1],X[0,1|0,2],C[0,1]]",108,2
