schema,orbit_id,rep_config_id,rep_readable,orbit_size,stabilizer_size
XX,0,0,"XX[X[0,0|0,0],X[0,0|0,0]]",27,8
XX,1,1,"XX[X[0,0|0,0],X[0,0|0,1]]",54,4
XX,2,3,"XX[X[0,0|0,0],X[0,0|1,0]]",54,4
XX,3,4,"XX[X[0,0|0,0],X[0,0|1,1]]",108,2
XX,4,9,"XX[X[0,0|0,0],X[0,1|0,0]]",54,4
XX,5,10,"XX[X[0,0|0,0],X[0,1|0,1]]",108,2
XX,6,12,"XX[X[0,0|0,0],X[0,1|1,0]]",54,4
XX,7,13,"XX[X[0,0|0,0],X[0,1|1,1]]",108,2
XX,8,15,"XX[X[0,0|0,0],X[0,1|2,0]]",54,4
XX,9,16,"XX[X[0,0|0,0],X[0,1|2,1]]",108,2
XX,10,27,"XX[X[0,0|0,0],X[1,0|0,0]]",54,4
XX,11,28,"XX[X[0,0|0,0],X[1,0|0,1]]",108,2
XX,12,30,"XX[X[0,0|0,0],X[1,0|1,0]]",108,2
XX,13,31,"XX[X[0,0|0,0],X[1,0|1,1]]",216,1
XX,14,36,"XX[X[0,0|0,0],X[1,1|0,0]]",108,2
XX,15,37,"XX[X[0,0|0,0],X[1,1|0,1]]",216,1
XX,16,39,"XX[X[0,0|0,0],X[1,1|1,0]]",108,2
XX,17,40,"XX[X[0,0|0,0],X[1,1|1,1]]",216,1
XX,18,42,"XX[X[0,0|0,0],X[1,1|2,0]]",108,2
XX,19,43,"XX[X[0,0|0,0],X[1,1|2,1]]",216,1
XX,20,243,"XX[X[0,0|1,0],X[0,0|0,0]]",54,4
XX,21,244,"XX[X[0,0|1,0],X[0,0|0,1]]",108,2
XX,22,246,"XX[X[0,0|1,0],X[0,0|1,0]]",54,4
XX,23,247,"XX[X[0,0|1,0],X[0,0|1,1]]",108,2
XX,24,249,"XX[X[0,0|1,0],X[0,0|2,0]]",54,4
XX,25,250,"XX[X[0,0|1,0],X[0,0|2,1]]",108,2
XX,26,252,"XX[X[0,0|1,0],X[0,1|0,0]]",54,4
XX,27,253,"XX[X[0,0|1,0],X[0,1|0,1]]",108,2
XX,28,255,"XX[X[0,0|1,0],X[0,1|1,0]]",54,4
XX,29,256,"XX[X[0,0|1,0],X[0,1|1,1]]",108,2
XX,30,258,"XX[X[0,0|1,0],X[0,1|2,0]]",54,4
XX,31,259,"XX[X[0,0|1,0],X[0,1|2,1]]",108,2
XX,32,261,"XX[X[0,0|1,0],X[0,2|0,0]]",54,4
XX,33,262,"XX[X[0,0|1,0],X[0,2|0,1]]",108,2
XX,34,264,"XX[X[0,0|1,0],X[0,2|1,0]]",54,4
XX,35,265,"XX[X[0,0|1,0],X[0,2|1,1]]",108,2
XX,36,267,"XX[X[0,0|1,0],X[0,2|2,0]]",54,4
XX,37,268,"XX[X[0,0|1,0],X[0,2|2,1]]",108,2
XX,38,270,"XX[X[0,0|1,0],X[1,0|0,0]]",108,2
XX,39,271,"XX[X[0,0|1,0],X[1,0|0,1]]",216,1
XX,40,273,"XX[X[0,0|1,0],X[1,0|1,0]]",108,2
XX,41,274,"XX[X[0,0|1,0],X[1,0|1,1]]",216,1
XX,42,276,"XX[X[0,0|1,0],X[1,0|2,0]]",108,2
XX,43,277,"XX[X[0,0|1,0],X[1,0|2,1]]",216,1
XX,44,279,"XX[X[0,0|1,0],X[1,1|0,0]]",108,2
XX,45,280,"XX[X[0,0|1,0],X[1,1|0,1]]",216,1
XX,46,282,"XX[X[0,0|1,0],X[1,1|1,0]]",108,2
XX,47,283,"XX[X[0,0|1,0],X[1,1|1,1]]",216,1
XX,48,285,"XX[X[0,0|1,0],X[1,1|2,0]]",108,2
XX,49,286,"XX[X[0,0|1,0],X[1,1|2,1]]",216,1
XX,50,288,"XX[X[0,0|1,0],X[1,2|0,0]]",108,2
XX,51,289,"XX[X[0,0|1,0],X[1,2|0,1]]",216,1
XX,52,291,"XX[X[0,0|1,0],X[1,2|1,0]]",108,2
XX,53,292,"XX[X[0,0|1,0],X[1,2|1,1]]",216,1
XX,54,294,"XX[X[0,0|1,0],X[1,2|2,0]]",108,2
XX,55,295,"XX[X[0,0|1,0],X[1,2|2,1]]",216,1
