raw_tuple_id,raw_tuple,in_CX,cx_config_id,cx_readable,in_XC,xc_config_id,xc_readable,in_AX,ax_config_id,ax_readable,in_BX,bx_config_id,bx_readable
0,"(0,0,0)",1,0,"CX[C[0,0],X[0,0|0,0]]",1,0,"XC[X[0,0|0,0],C[0,0]]",1,0,"AX[A[0,0],X[0,0|0,0]]",1,0,"BX[B[0,0],X[0,0|0,0]]"
1,"(0,0,1)",1,1,"CX[C[0,0],X[0,0|0,1]]",1,1,"XC[X[0,0|0,0],C[0,1]]",1,1,"AX[A[0,0],X[0,0|0,1]]",1,1,"BX[B[0,0],X[0,0|0,1]]"
2,"(0,0,2)",1,2,"CX[C[0,0],X[0,0|0,2]]",1,2,"XC[X[0,0|0,0],C[0,2]]",1,2,"AX[A[0,0],X[0,0|0,2]]",1,2,"BX[B[0,0],X[0,0|0,2]]"
3,"(0,0,3)",1,3,"CX[C[0,0],X[0,0|1,0]]",1,3,"XC[X[0,0|0,0],C[1,0]]",1,3,"AX[A[0,0],X[0,0|1,0]]",1,3,"BX[B[0,0],X[0,0|1,0]]"
4,"(0,0,4)",1,4,"CX[C[0,0],X[0,0|1,1]]",1,4,"XC[X[0,0|0,0],C[1,1]]",1,4,"AX[A[0,0],X[0,0|1,1]]",1,4,"BX[B[0,0],X[0,0|1,1]]"
5,"(0,0,5)",1,5,"CX[C[0,0],X[0,0|1,2]]",1,5,"XC[X[0,0|0,0],C[1,2]]",1,5,"AX[A[0,0],X[0,0|1,2]]",1,5,"BX[B[0,0],X[0,0|1,2]]"
6,"(0,0,6)",1,6,"CX[C[0,0],X[0,0|2,0]]",1,6,"XC[X[0,0|0,0],C[2,0]]",1,6,"AX[A[0,0],X[0,0|2,0]]",1,6,"BX[B[0,0],X[0,0|2,0]]"
7,"(0,0,7)",1,7,"CX[C[0,0],X[0,0|2,1]]",1,7,"XC[X[0,0|0,0],C[2,1]]",1,7,"AX[A[0,0],X[0,0|2,1]]",1,7,"BX[B[0,0],X[0,0|2,1]]"
8,"(0,0,8)",1,8,"CX[C[0,0],X[0,0|2,2]]",1,8,"XC[X[0,0|0,0],C[2,2]]",1,8,"AX[A[0,0],X[0,0|2,2]]",1,8,"BX[B[0,0],X[0,0|2,2]]"
9,"(0,1,0)",1,9,"CX[C[0,0],X[0,1|0,0]]",1,9,"XC[X[0,0|0,1],C[0,0]]",1,9,"AX[A[0,0],X[0,1|0,0]]",1,9,"BX[B[0,0],X[0,1|0,0]]"
10,"(0,1,1)",1,10,"CX[C[0,0],X[0,1|0,1]]",1,10,"XC[X[0,0|0,1],C[0,1]]",1,10,"AX[A[0,0],X[0,1|0,1]]",1,10,"BX[B[0,0],X[0,1|0,1]]"
11,"(0,1,2)",1,11,"CX[C[0,0],X[0,1|0,2]]",1,11,"XC[X[0,0|0,1],C[0,2]]",1,11,"AX[A[0,0],X[0,1|0,2]]",1,11,"BX[B[0,0],X[0,1|0,2]]"
12,"(0,1,3)",1,12,"CX[C[0,0],X[0,1|1,0]]",1,12,"XC[X[0,0|0,1],C[1,0]]",1,12,"AX[A[0,0],X[0,1|1,0]]",1,12,"BX[B[0,0],X[0,1|1,0]]"
