cx_orbit,xc_orbit,s_shared,t_shared,cc_orbit,witness_count,stratum_total,fraction,is_uniform_within_stratum
1,1,0,0,0,18,36,18/36,True
1,1,0,0,1,18,36,18/36,True
1,1,1,1,0,18,36,18/36,True
1,1,1,1,1,18,36,18/36,True
1,1,2,2,0,18,36,18/36,True
1,1,2,2,1,18,36,18/36,True
1,3,0,0,2,36,72,36/72,True
1,3,0,0,3,36,72,36/72,True
1,3,1,1,2,36,72,36/72,True
1,3,1,1,3,36,72,36/72,True
1,3,2,2,2,36,72,36/72,True
1,3,2,2,3,36,72,36/72,True
3,5,0,1,0,18,36,18/36,True
3,5,0,1,1,18,36,18/36,True
3,5,0,2,0,18,36,18/36,True
3,5,0,2,1,18,36,18/36,True
3,5,1,0,0,18,36,18/36,True
3,5,1,0,1,18,36,18/36,True
3,5,1,2,0,18,36,18/36,True
3,5,1,2,1,18,36,18/36,True
3,5,2,0,0,18,36,18/36,True
3,5,2,0,1,18,36,18/36,True
3,5,2,1,0,18,36,18/36,True
3,5,2,1,1,18,36,18/36,True
3,7,0,1,2,36,72,36/72,True
3,7,0,1,3,36,72,36/72,True
3,7,0,2,2,36,72,36/72,True
3,7,0,2,3,36,72,36/72,True
3,7,1,0,2,36,72,36/72,True
3,7,1,0,3,36,72,36/72,True
3,7,1,2,2,36,72,36/72,True
3,7,1,2,3,36,72,36/72,True
3,7,2,0,2,36,72,36/72,True
3,7,2,0,3,36,72,36/72,True
3,7,2,1,2,36,72,36/72,True
3,7,2,1,3,36,72,36/72,True
4,2,0,0,0,18,36,18/36,True
4,2,0,0,2,18,36,18/36,True
4,2,1,1,0,18,36,18/36,True
4,2,1,1,2,18,36,18/36,True
4,2,2,2,0,18,36,18/36,True
4,2,2,2,2,18,36,18/36,True
4,3,0,0,1,36,72,36/72,True
4,3,0,0,3,36,72,36/72,True
4,3,1,1,1,36,72,36/72,True
4,3,1,1,3,36,72,36/72,True
4,3,2,2,1,36,72,36/72,True
4,3,2,2,3,36,72,36/72,True
5,1,0,0,2,36,72,36/72,True
5,1,0,0,3,36,72,36/72,True
5,1,1,1,2,36,72,36/72,True
5,1,1,1,3,36,72,36/72,True
5,1,2,2,2,36,72,36/72,True
5,1,2,2,3,36,72,36/72,True
5,2,0,0,1,36,72,36/72,True
5,2,0,0,3,36,72,36/72,True
5,2,1,1,1,36,72,36/72,True
5,2,1,1,3,36,72,36/72,True
5,2,2,2,1,36,72,36/72,True
5,2,2,2,3,36,72,36/72,True
5,3,0,0,0,36,144,36/144,True
5,3,0,0,1,36,144,36/144,True
5,3,0,0,2,36,144,36/144,True
5,3,0,0,3,36,144,36/144,True
5,3,1,1,0,36,144,36/144,True
5,3,1,1,1,36,144,36/144,True
5,3,1,1,2,36,144,36/144,True
5,3,1,1,3,36,144,36/144,True
5,3,2,2,0,36,144,36/144,True
5,3,2,2,1,36,144,36/144,True
5,3,2,2,2,36,144,36/144,True
5,3,2,2,3,36,144,36/144,True
6,6,0,1,0,18,36,18/36,True
6,6,0,1,2,18,36,18/36,True
6,6,0,2,0,18,36,18/36,True
6,6,0,2,2,18,36,18/36,True
6,6,1,0,0,18,36,18/36,True
6,6,1,0,2,18,36,18/36,True
6,6,1,2,0,18,36,18/36,True
6,6,1,2,2,18,36,18/36,True
6,6,2,0,0,18,36,18/36,True
6,6,2,0,2,18,36,18/36,True
6,6,2,1,0,18,36,18/36,True
6,6,2,1,2,18,36,18/36,True
6,7,0,1,1,36,72,36/72,True
6,7,0,1,3,36,72,36/72,True
6,7,0,2,1,36,72,36/72,True
6,7,0,2,3,36,72,36/72,True
