cx_orbit,xc_orbit,s_shared,t_shared,stratum_total,n_cc_orbits,cc_counts,is_uniform
1,1,0,0,36,2,"{0: 18, 1: 18}",True
1,1,1,1,36,2,"{0: 18, 1: 18}",True
1,1,2,2,36,2,"{0: 18, 1: 18}",True
1,3,0,0,72,2,"{2: 36, 3: 36}",True
1,3,1,1,72,2,"{2: 36, 3: 36}",True
1,3,2,2,72,2,"{2: 36, 3: 36}",True
3,5,0,1,36,2,"{0: 18, 1: 18}",True
3,5,0,2,36,2,"{0: 18, 1: 18}",True
3,5,1,0,36,2,"{0: 18, 1: 18}",True
3,5,1,2,36,2,"{0: 18, 1: 18}",True
3,5,2,0,36,2,"{0: 18, 1: 18}",True
3,5,2,1,36,2,"{0: 18, 1: 18}",True
3,7,0,1,72,2,"{2: 36, 3: 36}",True
3,7,0,2,72,2,"{2: 36, 3: 36}",True
3,7,1,0,72,2,"{2: 36, 3: 36}",True
3,7,1,2,72,2,"{2: 36, 3: 36}",True
3,7,2,0,72,2,"{2: 36, 3: 36}",True
3,7,2,1,72,2,"{2: 36, 3: 36}",True
4,2,0,0,36,2,"{0: 18, 2: 18}",True
4,2,1,1,36,2,"{0: 18, 2: 18}",True
4,2,2,2,36,2,"{0: 18, 2: 18}",True
4,3,0,0,72,2,"{1: 36, 3: 36}",True
4,3,1,1,72,2,"{1: 36, 3: 36}",True
4,3,2,2,72,2,"{1: 36, 3: 36}",True
5,1,0,0,72,2,"{2: 36, 3: 36}",True
5,1,1,1,72,2,"{2: 36, 3: 36}",True
5,1,2,2,72,2,"{2: 36, 3: 36}",True
5,2,0,0,72,2,"{1: 36, 3: 36}",True
5,2,1,1,72,2,"{1: 36, 3: 36}",True
5,2,2,2,72,2,"{1: 36, 3: 36}",True
5,3,0,0,144,4,"{0: 36, 1: 36, 2: 36, 3: 36}",True
5,3,1,1,144,4,"{0: 36, 1: 36, 2: 36, 3: 36}",True
5,3,2,2,144,4,"{0: 36, 1: 36, 2: 36, 3: 36}",True
6,6,0,1,36,2,"{0: 18, 2: 18}",True
6,6,0,2,36,2,"{0: 18, 2: 18}",True
6,6,1,0,36,2,"{0: 18, 2: 18}",True
6,6,1,2,36,2,"{0: 18, 2: 18}",True
6,6,2,0,36,2,"{0: 18, 2: 18}",True
6,6,2,1,36,2,"{0: 18, 2: 18}",True
6,7,0,1,72,2,"{1: 36, 3: 36}",True
6,7,0,2,72,2,"{1: 36, 3: 36}",True
6,7,1,0,72,2,"{1: 36, 3: 36}",True
6,7,1,2,72,2,"{1: 36, 3: 36}",True
6,7,2,0,72,2,"{1: 36, 3: 36}",True
6,7,2,1,72,2,"{1: 36, 3: 36}",True
7,5,0,1,72,2,"{2: 36, 3: 36}",True
7,5,0,2,72,2,"{2: 36, 3: 36}",True
7,5,1,0,72,2,"{2: 36, 3: 36}",True
7,5,1,2,72,2,"{2: 36, 3: 36}",True
7,5,2,0,72,2,"{2: 36, 3: 36}",True
7,5,2,1,72,2,"{2: 36, 3: 36}",True
7,6,0,1,72,2,"{1: 36, 3: 36}",True
7,6,0,2,72,2,"{1: 36, 3: 36}",True
7,6,1,0,72,2,"{1: 36, 3: 36}",True
7,6,1,2,72,2,"{1: 36, 3: 36}",True
7,6,2,0,72,2,"{1: 36, 3: 36}",True
7,6,2,1,72,2,"{1: 36, 3: 36}",True
7,7,0,1,144,4,"{0: 36, 1: 36, 2: 36, 3: 36}",True
7,7,0,2,144,4,"{0: 36, 1: 36, 2: 36, 3: 36}",True
7,7,1,0,144,4,"{0: 36, 1: 36, 2: 36, 3: 36}",True
7,7,1,2,144,4,"{0: 36, 1: 36, 2: 36, 3: 36}",True
7,7,2,0,144,4,"{0: 36, 1: 36, 2: 36, 3: 36}",True
7,7,2,1,144,4,"{0: 36, 1: 36, 2: 36, 3: 36}",True
