schema,orbit_id,rep_config_id,rep_readable,signature_key,orbit_size,stabilizer_size,refined_signature,refinement_features
AX,0,0,"AX[A[0,0],X[0,0|0,0]]","(True, True, True)",27,8,"('(True, True, True)', (0,))","(0,)"
AX,1,3,"AX[A[0,0],X[0,0|1,0]]","(True, True, False)",54,4,"('(True, True, False)', (1,))","(1,)"
AX,2,9,"AX[A[0,0],X[0,1|0,0]]","(True, False, False)",54,4,"('(True, False, False)', (0,))","(0,)"
AX,3,12,"AX[A[0,0],X[0,1|1,0]]","(True, False, True)",54,4,"('(True, False, True)', (1,))","(1,)"
AX,4,15,"AX[A[0,0],X[0,1|2,0]]","(True, False, False)",54,4,"('(True, False, False)', (2,))","(2,)"
AX,5,27,"AX[A[0,0],X[1,0|0,0]]","(False, True, True)",54,4,"('(False, True, True)', (0,))","(0,)"
AX,6,30,"AX[A[0,0],X[1,0|1,0]]","(False, True, False)",108,2,"('(False, True, False)', (1,))","(1,)"
AX,7,36,"AX[A[0,0],X[1,1|0,0]]","(False, False, False)",108,2,"('(False, False, False)', (0,))","(0,)"
AX,8,39,"AX[A[0,0],X[1,1|1,0]]","(False, False, True)",108,2,"('(False, False, True)', (1,))","(1,)"
AX,9,42,"AX[A[0,0],X[1,1|2,0]]","(False, False, False)",108,2,"('(False, False, False)', (2,))","(2,)"
