schema,orbit_id,rep_config_id,rep_readable,signature_key,orbit_size,stabilizer_size,refined_signature,refinement_features
BX,0,0,"BX[B[0,0],X[0,0|0,0]]","(True, True, True)",27,8,"('(True, True, True)', (0,))","(0,)"
BX,1,1,"BX[B[0,0],X[0,0|0,1]]","(True, False, True)",54,4,"('(True, False, True)', (0,))","(0,)"
BX,2,3,"BX[B[0,0],X[0,0|1,0]]","(False, True, False)",54,4,"('(False, True, False)', (0,))","(0,)"
BX,3,4,"BX[B[0,0],X[0,0|1,1]]","(False, False, False)",108,2,"('(False, False, False)', (0,))","(0,)"
BX,4,9,"BX[B[0,0],X[0,1|0,0]]","(True, True, False)",54,4,"('(True, True, False)', (1,))","(1,)"
BX,5,10,"BX[B[0,0],X[0,1|0,1]]","(True, False, False)",108,2,"('(True, False, False)', (1,))","(1,)"
BX,6,12,"BX[B[0,0],X[0,1|1,0]]","(False, True, True)",54,4,"('(False, True, True)', (1,))","(1,)"
BX,7,13,"BX[B[0,0],X[0,1|1,1]]","(False, False, True)",108,2,"('(False, False, True)', (1,))","(1,)"
BX,8,15,"BX[B[0,0],X[0,1|2,0]]","(False, True, False)",54,4,"('(False, True, False)', (1,))","(1,)"
BX,9,16,"BX[B[0,0],X[0,1|2,1]]","(False, False, False)",108,2,"('(False, False, False)', (1,))","(1,)"
